"ID";"trials_runs.thisN";"secondStim";"trials_runs.visual_stim_left";"trials_runs.visual_stim_right";"trials_runs.correctKey";"trials_runs.presentationFrequncy";"response_runs.keys";"response_runs.rt";"trials_runs.correct_answer";"trials_runs.feedback_given";"session";"tsDifficulty";"prob.Feedback";"totalAccuracy";"totalError";"outlier200ms";"outlierSD";"omission";"validTrials";"modality";"stimType";"logfile"
"CBC_1027";"42";"3";"0";"3";"z";"9";"z";"1,04342309999992722";"1";"1";"2";"hard";"0,95";"0,813953488372093";"0,1860465116279070";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv"
"CBC_1027";"43";"1";"2";"3";"b";"63";"b";"1,08015499999964959";"1";"1";"2";"hard";"0,95";"0,818181818181818";"0,1818181818181818";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv"
"CBC_1027";"0";"2";"1";"0";"b";"63";"z";"1,22603029999663704";"0";"0";"3";"hard";"0,95";"0,000000000000000";"1,0000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"1";"0";"1";"0";"z";"63";"z";"1,23057979999794043";"1";"1";"3";"hard";"0,95";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"2";"3";"3";"2";"b";"63";"z";"2,45798830000057933";"0";"0";"3";"hard";"0,95";"0,333333333333333";"0,6666666666666667";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"3";"2";"1";"2";"b";"9";"b";"1,80080199999792967";"1";"1";"3";"hard";"0,95";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"4";"0";"2";"0";"z";"27";"z";"2,45484959999521379";"1";"1";"3";"hard";"0,95";"0,600000000000000";"0,4000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"5";"1";"3";"2";"z";"63";"b";"2,27666440000029979";"0";"0";"3";"hard";"0,95";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"6";"3";"3";"1";"b";"27";"b";"2,53893879999668570";"1";"1";"3";"hard";"0,95";"0,571428571428571";"0,4285714285714286";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"7";"0";"0";"1";"b";"63";"z";"1,69109689999822876";"0";"0";"3";"hard";"0,95";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"8";"1";"0";"2";"z";"27";"z";"3,74649379999755183";"1";"1";"3";"hard";"0,95";"0,555555555555556";"0,4444444444444444";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"9";"3";"3";"2";"b";"63";"z";"1,91761699999551638";"0";"0";"3";"hard";"0,95";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"10";"2";"0";"1";"z";"63";"z";"2,10030869999900460";"1";"1";"3";"hard";"0,95";"0,545454545454545";"0,4545454545454546";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"11";"0";"1";"0";"z";"63";"z";"2,31831210000018473";"1";"1";"3";"hard";"0,95";"0,583333333333333";"0,4166666666666666";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"12";"3";"3";"2";"b";"63";"z";"1,13531420000072103";"0";"0";"3";"hard";"0,95";"0,538461538461538";"0,4615384615384616";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"13";"1";"0";"2";"z";"27";"b";"1,79521269999895594";"0";"0";"3";"hard";"0,95";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"14";"0";"1";"0";"z";"63";"z";"1,59153329999753623";"1";"1";"3";"hard";"0,95";"0,533333333333333";"0,4666666666666667";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
