ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,simpleSurprise
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,37,1,0,aud,0.5,1,z,B,1B,1,z,0.715682699999888,1,1,1,2.01490302054226
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,38,2,2,aud,0.35,1,z,A,2A,0,b,0.991097599999193,0,1,1,2.21920348405499
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,39,1,1,aud,0.35,0,z,C,1C,0,b,0.766922700000578,0,1,0,2.24070968927596
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,40,0,2,aud,0.5,1,z,A,0A,1,z,1.08225999999922,1,1,1,1.92529086185258
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,41,1,0,aud,0.5,1,z,B,1B,1,z,1.01951170000029,1,1,1,1.94591014905531
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,42,0,1,aud,0.15,1,z,C,0C,0,b,1.40802250000343,0,1,1,3.2188758248682
CBC_P041,CBC_P041_TV_prob0.7_Vset2_Tset2_2024-05-17_19h36.22.442.csv,2,1,2,1,tac,0.5,1,z,C,2C,1,z,2.88945479999893,1,1,1,2.19722457733622
CBC_P041,CBC_P041_TV_prob0.7_Vset2_Tset2_2024-05-17_19h36.22.442.csv,2,2,1,0,tac,0.5,1,z,B,1B,1,z,3.29421129999901,1,1,1,2.30258509299405
CBC_P041,CBC_P041_TV_prob0.7_Vset2_Tset2_2024-05-17_19h36.22.442.csv,2,3,0,1,tac,0.15,0,z,C,0C,0,z,2.82438940000065,1,0,1,2.39789527279837
CBC_P041,CBC_P041_TV_prob0.7_Vset2_Tset2_2024-05-17_19h36.22.442.csv,2,4,2,2,tac,0.35,1,z,A,2A,0,b,2.2026732000013,0,1,1,2.484906649788
CBC_P041,CBC_P041_TV_prob0.7_Vset2_Tset2_2024-05-17_19h36.22.442.csv,2,5,1,1,tac,0.35,1,z,C,1C,0,z,2.11169240000163,1,0,0,2.56494935746154
CBC_P041,CBC_P041_TV_prob0.7_Vset2_Tset2_2024-05-17_19h36.22.442.csv,2,6,2,2,tac,0.35,1,z,A,2A,0,b,1.92968530000144,0,1,1,1.94591014905531
CBC_P041,CBC_P041_TV_prob0.7_Vset2_Tset2_2024-05-17_19h36.22.442.csv,2,7,1,0,tac,0.5,1,z,B,1B,1,z,2.873720399999,1,1,1,2.01490302054226
CBC_P041,CBC_P041_TV_prob0.7_Vset2_Tset2_2024-05-17_19h36.22.442.csv,2,8,0,2,tac,0.5,0,z,A,0A,1,z,2.8118386999995,1,1,0,2.77258872223978
CBC_P041,CBC_P041_TV_prob0.7_Vset2_Tset2_2024-05-17_19h36.22.442.csv,2,9,1,0,tac,0.5,0,z,B,1B,1,z,2.47717520000151,1,1,0,1.73460105538811
