ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,simpleSurprise
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,8,0,2,tac,0.36,1,z,B,0B,0,b,1.88288620000094,0,1,1,2.07944154167984
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,9,2,0,tac,0.5,1,z,C,2C,1,z,1.22648459999618,1,1,1,1.73460105538811
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,10,1,2,tac,0.5,1,z,B,1B,1,z,4.5868292999985,1,1,1,2.89037175789616
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,11,0,0,tac,0.14,1,z,C,0C,0,b,1.34436969999661,0,1,1,2.94443897916644
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,12,1,2,tac,0.5,1,z,B,1B,1,z,4.25207849999788,1,1,1,2.30258509299405
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,13,2,1,tac,0.36,1,z,A,2A,0,b,2.44726159999846,0,1,1,3.04452243772342
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,14,1,0,tac,0.36,1,z,C,1C,0,b,1.38620959999753,0,1,1,2.39789527279837
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,15,2,1,tac,0.36,1,z,A,2A,0,b,1.56121849999909,0,1,1,2.4423470353692
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,16,1,2,tac,0.5,1,z,B,1B,1,b,2.40744389999963,0,0,0,2.07944154167984
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,17,2,1,tac,0.36,1,z,A,2A,0,b,1.45332289999715,0,1,1,2.12026353620009
