trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,get_keys_8.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,4.26803291533611,2.7570014520733,269.4089772999996,None,269.4089772999996,None,269.4089772999996,None,272.1731838699996,None,[],,,274.2279417999998,None,274.2279417999998,None,274.2279417999998,None,b,274.2279417999998,None,None,274.2279417999998,None,b,3.3483089999990625,1,1,0.47368421052631576,278.5144547,None,278.5144547,None,278.5144547,None,None,278.5144547,None,1.3483089999990625,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,4.33462955345931,1.29306073609301,280.6212141999986,None,280.6212141999986,None,280.6212141999986,None,281.9228221699994,None,[],,,283.96978149999995,None,283.96978149999995,None,283.96978149999995,None,b,283.96978149999995,None,None,283.96978149999995,None,b,3.0429805999992823,1,1,0.5,288.34001369999896,None,288.34001369999896,None,288.34001369999896,None,None,288.34001369999896,None,1.0429805999992823,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.35,1.905730910449904,1.44889042899439,290.41891979999855,None,290.41891979999855,None,290.41891979999855,None,291.8733595699994,None,[],,,293.92554759999985,None,293.92554759999985,None,293.92554759999985,None,b,293.92554759999985,None,None,293.92554759999985,None,b,2.610580200000186,0,1,0.47619047619047616,295.8743908999986,None,295.8743908999986,None,295.8743908999986,None,None,295.8743908999986,None,0.6105802000001859,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,1.887650177272661,2.23439856631263,297.95355559999916,None,297.95355559999916,None,297.95355559999916,None,300.19097476999906,None,[],,,302.24776810000003,None,302.24776810000003,None,302.24776810000003,None,b,302.24776810000003,None,None,302.24776810000003,None,b,3.0920275000007678,0,0,0.45454545454545453,304.14915589999873,None,304.14915589999873,None,304.14915589999873,None,None,304.14915589999873,None,1.0920275000007678,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.91771467486041,2.3497497577282,306.25262119999934,None,306.25262119999934,None,306.25262119999934,None,308.6075681700002,None,[],,,310.6632800999996,None,310.6632800999996,None,310.6632800999996,None,z,310.6632800999996,None,None,310.6632800999996,None,z,2.4531219999989844,0,0,0.43478260869565216,313.6254251999999,None,313.6254251999999,None,313.6254251999999,None,None,313.6254251999999,None,0.4531219999989844,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.899747326335302,2.49579389304826,315.7554627999998,None,315.7554627999998,None,315.7554627999998,None,318.2569043699985,None,[],,,320.3125103000002,None,320.3125103000002,None,320.3125103000002,None,z,320.3125103000002,None,None,320.3125103000002,None,z,2.600563100000727,0,0,0.4166666666666667,322.22639340000023,None,322.22639340000023,None,322.22639340000023,None,None,322.22639340000023,None,0.600563100000727,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.6105816849230599,1.48342455087402,324.3374716999988,None,324.3374716999988,None,324.3374716999988,None,325.8236138699993,None,[],,,327.8812827999991,None,327.8812827999991,None,327.8812827999991,None,b,327.8812827999991,None,None,327.8812827999991,None,b,2.35634680000112,1,1,0.44,329.5406602999992,None,329.5406602999992,None,329.5406602999992,None,None,329.5406602999992,None,0.35634680000111985,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,2.27860294189526,1.88377296598415,331.62041249999857,None,331.62041249999857,None,331.62041249999857,None,333.50702276999965,None,[],,,335.5614549999991,None,335.5614549999991,None,335.5614549999991,None,None,335.5614549999991,None,['z'],335.5614549999991,None,[],[],0,3,0.4230769230769231,337.86803209999925,None,337.86803209999925,None,337.86803209999925,None,['z'],337.86803209999925,None,,[0.6959612999999081],[0.9953291000001627],,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0.15,3.58943852196035,1.84422310959985,339.9599038999986,None,339.9599038999986,None,339.9599038999986,None,341.80713416999953,None,[],,,343.8642353999985,None,343.8642353999985,None,343.8642353999985,None,b,343.8642353999985,None,None,343.8642353999985,None,b,3.536301899999671,0,1,0.4074074074074074,347.4918197999996,None,347.4918197999996,None,347.4918197999996,None,None,347.4918197999996,None,1.5363018999996711,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,3.62250581484608,1.53162701008885,349.57024529999944,None,349.57024529999944,None,349.57024529999944,None,351.1070855699998,None,[],,,353.1570670000001,None,353.1570670000001,None,353.1570670000001,None,z,353.1570670000001,None,None,353.1570670000001,None,z,2.4390223999998852,1,1,0.42857142857142855,356.82031199999983,None,356.82031199999983,None,356.82031199999983,None,None,356.82031199999983,None,0.43902239999988524,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,2.23248806235745,2.5736109380813,358.9012305999986,None,358.9012305999986,None,358.9012305999986,None,361.4902651699993,None,[],,,363.5417682999996,None,363.5417682999996,None,363.5417682999996,None,b,363.5417682999996,None,None,363.5417682999996,None,b,2.3933796000001166,0,0,0.41379310344827586,365.7954436,None,365.7954436,None,365.7954436,None,None,365.7954436,None,0.3933796000001166,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.3725274662429303,1.73294357419019,367.90117929999906,None,367.90117929999906,None,367.90117929999906,None,369.6398020699997,z,['z'],1.7711557999991783,[1.7711557999991783],371.69220959999984,None,371.69220959999984,None,371.69220959999984,None,None,371.69220959999984,None,None,371.69220959999984,None,z,1.7711557999991783,0,0,0.4,374.10073939999893,None,374.10073939999893,None,374.10073939999893,None,None,374.10073939999893,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.2089046382315303,2.64870493261766,376.15808169999946,None,376.15808169999946,None,376.15808169999946,None,378.82267526999914,None,[],,,380.8709404000001,None,380.8709404000001,None,380.8709404000001,None,None,380.8709404000001,None,['z'],380.8709404000001,None,[],[],0,3,0.3870967741935484,383.1238032000001,None,383.1238032000001,None,383.1238032000001,None,['z'],383.1238032000001,None,,[0.7871103000015864],[0.7215285000002041],,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.15,1.556335756354144,1.31360018091897,385.2056924999997,None,385.2056924999997,None,385.2056924999997,None,386.5243594699985,None,[],,,388.5762973000001,None,388.5762973000001,None,388.5762973000001,None,None,388.5762973000001,None,['b'],388.5762973000001,None,[],[],0,3,0.375,390.1709312999992,None,390.1709312999992,None,390.1709312999992,None,['b'],390.1709312999992,None,,[0.8480909000008978],[0.6951851000012539],,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.671897605000652,1.75396267962373,392.25511709999955,None,392.25511709999955,None,392.25511709999955,None,394.0231145699998,None,[],,,396.07068569999865,None,396.07068569999865,None,396.07068569999865,None,b,396.07068569999865,None,None,396.07068569999865,None,b,2.714244900000267,0,0,0.36363636363636365,397.78960449999977,None,397.78960449999977,None,397.78960449999977,None,None,397.78960449999977,None,0.7142449000002671,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,1.595506577165096,2.40738395932908,399.8761670999993,None,399.8761670999993,None,399.8761670999993,None,402.2905876699986,None,[],,,404.3408944999992,None,404.3408944999992,None,404.3408944999992,None,b,404.3408944999992,None,None,404.3408944999992,None,b,2.567895000000135,0,0,0.35294117647058826,405.9714254999999,None,405.9714254999999,None,405.9714254999999,None,None,405.9714254999999,None,0.567895000000135,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.326293484834196,2.78012240036799,408.0487572000002,None,408.0487572000002,None,408.0487572000002,None,410.84077186999986,None,[],,,412.89904690000003,None,412.89904690000003,None,412.89904690000003,None,z,412.89904690000003,None,None,412.89904690000003,None,z,2.699729899999511,0,0,0.34285714285714286,414.24695579999934,None,414.24695579999934,None,414.24695579999934,None,None,414.24695579999934,None,0.699729899999511,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
