trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0.5,3.95666246474662,2.93536812882172,200.08873870000025,None,200.08873870000025,None,200.08873870000025,None,203.05471209999996,205.05447690000074,203.05540540000038,205.05447690000074,205.05447690000074,None,b,1,1.4385105999999723,203.05471209999996,None,203.05471209999996,None,203.05471209999996,None,None,203.05471209999996,None,1,0,0.8888888888888888,209.04201770000054,None,209.04201770000054,None,209.04201770000054,None,None,209.04201770000054,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,1.326293484834196,1.41191114387976,211.03860740000073,None,211.03860740000073,None,211.03860740000073,None,212.45751980000023,214.47222030000012,212.45445384999994,214.4555822000002,214.4555822000002,None,b,1,2.3882603000001836,212.45751980000023,None,212.45751980000023,None,212.45751980000023,None,None,212.45751980000023,None,1,1,0.9,215.80948230000013,None,215.80948230000013,None,215.80948230000013,None,None,215.80948230000013,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0.35,2.0845750455934002,1.55403782363402,217.80418370000007,None,217.80418370000007,None,217.80418370000007,None,219.3850151000006,221.3890011000003,219.38883970000006,221.3890011000003,221.37218759999996,None,z,1,1.4915079000002152,219.3850151000006,None,219.3850151000006,None,219.3850151000006,None,None,219.3850151000006,None,1,0,0.9090909090909091,223.49563260000014,None,223.49563260000014,None,223.49563260000014,None,None,223.49563260000014,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.35,1.8749846827473111,1.08604824075189,225.48801810000077,None,225.48801810000077,None,225.48801810000077,None,226.6029085,228.60520290000022,226.60513770000034,None,228.60520290000022,None,z,1,1.3626744000002873,226.6029085,None,226.6029085,None,226.6029085,None,None,226.6029085,None,1,0,0.9166666666666666,230.4924387000001,None,230.4924387000001,None,230.4924387000001,None,None,230.4924387000001,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,4.19624908154748,2.07121332922762,232.5051667000007,None,232.5051667000007,None,232.5051667000007,None,234.60518150000007,236.6054382000002,234.60530410000047,236.6054382000002,236.6054382000002,None,b,1,0.939057500000672,234.60518150000007,None,234.60518150000007,None,234.60518150000007,None,None,234.60518150000007,None,1,1,0.9230769230769231,240.8104413000001,None,240.8104413000001,None,240.8104413000001,None,None,240.8104413000001,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0.15,1.2199655720291709,1.48342455087402,242.8221581000007,None,242.8221581000007,None,242.8221581000007,None,244.32260080000015,246.32236340000054,244.3223278000005,246.32236340000054,246.32236340000054,None,b,0,1.5376579000003403,244.32260080000015,None,244.32260080000015,None,244.32260080000015,None,None,244.32260080000015,None,0,1,0.8571428571428571,247.5686413000003,None,247.5686413000003,None,247.5686413000003,None,None,247.5686413000003,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.15,1.905730910449904,2.50277407648956,249.5721469,None,249.5721469,None,249.5721469,None,252.10572110000066,254.10573680000016,252.1059337000006,254.10573680000016,254.10573680000016,None,z,1,1.0985159000001659,252.10572110000066,None,252.10572110000066,None,252.10572110000066,None,None,252.10572110000066,None,1,1,0.8666666666666667,256.02618280000024,None,256.02618280000024,None,256.02618280000024,None,None,256.02618280000024,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,3.62250581484608,2.7570014520733,258.03880480000043,None,258.03880480000043,None,258.03880480000043,None,260.8189339999999,262.8221598,260.82224790000055,262.8221598,262.8221598,None,z,1,2.1976118000002316,260.8189339999999,None,260.8189339999999,None,260.8189339999999,None,None,260.8189339999999,None,1,1,0.875,266.46109049999995,None,266.46109049999995,None,266.46109049999995,None,None,266.46109049999995,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.556335756354144,2.78012240036799,268.47236450000037,None,268.47236450000037,None,268.47236450000037,None,271.2595097000003,273.2725364000007,271.2716981000003,None,273.25585730000057,None,b,1,1.7808860999994067,271.2595097000003,None,271.2595097000003,None,271.2595097000003,None,None,271.2595097000003,None,1,1,0.8823529411764706,274.84052370000063,None,274.84052370000063,None,274.84052370000063,None,None,274.84052370000063,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.47854712582944,0.977134614530179,276.8388121000007,None,276.8388121000007,None,276.8388121000007,None,277.83633910000026,279.8389649999999,277.8390063000006,None,279.8389649999999,None,b,1,1.8148746999995637,277.83633910000026,None,277.83633910000026,None,277.83633910000026,None,None,277.83633910000026,None,1,1,0.8888888888888888,283.3363761999999,None,283.3363761999999,None,283.3363761999999,None,None,283.3363761999999,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,3.50182449656669,1.08099245958022,285.3392283000003,None,285.3392283000003,None,285.3392283000003,None,286.43672960000004,288.4392848000007,286.4392118000005,288.4392848000007,288.4392848000007,None,z,1,1.1629879000001893,286.43672960000004,291.9380436000001,286.43672960000004,291.9380436000001,286.43672960000004,291.9380436000001,None,286.43672960000004,291.9380436000001,1,1,0.8947368421052632,291.95749030000025,None,291.95749030000025,None,291.95749030000025,None,None,291.95749030000025,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,2.94912276105146,1.88377296598415,293.9723472000005,None,293.9723472000005,None,293.9723472000005,None,295.87435280000045,297.8893740000003,295.8724536,297.8722237000002,297.8722237000002,None,z,1,1.0716566999999486,295.87435280000045,None,295.87435280000045,None,295.87435280000045,None,None,295.87435280000045,None,1,1,0.9,300.8428965000003,None,300.8428965000003,None,300.8428965000003,None,None,300.8428965000003,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.74209998091573,2.29713937746779,302.8389418000006,None,302.8389418000006,None,302.8389418000006,None,305.1546674000001,307.1552352000008,305.1560020000006,307.1552352000008,307.1552352000008,None,b,1,0.6587703000004694,305.1546674000001,None,305.1546674000001,None,305.1546674000001,None,None,305.1546674000001,None,1,1,0.9047619047619048,309.90794110000024,None,309.90794110000024,None,309.90794110000024,None,None,309.90794110000024,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,4.21669271035117,3.32142038400957,311.9223985000008,None,311.9223985000008,None,311.9223985000008,None,315.27485120000074,317.28844200000003,315.27233700000033,317.27216940000017,317.27216940000017,321.48936120000053,z,1,1.3915727000003244,315.27485120000074,None,315.27485120000074,None,315.27485120000074,None,None,315.27485120000074,None,1,1,0.9090909090909091,321.5194603,None,321.5194603,None,321.5194603,None,None,321.5194603,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.5,1.671897605000652,1.73294357419019,323.5223192000003,None,323.5223192000003,None,323.5223192000003,None,325.25876210000024,327.27282820000073,325.27167030000055,None,327.2393517999999,328.9226795000004,b,1,1.2242170999998052,325.25876210000024,None,325.25876210000024,None,325.25876210000024,None,None,325.25876210000024,None,1,0,0.9130434782608695,328.9611646000003,None,328.9611646000003,None,328.9611646000003,None,None,328.9611646000003,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,2.11780998338946,0.971483558655564,330.9558732000005,None,330.9558732000005,None,330.9558732000005,None,331.95323820000067,333.95603910000045,331.9559054000001,333.95603910000045,333.95603910000045,None,b,1,1.044096300000092,331.95323820000067,336.0729043000001,331.95323820000067,336.0729043000001,331.95323820000067,336.0729043000001,None,331.95323820000067,336.0729043000001,1,0,0.9166666666666666,336.11051020000014,None,336.11051020000014,None,336.11051020000014,None,None,336.11051020000014,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,3.04482772403364,3.27666037293199,338.1047541000007,None,338.1047541000007,None,338.1047541000007,None,341.40578650000043,343.40612500000043,341.4061362000002,343.40612500000043,343.40612500000043,None,z,1,1.2501021999996738,341.40578650000043,None,341.40578650000043,None,341.40578650000043,None,None,341.40578650000043,None,1,1,0.92,346.47446410000066,None,346.47446410000066,None,346.47446410000066,None,None,346.47446410000066,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,2.23248806235745,2.5736109380813,348.4718896000004,None,348.4718896000004,None,348.4718896000004,None,351.07297110000036,353.0729074999999,351.07283630000074,None,353.0729074999999,None,z,1,1.0168880000001081,351.07297110000036,None,351.07297110000036,None,351.07297110000036,None,None,351.07297110000036,None,1,1,0.9230769230769231,355.32468599999993,None,355.32468599999993,None,355.32468599999993,None,None,355.32468599999993,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.887650177272661,2.49579389304826,357.32265800000005,None,357.32265800000005,None,357.32265800000005,None,359.8402743000006,361.8395734000005,359.83934450000015,361.8395734000005,361.8395734000005,None,b,1,1.5362029999996594,359.8402743000006,None,359.8402743000006,None,359.8402743000006,None,None,359.8402743000006,None,1,1,0.9259259259259259,363.75765670000055,None,363.75765670000055,None,363.75765670000055,None,None,363.75765670000055,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.5,2.2089046382315303,1.31360018091897,365.75573690000056,None,365.75573690000056,None,365.75573690000056,None,367.0867470000003,369.08981889999995,367.0893558000007,369.08981889999995,369.08981889999995,None,b,1,0.8012588000001415,367.0867470000003,None,367.0867470000003,None,367.0867470000003,None,None,367.0867470000003,None,1,0,0.9285714285714286,371.3081843,None,371.3081843,None,371.3081843,None,None,371.3081843,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.86983191325091,2.96222466864387,373.3230048000005,None,373.3230048000005,None,373.3230048000005,None,376.2924255000007,378.30639340000016,376.30555410000034,None,378.2729331999999,382.15632040000037,None,0,,376.2924255000007,None,376.2924255000007,None,376.2924255000007,None,['b'],376.2924255000007,None,0,3,0.896551724137931,382.19099150000056,None,382.19099150000056,None,382.19099150000056,None,None,382.19099150000056,None,[1.081197699999393],,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.15,2.91771467486041,3.27418780206312,384.1894261000007,None,384.1894261000007,None,384.1894261000007,None,387.4900993000001,389.4898495000007,387.4897159000002,389.4898495000007,389.4898495000007,None,None,0,,387.4900993000001,None,387.4900993000001,None,387.4900993000001,None,['z'],387.4900993000001,None,0,3,0.8666666666666667,392.43926720000036,None,392.43926720000036,None,392.43926720000036,None,None,392.43926720000036,None,[1.1663074999996752],,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,4.26803291533611,2.3497497577282,394.4397738000007,None,394.4397738000007,None,394.4397738000007,None,396.79165230000035,398.80615900000066,396.7888746500007,398.78965060000064,398.78965060000064,None,b,1,1.6593026000000464,396.79165230000035,None,396.79165230000035,None,396.79165230000035,None,None,396.79165230000035,None,1,0,0.8709677419354839,403.0904713,None,403.0904713,None,403.0904713,None,None,403.0904713,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.67601812978374,2.12802719374523,405.0898812000005,None,405.0898812000005,None,405.0898812000005,None,407.23748049999995,409.2399226000007,407.23975730000075,409.2399226000007,409.2399226000007,None,b,1,0.9050428000000466,407.23748049999995,None,407.23748049999995,None,407.23748049999995,None,None,407.23748049999995,None,1,1,0.875,411.9469945000001,None,411.9469945000001,None,411.9469945000001,None,None,411.9469945000001,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.3725274662429303,1.75396267962373,413.9396534000007,None,413.9396534000007,None,413.9396534000007,None,415.7216197000007,417.7230281000002,415.72310170000037,417.7230281000002,417.7230281000002,None,b,1,0.9028158000000985,415.7216197000007,None,415.7216197000007,None,415.7216197000007,None,None,415.7216197000007,None,1,1,0.8787878787878788,420.1267209000007,None,420.1267209000007,None,420.1267209000007,None,None,420.1267209000007,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.595506577165096,1.2479618399002,422.1230789000001,None,422.1230789000001,None,422.1230789000001,None,423.38682360000075,425.3901102,423.3898867000007,425.3901102,425.3901102,None,z,1,1.0679073000001154,423.38682360000075,None,423.38682360000075,None,423.38682360000075,None,None,423.38682360000075,None,1,1,0.8823529411764706,427.01017330000013,None,427.01017330000013,None,427.01017330000013,None,None,427.01017330000013,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,3.27810873521582,2.40738395932908,429.0063390000005,None,429.0063390000005,None,429.0063390000005,None,431.4406773999999,433.44011970000065,431.44002,None,433.44011970000065,None,z,1,1.2875673999997161,431.4406773999999,None,431.4406773999999,None,431.4406773999999,None,None,431.4406773999999,None,1,1,0.8857142857142857,436.73887990000003,None,436.73887990000003,None,436.73887990000003,None,None,436.73887990000003,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,4.1766095715889495,2.64870493261766,438.7397539000003,None,438.7397539000003,None,438.7397539000003,None,441.40488690000075,443.40686320000077,441.4065862000007,443.40686320000077,443.40686320000077,None,z,1,1.0958631999992576,441.40488690000075,None,441.40488690000075,None,441.40488690000075,None,None,441.40488690000075,None,1,1,0.8888888888888888,447.6128619000001,None,447.6128619000001,None,447.6128619000001,None,None,447.6128619000001,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,4.30975216432768,1.14263865585167,449.60632260000057,None,449.60632260000057,None,449.60632260000057,None,450.7744194000006,452.78981509999994,450.7733427000003,452.7734253000008,452.7734253000008,None,b,1,1.3626352999999654,450.7744194000006,None,450.7744194000006,None,450.7744194000006,None,None,450.7744194000006,None,1,0,0.8918918918918919,457.10483569999997,None,457.10483569999997,None,457.10483569999997,None,None,457.10483569999997,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
