trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.35,1.595506577165096,2.64870493261766,339.9392143999994,None,339.9392143999994,None,339.9392143999994,None,342.5908046099992,342.6076007099999,z,['z'],1.0982686999996076,[1.0982686999996076],344.58975760000067,None,344.58975760000067,None,344.58975760000067,None,None,,344.58975760000067,None,None,344.58975760000067,None,z,1.0982686999996076,1,0,0.5789473684210527,346.22592559999975,None,346.22592559999975,None,346.22592559999975,None,None,346.22592559999975,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.67601812978374,2.23439856631263,348.2421689999992,None,348.2421689999992,None,348.2421689999992,None,350.4909641100001,350.5074910099991,z,['z'],1.3395258000000467,[1.3395258000000467],352.4891633999996,None,352.4891633999996,None,352.4891633999996,None,None,,352.4891633999996,None,None,352.4891633999996,None,z,1.3395258000000467,1,1,0.6,355.21022860000085,None,355.21022860000085,None,355.21022860000085,None,None,355.21022860000085,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.91771467486041,1.55403782363402,357.2284760000002,None,357.2284760000002,None,357.2284760000002,None,358.79110480999935,358.8077090099994,None,[],,,360.7835594999997,None,360.7835594999997,None,360.7835594999997,None,None,,360.7835594999997,None,None,360.7835594999997,None,[],[],0,3,0.5714285714285714,363.7999435999991,None,363.7999435999991,None,363.7999435999991,None,None,363.7999435999991,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.30975216432768,3.26446861731854,365.80248949999987,None,365.80248949999987,None,365.80248949999987,None,369.0745349099996,369.09108851,b,['b'],1.451372999999876,[1.451372999999876],371.0692302999996,None,371.0692302999996,None,371.0692302999996,None,None,,371.0692302999996,None,None,371.0692302999996,None,b,1.451372999999876,0,0,0.5454545454545454,375.42492759999914,None,375.42492759999914,None,375.42492759999914,None,None,375.42492759999914,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.556335756354144,1.44889042899439,377.44261919999917,None,377.44261919999917,None,377.44261919999917,None,378.8910567100009,378.90763171000054,b,['b'],1.7248232000001735,[1.7248232000001735],380.88405779999994,None,380.88405779999994,None,380.88405779999994,None,None,,380.88405779999994,None,None,380.88405779999994,None,b,1.7248232000001735,1,1,0.5652173913043478,382.4756914999998,None,382.4756914999998,None,382.4756914999998,None,None,382.4756914999998,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.3725274662429303,1.48342455087402,384.4901086000009,None,384.4901086000009,None,384.4901086000009,None,385.97447210999945,385.99072610999957,None,[],,,387.96802260000004,None,387.96802260000004,None,387.96802260000004,None,z,0.2304308000002493,387.96802260000004,None,None,387.96802260000004,None,z,2.2304308000002493,0,0,0.5416666666666666,390.3765380999994,None,390.3765380999994,None,390.3765380999994,None,None,390.3765380999994,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.887650177272661,0.971483558655564,392.39024769999924,None,392.39024769999924,None,392.39024769999924,None,393.37441130999997,393.3909515100002,z,['z'],1.2112006999996083,[1.2112006999996083],395.37266230000023,None,395.37266230000023,None,395.37266230000023,None,None,,395.37266230000023,None,None,395.37266230000023,None,z,1.2112006999996083,1,1,0.56,397.3101284000004,None,397.3101284000004,None,397.3101284000004,None,None,397.3101284000004,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,3.04482772403364,2.10833202116216,399.3012601999999,None,399.3012601999999,None,399.3012601999999,None,401.4234572099993,401.4402671099995,None,[],,,403.41720259999965,None,403.41720259999965,None,403.41720259999965,None,z,0.35676239999884274,403.41720259999965,None,None,403.41720259999965,None,z,2.3567623999988427,1,1,0.5769230769230769,406.4837886000005,None,406.4837886000005,None,406.4837886000005,None,None,406.4837886000005,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.8749846827473111,0.977134614530179,408.55752980000034,None,408.55752980000034,None,408.55752980000034,None,409.5407396099998,409.55750790999974,None,[],,,411.54044219999923,None,411.54044219999923,None,411.54044219999923,None,None,,411.54044219999923,None,None,411.54044219999923,None,[],[],0,3,0.5555555555555556,413.4562322999991,None,413.4562322999991,None,413.4562322999991,None,None,413.4562322999991,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,4.19624908154748,2.07121332922762,415.47669329999917,None,415.47669329999917,None,415.47669329999917,None,417.55775560999956,417.5742216100005,None,[],,,419.5497522000005,None,419.5497522000005,None,419.5497522000005,None,z,0.36348419999922044,419.5497522000005,None,None,419.5497522000005,None,z,2.3634841999992204,0,0,0.5357142857142857,423.7905035999993,None,423.7905035999993,None,423.7905035999993,None,None,423.7905035999993,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
