trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,get_keys_8.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,2.91771467486041,1.2479618399002,432.76185350000014,None,432.76185350000014,None,432.76185350000014,None,434.0105332200004,None,[],436.0688666999995,438.9941058000004,436.0688666999995,None,436.0688666999995,None,None,,436.0688666999995,None,['b'],436.0688666999995,None,[],[],0,3,0.90625,440.02720620000036,None,440.02720620000036,None,440.02720620000036,None,None,440.02720620000036,None,,,[0.14189199999600532],,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,1.758742575863891,2.96222466864387,442.1152871000013,None,442.1152871000013,None,442.1152871000013,None,445.0771786200024,None,[],447.13428620000195,448.8945841999994,447.13428620000195,None,447.13428620000195,None,b,0.2644044999979087,447.13428620000195,None,None,447.13428620000195,None,b,2.2644044999979087,1,1,0.9090909090909091,449.92920100000265,None,449.92920100000265,None,449.92920100000265,None,None,449.92920100000265,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,4.21669271035117,1.48342455087402,452.01674320000166,None,452.01674320000166,None,452.01674320000166,None,453.5111584200025,b,['b'],455.56995780000216,459.794351200002,455.56995780000216,None,455.56995780000216,None,None,,455.56995780000216,None,None,455.56995780000216,None,b,1.95516299999872,1,1,0.9117647058823529,460.8280728000027,None,460.8280728000027,None,460.8280728000027,None,None,460.8280728000027,None,1.95516299999872,[1.95516299999872],,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,1.326293484834196,1.84422310959985,462.9145549999994,None,462.9145549999994,None,462.9145549999994,None,464.76115682000125,None,[],466.81837780000205,468.14407570000185,466.81837780000205,None,466.81837780000205,None,z,0.23857879999559373,466.81837780000205,None,None,466.81837780000205,None,z,2.2385787999955937,1,0,0.9142857142857143,469.1784946000007,None,469.1784946000007,None,469.1784946000007,None,None,469.1784946000007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.15,1.905730910449904,2.23439856631263,471.26939889999994,None,471.26939889999994,None,471.26939889999994,None,473.5110668199999,None,[],475.56967330000043,477.47747100000197,475.56967330000043,None,475.56967330000043,None,b,0.20392749999882653,475.56967330000043,None,None,475.56967330000043,None,b,2.2039274999988265,1,1,0.9166666666666666,478.5125490999999,None,478.5125490999999,None,478.5125490999999,None,None,478.5125490999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,1.595506577165096,2.7570014520733,480.59425510000074,None,480.59425510000074,None,480.59425510000074,None,483.36054181999896,None,[],485.41779210000095,487.0276945000005,485.41779210000095,None,485.41779210000095,None,z,0.2232750999974087,485.41779210000095,None,None,485.41779210000095,None,z,2.2232750999974087,1,0,0.918918918918919,488.06137950000266,None,488.06137950000266,None,488.06137950000266,None,None,488.06137950000266,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.35,2.0784833561945097,3.38809030570968,490.152403600001,None,490.152403600001,None,490.152403600001,None,493.5442215200022,None,[],495.6006802000011,497.69460600000093,495.6006802000011,None,495.6006802000011,None,b,0.09592849999899045,495.6006802000011,None,None,495.6006802000011,None,b,2.0959284999989904,1,0,0.9210526315789473,498.72773700000107,None,498.72773700000107,None,498.72773700000107,None,None,498.72773700000107,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,2.94912276105146,1.08099245958022,500.81659070000023,None,500.81659070000023,None,500.81659070000023,None,501.91132931999925,None,[],503.9648674000018,506.92806550000023,503.9648674000018,None,503.9648674000018,None,b,0.26011839999773656,503.9648674000018,None,None,503.9648674000018,None,b,2.2601183999977366,1,1,0.9230769230769231,507.9632849000009,None,507.9632849000009,None,507.9632849000009,None,None,507.9632849000009,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.39750191607,1.41191114387976,510.0501815000025,None,510.0501815000025,None,510.0501815000025,None,511.4776761200013,z,['z'],513.5363150000012,515.944763200001,513.5363150000012,None,513.5363150000012,None,None,,513.5363150000012,None,None,513.5363150000012,None,z,1.8488968999990902,1,1,0.925,516.9783611999992,None,516.9783611999992,None,516.9783611999992,None,None,516.9783611999992,None,1.8488968999990902,[1.8488968999990902],,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.6105816849230599,2.64870493261766,519.0666911000008,None,519.0666911000008,None,519.0666911000008,None,521.727812720001,None,[],523.7853785000007,525.4114386000001,523.7853785000007,None,523.7853785000007,None,z,0.25643439999839757,523.7853785000007,None,None,523.7853785000007,None,z,2.2564343999983976,1,1,0.926829268292683,526.4439292000025,None,526.4439292000025,None,526.4439292000025,None,None,526.4439292000025,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0.5,1.899747326335302,1.53162701008885,528.533428900002,None,528.533428900002,None,528.533428900002,None,530.0780720200022,None,[],532.1335526000003,534.0447636000026,532.1335526000003,None,532.1335526000003,None,z,0.31071139999767183,532.1335526000003,None,None,532.1335526000003,None,z,2.310711399997672,1,0,0.9285714285714286,535.0792208000021,None,535.0792208000021,None,535.0792208000021,None,None,535.0792208000021,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.0613483000016,None,542.0614948000002,None,542.0614948000002,None,None,542.0614948000002,None,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,z,b,2,2,1,2,0.9285714285714286,0.9285714285714286,0.9285714285714284,,,,,,,,,,,
