trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],audio set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,1.905730910449904,2.7570014520733,230.83999159999985,None,230.83999159999985,None,230.83999159999985,None,233.62382529999923,235.62361190000047,233.62372489999905,235.62361190000047,235.62361190000047,None,b,1,1.2680086999989726,233.62382529999923,None,233.62382529999923,None,233.62382529999923,None,None,233.62382529999923,None,1,1,0.7894736842105263,237.5450282999991,None,237.5450282999991,None,237.5450282999991,None,None,237.5450282999991,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0.5,2.24205805775432,3.38809030570968,239.55686609999975,None,239.55686609999975,None,239.55686609999975,None,242.97120770000038,244.97289199999977,242.9738003999995,244.97289199999977,244.97289199999977,None,b,1,1.4780633999998827,242.97120770000038,None,242.97120770000038,None,242.97120770000038,None,None,242.97120770000038,None,1,0,0.8,247.24374809999972,None,247.24374809999972,None,247.24374809999972,None,None,247.24374809999972,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0.35,1.6105816849230599,1.53162701008885,249.2398890000004,None,249.2398890000004,None,249.2398890000004,None,250.78883769999993,252.78944240000055,250.79042189999961,None,252.78944240000055,None,z,1,1.0285889000006136,250.78883769999993,None,250.78883769999993,None,250.78883769999993,None,None,250.78883769999993,None,1,0,0.8095238095238095,254.4234319999996,None,254.4234319999996,None,254.4234319999996,None,None,254.4234319999996,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.35,2.2089046382315303,3.26446861731854,256.42338759999984,None,256.42338759999984,None,256.42338759999984,None,259.7067427999991,261.70714640000006,259.70704110000077,261.70714640000006,261.70714640000006,None,z,1,1.1186801999992895,259.7067427999991,None,259.7067427999991,None,259.7067427999991,None,None,259.7067427999991,None,1,0,0.8181818181818182,263.94252830000005,None,263.94252830000005,None,263.94252830000005,None,None,263.94252830000005,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,1.758742575863891,2.49579389304826,265.9403492000001,None,265.9403492000001,None,265.9403492000001,None,268.4578701999999,270.4728233000005,268.4569842000004,270.45605479999904,270.45605479999904,None,b,1,1.6209403999982896,268.4578701999999,None,268.4578701999999,None,268.4578701999999,None,None,268.4578701999999,None,1,1,0.8260869565217391,272.24476499999946,None,272.24476499999946,None,272.24476499999946,None,None,272.24476499999946,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,1.899747326335302,1.44889042899439,274.23994400000083,None,274.23994400000083,None,274.23994400000083,None,275.6915439000004,277.69042190000073,275.68939215000063,277.69042190000073,277.69042190000073,None,b,1,1.06545080000069,275.6915439000004,None,275.6915439000004,None,275.6915439000004,None,None,275.6915439000004,None,1,1,0.8333333333333334,279.6095237999998,None,279.6095237999998,None,279.6095237999998,None,None,279.6095237999998,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.8749846827473111,1.29306073609301,281.6067475,None,281.6067475,None,281.6067475,None,282.9250928999991,284.94056269999965,282.9240039,284.9238571999995,284.9238571999995,None,b,1,0.9296563999996579,282.9250928999991,None,282.9250928999991,None,282.9250928999991,None,None,282.9250928999991,None,1,1,0.84,286.82624079999914,None,286.82624079999914,None,286.82624079999914,None,None,286.82624079999914,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,2.0784833561945097,1.08099245958022,288.82353909999983,None,288.82353909999983,None,288.82353909999983,None,289.9198269999997,291.9237847000004,289.92374529999904,291.9237847000004,291.9077957999998,293.9906486,z,1,1.8521628999988025,289.9198269999997,None,289.9198269999997,None,289.9198269999997,None,None,289.9198269999997,None,1,1,0.8461538461538461,294.0266866999991,None,294.0266866999991,None,294.0266866999991,None,None,294.0266866999991,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.15,4.33462955345931,1.37809841776001,296.0227082000001,None,296.0227082000001,None,296.0227082000001,None,297.4257080999996,299.44024419999914,297.4236760000007,299.4236922,299.4236922,None,b,0,1.2459377999985009,297.4257080999996,None,297.4257080999996,None,297.4257080999996,None,None,297.4257080999996,None,0,0,0.8148148148148148,303.77979699999923,None,303.77979699999923,None,303.77979699999923,None,None,303.77979699999923,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.326293484834196,1.2479618399002,305.7905224999995,None,305.7905224999995,None,305.7905224999995,None,307.05101169999944,309.0561959000006,307.05674849999957,None,309.03941230000055,310.37376570000015,z,1,2.4875204999989364,307.05101169999944,None,307.05101169999944,None,307.05101169999944,None,None,307.05101169999944,None,1,1,0.8214285714285714,310.41484540000056,None,310.41484540000056,None,310.41484540000056,None,None,310.41484540000056,None,,,,,,,,,,,,,,,,,,CBC_P028,002,2,1,1,0.8,2023-04-05_16h14.34.651,AV_prob,2022.1.1,59.96368599186047,
