trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.15,1.595506577165096,1.29306073609301,392.68618100000003,None,392.68618100000003,None,392.68618100000003,None,393.98471197999953,b,['b'],1.46506060000047,[1.46506060000047],396.0362648,None,396.0362648,None,396.0362648,None,None,396.0362648,None,None,396.0362648,None,b,1.46506060000047,0,1,0.46875,397.67005530000006,None,397.67005530000006,None,397.67005530000006,None,None,397.67005530000006,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,3.58943852196035,3.38809030570968,399.7551877999995,None,399.7551877999995,None,399.7551877999995,None,403.15216588000004,b,['b'],1.4771339999997508,[1.4771339999997508],405.2099062999996,None,405.2099062999996,None,405.2099062999996,None,None,405.2099062999996,None,None,405.2099062999996,None,b,1.4771339999997508,1,1,0.48484848484848486,408.83520080000017,None,408.83520080000017,None,408.83520080000017,None,None,408.83520080000017,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.109698721182561,2.68488128149974,410.91932799999995,None,410.91932799999995,None,410.91932799999995,None,413.61915107999977,z,['z'],1.3130725000000893,[1.3130725000000893],415.67603940000026,None,415.67603940000026,None,415.67603940000026,None,None,415.67603940000026,None,None,415.67603940000026,None,z,1.3130725000000893,0,0,0.47058823529411764,416.82166439999946,None,416.82166439999946,None,416.82166439999946,None,None,416.82166439999946,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.905730910449904,2.10833202116216,418.90262559999974,None,418.90262559999974,None,418.90262559999974,None,421.01943417999956,b,['b'],2.0042395000000397,[2.0042395000000397],423.0763430999996,None,423.0763430999996,None,423.0763430999996,None,None,423.0763430999996,None,None,423.0763430999996,None,b,2.0042395000000397,0,0,0.45714285714285713,424.9875416999994,None,424.9875416999994,None,424.9875416999994,None,None,424.9875416999994,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,2.27860294189526,1.88377296598415,427.08682880000015,None,427.08682880000015,None,427.08682880000015,None,428.9859627799995,b,['b'],1.529312800000298,[1.529312800000298],431.0453405999997,None,431.0453405999997,None,431.0453405999997,None,None,431.0453405999997,None,None,431.0453405999997,None,b,1.529312800000298,0,0,0.4444444444444444,433.36858269999993,None,433.36858269999993,None,433.36858269999993,None,None,433.36858269999993,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.15,2.0845750455934002,2.93536812882172,435.43723489999957,None,435.43723489999957,None,435.43723489999957,None,438.38573377999984,z,['z'],1.5414531999995233,[1.5414531999995233],440.4381787000002,None,440.4381787000002,None,440.4381787000002,None,None,440.4381787000002,None,None,440.4381787000002,None,z,1.5414531999995233,1,1,0.4594594594594595,442.5720698999994,None,442.5720698999994,None,442.5720698999994,None,None,442.5720698999994,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.88444949943153,1.48342455087402,444.6549021000001,None,444.6549021000001,None,444.6549021000001,None,446.1528820800002,b,['b'],1.539148099999693,[1.539148099999693],448.20976729999984,None,448.20976729999984,None,448.20976729999984,None,None,448.20976729999984,None,None,448.20976729999984,None,b,1.539148099999693,1,1,0.47368421052631576,452.13496099999975,None,452.13496099999975,None,452.13496099999975,None,None,452.13496099999975,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.2199655720291709,2.23439856631263,454.22903529999985,None,454.22903529999985,None,454.22903529999985,None,456.4690382799998,b,['b'],1.063180299999658,[1.063180299999658],458.52589179999995,None,458.52589179999995,None,458.52589179999995,None,None,458.52589179999995,None,None,458.52589179999995,None,b,1.063180299999658,1,1,0.48717948717948717,459.7844331999995,None,459.7844331999995,None,459.7844331999995,None,None,459.7844331999995,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,1.6105816849230599,3.26446861731854,461.87471129999994,None,461.87471129999994,None,461.87471129999994,None,465.15282217999976,z,['z'],1.3842504000003828,[1.3842504000003828],467.21166379999977,None,467.21166379999977,None,467.21166379999977,None,None,467.21166379999977,None,None,467.21166379999977,None,z,1.3842504000003828,0,0,0.475,468.8701799999999,None,468.8701799999999,None,468.8701799999999,None,None,468.8701799999999,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,2.2089046382315303,1.44889042899439,470.9582368000001,None,470.9582368000001,None,470.9582368000001,None,472.4196932799994,z,['z'],2.0363243000001603,[2.0363243000001603],474.4793496000002,None,474.4793496000002,None,474.4793496000002,None,None,474.4793496000002,None,None,474.4793496000002,None,z,2.0363243000001603,1,1,0.4878048780487805,476.73922760000005,None,476.73922760000005,None,476.73922760000005,None,None,476.73922760000005,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.35,2.74209998091573,2.49579389304826,478.79462710000007,None,478.79462710000007,None,478.79462710000007,None,481.30300077999965,z,['z'],1.5737167000006593,[1.5737167000006593],483.3608653000001,None,483.3608653000001,None,483.3608653000001,None,None,483.3608653000001,None,None,483.3608653000001,None,z,1.5737167000006593,1,0,0.5,486.13810039999953,None,486.13810039999953,None,486.13810039999953,None,None,486.13810039999953,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.1196189000002,None,493.11949129999994,None,493.11949129999994,None,None,493.11949129999994,None,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,b,z,2,2,1,2,0.35714285714285715,0.6428571428571428,0.5,,,,,,,,,,,
