trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,3.47854712582944,2.96222466864387,683.2849505000004,None,683.2849505000004,None,683.2849505000004,None,686.2508743900005,686.2686594900003,b,['b'],0.9825446000004376,[0.9825446000004376],688.2571226999999,None,688.2571226999999,None,688.2571226999999,None,None,688.2571226999999,None,None,688.2571226999999,None,b,0.9825446000004376,1,1,0.4074074074074074,691.7837290000007,None,691.7837290000007,None,691.7837290000007,None,None,691.7837290000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,2.23248806235745,1.14263865585167,693.8007341000002,None,693.8007341000002,None,693.8007341000002,None,694.9513288900005,694.9677802900003,z,['z'],0.4850798000006762,[0.4850798000006762],696.9564479000001,None,696.9564479000001,None,696.9564479000001,None,None,696.9564479000001,None,None,696.9564479000001,None,z,0.4850798000006762,1,1,0.42857142857142855,699.2341255000001,None,699.2341255000001,None,699.2341255000001,None,None,699.2341255000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,3.95666246474662,1.44889042899439,701.2566381000006,None,701.2566381000006,None,701.2566381000006,None,702.7177507900003,702.7343525900003,None,[],,,704.7204703000007,None,704.7204703000007,None,704.7204703000007,None,z,704.7204703000007,None,None,704.7204703000007,None,z,2.593423299999813,1,1,0.4482758620689655,708.7163965999998,None,708.7163965999998,None,708.7163965999998,None,None,708.7163965999998,None,0.593423299999813,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,3.88444949943153,0.789129602716002,710.7362928000002,None,710.7362928000002,None,710.7362928000002,None,711.5346522900006,711.5512629900002,None,[],,,713.5392787999999,None,713.5392787999999,None,713.5392787999999,None,z,713.5392787999999,None,None,713.5392787999999,None,z,2.3829893000001903,1,1,0.4666666666666667,717.4678118000002,None,717.4678118000002,None,717.4678118000002,None,None,717.4678118000002,None,0.38298930000019027,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,3.62250581484608,1.55403782363402,719.4863736000007,None,719.4863736000007,None,719.4863736000007,None,721.0513996900006,721.0679984900005,None,[],,,723.0586944000006,None,723.0586944000006,None,723.0586944000006,None,None,723.0586944000006,None,None,723.0586944000006,None,[],[],0,3,0.45161290322580644,726.7157901999999,None,726.7157901999999,None,726.7157901999999,None,['b'],726.7157901999999,None,,[0.49055760000010196],,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.556335756354144,1.84422310959985,728.7369575000002,None,728.7369575000002,None,728.7369575000002,None,730.5847385900004,730.6013904900008,b,['b'],1.4966395000001285,[1.4966395000001285],732.5909766000004,None,732.5909766000004,None,732.5909766000004,None,None,732.5909766000004,None,None,732.5909766000004,None,b,1.4966395000001285,1,1,0.46875,734.1845117000003,None,734.1845117000003,None,734.1845117000003,None,None,734.1845117000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0.5,2.39750191607,3.32142038400957,736.2043503000004,None,736.2043503000004,None,736.2043503000004,None,739.5349492900002,739.5511616900001,None,[],,,741.5395718,None,741.5395718,None,741.5395718,None,z,741.5395718,None,None,741.5395718,None,z,2.4593660000000455,0,1,0.45454545454545453,743.9871835000004,None,743.9871835000004,None,743.9871835000004,None,None,743.9871835000004,None,0.45936600000004546,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.15,1.905730910449904,2.78012240036799,746.0107875000003,None,746.0107875000003,None,746.0107875000003,None,748.8015274900006,748.8181553900001,None,[],,,750.8068481999999,None,750.8068481999999,None,750.8068481999999,None,z,750.8068481999999,None,None,750.8068481999999,None,z,2.034545900000012,1,1,0.47058823529411764,752.7518239000001,None,752.7518239000001,None,752.7518239000001,None,None,752.7518239000001,None,0.0345459000000119,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.3725274662429303,2.40738395932908,754.7720807000005,None,754.7720807000005,None,754.7720807000005,None,757.18480669,757.2017029900005,z,['z'],1.6788604000003033,[1.6788604000003033],759.1922284000002,None,759.1922284000002,None,759.1922284000002,None,None,759.1922284000002,None,None,759.1922284000002,None,z,1.6788604000003033,1,1,0.4857142857142857,761.6009703999998,None,761.6009703999998,None,761.6009703999998,None,None,761.6009703999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.543156518078604,1.73294357419019,763.6698655999999,None,763.6698655999999,None,763.6698655999999,None,765.4181902900007,765.4349210900007,None,[],,,767.4217729000002,None,767.4217729000002,None,767.4217729000002,None,b,767.4217729000002,None,None,767.4217729000002,None,b,2.230979099999786,1,1,0.5,768.983722,None,768.983722,None,768.983722,None,None,768.983722,None,0.23097909999978583,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
