trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,3.26803291533611,3.27666037293199,162.16464049999922,None,162.16464049999922,None,162.16464049999922,None,165.46588349999365,167.53140659999917,165.46524329999954,None,167.53140659999917,168.53145839999343,168.53145839999343,None,z,1,2.026883900005487,165.46588349999365,None,165.46588349999365,None,165.46588349999365,None,None,165.46588349999365,171.74724759999663,1,1,0.6666666666666666,171.818520599998,None,171.818520599998,None,171.818520599998,None,None,171.818520599998,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.91771467486041,0.789129602716002,173.83160189999762,None,173.83160189999762,None,173.83160189999762,None,174.64674589999777,176.71391739999672,174.64804009999932,None,176.71391739999672,177.71514009999373,177.71514009999373,None,b,1,2.1064358000076027,174.64674589999777,179.63038939999387,174.64674589999777,179.63038939999387,174.64674589999777,179.63038939999387,None,174.64674589999777,179.5640346,1,1,0.7,179.65223299999343,None,179.65223299999343,None,179.65223299999343,None,None,179.65223299999343,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,2.62250581484608,2.64870493261766,181.66426859999774,None,181.66426859999774,None,181.66426859999774,None,184.3192443999942,186.39847599999484,184.33095299999547,None,186.3817354999992,187.3815953999947,187.3815953999947,None,z,1,1.8109495000026072,184.3192443999942,None,184.3192443999942,None,184.3192443999942,None,None,184.3192443999942,189.94835219999368,1,1,0.7272727272727273,190.0329702999952,None,190.0329702999952,None,190.0329702999952,None,None,190.0329702999952,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.08892016722308,3.26446861731854,192.0310290999987,None,192.0310290999987,None,192.0310290999987,None,195.3137654999955,197.38083599999663,195.31524959999513,None,197.38083599999663,198.3819985999944,198.3819985999944,None,z,1,2.773860600005719,195.3137654999955,None,195.3137654999955,None,195.3137654999955,None,None,195.3137654999955,199.41526460000023,1,1,0.75,199.49671399999352,None,199.49671399999352,None,199.49671399999352,None,None,199.49671399999352,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,0.556335756354144,1.2479618399002,201.49789129999408,None,201.49789129999408,None,201.49789129999408,None,202.7672895999931,204.84801159999915,202.76528729999552,None,204.83080289999634,205.83194629999343,205.83194629999343,None,b,1,2.6522644000069704,202.7672895999931,None,202.7672895999931,None,202.7672895999931,None,None,202.7672895999931,206.33190759999707,1,1,0.7692307692307693,206.41609149999567,None,206.41609149999567,None,206.41609149999567,None,None,206.41609149999567,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.15,3.21669271035117,2.10833202116216,208.41505069999403,None,208.41505069999403,None,208.41505069999403,None,210.54707049999706,212.61398740000004,210.5481355999931,None,212.61398740000004,213.61493499999779,213.61493499999779,None,b,1,2.3846706000113045,210.54707049999706,None,210.54707049999706,None,210.54707049999706,None,None,210.54707049999706,216.76491809999425,1,0,0.7857142857142857,216.85505009999906,None,216.85505009999906,None,216.85505009999906,None,None,216.85505009999906,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,1.94912276105146,1.08604824075189,218.84831499999564,None,218.84831499999564,None,218.84831499999564,None,219.96191079999699,222.03195029999915,219.96533869999837,None,222.03195029999915,223.04776959999435,223.03070709999884,None,z,0,2.260302300004696,219.96191079999699,None,219.96191079999699,None,219.96191079999699,None,None,219.96191079999699,224.91526379999414,0,0,0.7333333333333333,225.00120409999363,None,225.00120409999363,None,225.00120409999363,None,None,225.00120409999363,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.15,2.86983191325091,2.49579389304826,226.99848079999356,None,226.99848079999356,None,226.99848079999356,None,229.5138638999997,231.58162569999695,229.5152120999977,None,231.58162569999695,232.58151519999956,232.58151519999956,None,z,0,2.57815980000305,229.5138638999997,None,229.5138638999997,None,229.5138638999997,None,None,229.5138638999997,235.39856289999443,0,0,0.6875,235.47334809999302,None,235.47334809999302,None,235.47334809999302,None,None,235.47334809999302,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,0.887650177272661,1.73294357419019,237.4819997999948,None,237.4819997999948,None,237.4819997999948,None,239.23006929999974,241.2986751999997,239.2320983999947,None,241.2986751999997,242.2984806999957,242.2984806999957,None,z,1,1.9211291000028723,239.23006929999974,None,239.23006929999974,None,239.23006929999974,None,None,239.23006929999974,243.13116619999346,1,1,0.7058823529411765,243.20591599999898,None,243.20591599999898,None,243.20591599999898,None,None,243.20591599999898,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0.5,0.905730910449904,1.75396267962373,245.21535849999782,None,245.21535849999782,None,245.21535849999782,None,246.99816139999893,249.06541569999536,246.99872889999676,None,249.06541569999536,250.06534739999915,250.06534739999915,None,z,1,0.9265206000054604,246.99816139999893,None,246.99816139999893,None,246.99816139999893,None,None,246.99816139999893,250.91429489999427,1,0,0.7222222222222222,250.98860479999712,None,250.98860479999712,None,250.98860479999712,None,None,250.98860479999712,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
