trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.671897605000652,2.29713937746779,288.7559130000009,None,288.7559130000009,None,288.7559130000009,None,291.05664530000104,293.0562255999994,291.0550768100009,293.0562255999994,293.0562255999994,None,b,1,1.3045077000006131,291.05664530000104,None,291.05664530000104,None,291.05664530000104,None,None,291.05664530000104,None,1,1,0.8947368421052632,294.75754489999963,None,294.75754489999963,None,294.75754489999963,None,None,294.75754489999963,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.86983191325091,0.789129602716002,296.7563389000006,None,296.7563389000006,None,296.7563389000006,None,297.5745564000008,299.5891367000004,297.5724526200007,299.57264960000066,299.57264960000066,None,b,1,1.1198713999983738,297.5745564000008,None,297.5745564000008,None,297.5745564000008,None,None,297.5745564000008,None,1,1,0.9,303.4733806000004,None,303.4733806000004,None,303.4733806000004,None,None,303.4733806000004,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,3.58943852196035,1.2479618399002,305.47238950000065,None,305.47238950000065,None,305.47238950000065,None,306.7360487999995,308.73955449999994,306.7392154200003,None,308.72282780000023,312.32290920000014,z,1,1.0517710000003717,306.7360487999995,None,306.7360487999995,None,306.7360487999995,None,None,306.7360487999995,None,1,1,0.9047619047619048,312.3541673,None,312.3541673,None,312.3541673,None,None,312.3541673,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.67601812978374,2.93536812882172,314.35593270000027,None,314.35593270000027,None,314.35593270000027,None,317.3257444999999,319.33968599999935,317.3229926199998,319.3229628000008,319.3229628000008,None,z,1,1.2790815999996994,317.3257444999999,None,317.3257444999999,None,317.3257444999999,None,None,317.3257444999999,None,1,1,0.9090909090909091,322.0263090999997,None,322.0263090999997,None,322.0263090999997,None,None,322.0263090999997,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.0889201672230797,2.3497497577282,324.0230184000011,None,324.0230184000011,None,324.0230184000011,None,326.38533090000055,328.3892101000001,326.3890774200005,328.3892101000001,328.37252310000076,330.47276450000027,b,1,1.294340899999952,326.38533090000055,None,326.38533090000055,None,326.38533090000055,None,None,326.38533090000055,None,1,1,0.9130434782608695,330.5121044999996,None,330.5121044999996,None,330.5121044999996,None,None,330.5121044999996,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,4.33462955345931,0.971483558655564,332.5056850000001,None,332.5056850000001,None,332.5056850000001,None,333.5037716000006,335.5060764000009,333.50576171999967,335.5060764000009,335.5060764000009,None,z,0,1.362978799999837,333.5037716000006,339.84001960000023,333.5037716000006,339.84001960000023,333.5037716000006,339.84001960000023,None,333.5037716000006,339.84001960000023,0,0,0.875,339.87908179999977,None,339.87908179999977,None,339.87908179999977,None,None,339.87908179999977,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,3.27810873521582,1.48342455087402,341.8728599999995,None,341.8728599999995,None,341.8728599999995,None,343.3730109999997,345.3728934999999,343.37320112000054,345.3728934999999,345.3728934999999,None,b,1,0.6228563999993639,343.3730109999997,None,343.3730109999997,None,343.3730109999997,None,None,343.3730109999997,None,1,1,0.88,348.67982909999955,None,348.67982909999955,None,348.67982909999955,None,None,348.67982909999955,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.899747326335302,1.84422310959985,350.6729438000002,None,350.6729438000002,None,350.6729438000002,None,352.53897569999936,354.53965869999956,352.5392321200012,354.53965869999956,354.53965869999956,None,b,0,1.255772700000307,352.53897569999936,None,352.53897569999936,None,352.53897569999936,None,None,352.53897569999936,None,0,0,0.8461538461538461,356.4576459,None,356.4576459,None,356.4576459,None,None,356.4576459,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,4.21669271035117,1.14263865585167,358.4560808999995,None,358.4560808999995,None,358.4560808999995,None,359.6231105000006,361.6229153000004,359.6228593200009,361.6229153000004,361.6229153000004,None,z,1,2.197850599999583,359.6231105000006,None,359.6231105000006,None,359.6231105000006,None,None,359.6231105000006,None,1,1,0.8518518518518519,365.8580602000002,None,365.8580602000002,None,365.8580602000002,None,None,365.8580602000002,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.62250581484608,1.31360018091897,367.8562858000005,None,367.8562858000005,None,367.8562858000005,None,369.1903364000009,371.18994770000063,369.1897660200008,371.18994770000063,371.18994770000063,None,b,0,1.2464137999995728,369.1903364000009,None,369.1903364000009,None,369.1903364000009,None,None,369.1903364000009,None,0,0,0.8214285714285714,374.8434593000002,None,374.8434593000002,None,374.8434593000002,None,None,374.8434593000002,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
