trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_8.rt,get_keys_7.rt,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,3.95666246474662,3.27666037293199,423.07417449999775,None,423.07417449999775,None,423.07417449999775,None,426.3571608899976,None,[],428.4123183999982,None,428.4123183999982,None,428.4123183999982,None,z,0.367343300000357,428.4123183999982,None,None,428.4123183999982,None,z,2.367343300000357,1,1,0.5555555555555556,432.40766959999746,None,432.40766959999746,None,432.40766959999746,None,None,432.40766959999746,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,1.887650177272661,1.44889042899439,434.4907353000017,None,434.4907353000017,None,434.4907353000017,None,435.9406271899963,None,[],437.9946643000003,None,437.9946643000003,None,437.9946643000003,None,z,0.40268420000211336,437.9946643000003,None,None,437.9946643000003,None,z,2.4026842000021134,1,1,0.6,439.9235552999962,None,439.9235552999962,None,439.9235552999962,None,None,439.9235552999962,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0.35,2.24205805775432,2.23299083390853,442.0086905999997,None,442.0086905999997,None,442.0086905999997,None,444.25680518999724,None,[],446.31221679999726,None,446.31221679999726,None,446.31221679999726,None,None,,446.31221679999726,None,['z'],446.31221679999726,None,[],[],0,3,0.5454545454545454,448.59061980000115,None,448.59061980000115,None,448.59061980000115,None,['z'],448.59061980000115,None,[0.09454449999611825],[0.5634441999936826],,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,2.67601812978374,2.5736109380813,450.67772759999934,None,450.67772759999934,None,450.67772759999934,None,453.25577058999914,z,['z'],455.3064639000004,None,455.3064639000004,None,455.3064639000004,None,None,,455.3064639000004,None,None,455.3064639000004,None,z,1.8146390999972937,0,0,0.5,458.0252362999963,None,458.0252362999963,None,458.0252362999963,None,None,458.0252362999963,None,,,1.8146390999972937,[1.8146390999972937],,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.109698721182561,2.3497497577282,460.11089869999705,None,460.11089869999705,None,460.11089869999705,None,462.47368168999964,None,[],464.5293298999968,None,464.5293298999968,None,464.5293298999968,None,z,0.5541021999961231,464.5293298999968,None,None,464.5293298999968,None,z,2.554102199996123,1,1,0.5384615384615384,465.67645600000105,None,465.67645600000105,None,465.67645600000105,None,None,465.67645600000105,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.15,2.91771467486041,1.75396267962373,467.758737199998,None,467.758737199998,None,467.758737199998,None,469.5235416899988,None,[],471.57751629999984,None,471.57751629999984,None,471.57751629999984,None,z,0.192644199996721,471.57751629999984,None,None,471.57751629999984,None,z,2.192644199996721,0,0,0.5,474.54113209999923,None,474.54113209999923,None,474.54113209999923,None,None,474.54113209999923,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.15,1.905730910449904,2.96222466864387,476.6326829999962,None,476.6326829999962,None,476.6326829999962,None,479.60719119000277,None,[],481.66081190000114,None,481.66081190000114,None,481.66081190000114,None,z,1.2975072999979602,481.66081190000114,None,None,481.66081190000114,None,z,3.29750729999796,0,0,0.4666666666666667,483.60569620000024,None,483.60569620000024,None,483.60569620000024,None,None,483.60569620000024,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.15,1.899747326335302,2.93536812882172,485.6917639999956,None,485.6917639999956,None,485.6917639999956,None,488.6404202899968,None,[],490.69573089999903,None,490.69573089999903,None,490.69573089999903,None,b,0.060244399996008724,490.69573089999903,None,None,490.69573089999903,None,b,2.0602443999960087,1,0,0.5,492.63691539999854,None,492.63691539999854,None,492.63691539999854,None,None,492.63691539999854,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.94912276105146,1.08099245958022,494.72529439999926,None,494.72529439999926,None,494.72529439999926,None,495.80728058999665,None,[],497.86347340000066,None,497.86347340000066,None,497.86347340000066,None,b,0.913157399991178,497.86347340000066,None,None,497.86347340000066,None,b,2.913157399991178,0,0,0.47058823529411764,500.8544901999994,None,500.8544901999994,None,500.8544901999994,None,None,500.8544901999994,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.74209998091573,1.31360018091897,502.94278640000266,None,502.94278640000266,None,502.94278640000266,None,504.2574007899995,z,['z'],506.3096829999995,None,506.3096829999995,None,506.3096829999995,None,None,,506.3096829999995,None,None,506.3096829999995,None,z,2.0240874999944936,1,1,0.5,509.09163389999594,None,509.09163389999594,None,509.09163389999594,None,None,509.09163389999594,None,,,2.0240874999944936,[2.0240874999944936],,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,4.33462955345931,2.7570014520733,511.1753037000017,None,511.1753037000017,None,511.1753037000017,None,513.9406761899984,None,[],515.9948825999963,None,515.9948825999963,None,515.9948825999963,None,b,0.5972751000008429,515.9948825999963,None,None,515.9948825999963,None,b,2.597275100000843,1,1,0.5263157894736842,520.3722807000013,None,520.3722807000013,None,520.3722807000013,None,None,520.3722807000013,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,4.1766095715889495,3.27418780206312,522.4629643000007,None,522.4629643000007,None,522.4629643000007,None,525.7406403899979,None,[],527.7966168999992,None,527.7966168999992,None,527.7966168999992,None,z,0.6992481999986921,527.7966168999992,None,None,527.7966168999992,None,z,2.699248199998692,0,0,0.5,532.0100700999974,None,532.0100700999974,None,532.0100700999974,None,None,532.0100700999974,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.6105816849230599,1.2479618399002,534.0966371999966,None,534.0966371999966,None,534.0966371999966,None,535.3573797899983,None,[],537.4107680000016,None,537.4107680000016,None,537.4107680000016,None,z,0.5184610999931465,537.4107680000016,None,None,537.4107680000016,None,z,2.5184610999931465,1,1,0.5238095238095238,539.0581988999984,None,539.0581988999984,None,539.0581988999984,None,None,539.0581988999984,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.671897605000652,1.55403782363402,541.1443593000004,None,541.1443593000004,None,541.1443593000004,None,542.7073235899982,None,[],544.7619328000001,None,544.7619328000001,None,544.7619328000001,None,b,0.4889416999940295,544.7619328000001,None,None,544.7619328000001,None,b,2.4889416999940295,1,1,0.5454545454545454,546.4748264000009,None,546.4748264000009,None,546.4748264000009,None,None,546.4748264000009,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,3.62250581484608,3.38809030570968,548.5637007999976,None,548.5637007999976,None,548.5637007999976,None,551.9574585900002,None,[],554.0123498999965,None,554.0123498999965,None,554.0123498999965,None,z,0.14978419999533799,554.0123498999965,None,None,554.0123498999965,None,z,2.149784199995338,1,1,0.5652173913043478,557.6772882000005,None,557.6772882000005,None,557.6772882000005,None,None,557.6772882000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,4.26803291533611,1.29306073609301,559.8155527999988,None,559.8155527999988,None,559.8155527999988,None,561.124060489997,z,['z'],563.1811963,None,563.1811963,None,563.1811963,None,None,,563.1811963,None,None,563.1811963,None,z,1.9727939999938826,1,0,0.5833333333333334,567.4905416999973,None,567.4905416999973,None,567.4905416999973,None,None,567.4905416999973,None,,,1.9727939999938826,[1.9727939999938826],,,,,,,,,,,,,,,,,,,,CBC_P004,001,set3,set2,3,0.8,2023-03-15_16h41.57.326,TV_prob,2022.1.1,59.94219175146485,
