trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.rt,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.0784833561945097,3.27666037293199,143.8417316999985,None,143.8417316999985,None,143.8417316999985,None,147.1258674800003,147.1425160799983,None,[],,,149.13091020000138,None,149.13091020000138,None,149.13091020000138,None,z,149.13091020000138,None,None,149.13091020000138,None,z,2.0503991000005044,1,1,0.4444444444444444,151.2438934999991,None,151.2438934999991,None,151.2438934999991,None,None,151.2438934999991,None,0.050399100000504404,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.58943852196035,1.88377296598415,153.25733499999842,None,153.25733499999842,None,153.25733499999842,None,155.14309068000074,155.15941817999845,b,['b'],1.2415650000002643,[1.2415650000002643],157.14757649999956,None,157.14757649999956,None,157.14757649999956,None,None,157.14757649999956,None,None,157.14757649999956,None,b,1.2415650000002643,0,0,0.4,160.77649350000138,None,160.77649350000138,None,160.77649350000138,None,None,160.77649350000138,None,,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0.35,1.2199655720291709,2.10833202116216,162.79111550000016,None,162.79111550000016,None,162.79111550000016,None,164.90907997999892,164.92581447999981,None,[],,,166.91525980000006,None,166.91525980000006,None,166.91525980000006,None,b,166.91525980000006,None,None,166.91525980000006,None,b,2.434708699998737,1,0,0.45454545454545453,168.17552739999883,None,168.17552739999883,None,168.17552739999883,None,None,168.17552739999883,None,0.43470869999873685,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,2.0889201672230797,2.7570014520733,170.19073969999954,None,170.19073969999954,None,170.19073969999954,None,172.9591917799982,172.97590408000104,None,[],,,174.96577249999973,None,174.96577249999973,None,174.96577249999973,None,z,174.96577249999973,None,None,174.96577249999973,None,z,2.14556210000228,0,0,0.4166666666666667,177.0901453000006,None,177.0901453000006,None,177.0901453000006,None,None,177.0901453000006,None,0.1455621000022802,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,3.04482772403364,1.37809841776001,179.08163440000135,None,179.08163440000135,None,179.08163440000135,None,180.45935558000127,180.47607028000056,None,[],,,182.46469100000104,None,182.46469100000104,None,182.46469100000104,None,z,182.46469100000104,None,None,182.46469100000104,None,z,2.0382681000010052,1,1,0.46153846153846156,185.54319100000066,None,185.54319100000066,None,185.54319100000066,None,None,185.54319100000066,None,0.03826810000100522,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.15,2.0845750455934002,3.26446861731854,187.55786050000097,None,187.55786050000097,None,187.55786050000097,None,190.8260302800001,190.8431965800002,None,[],,,192.83168039999873,None,192.83168039999873,None,192.83168039999873,None,z,192.83168039999873,None,None,192.83168039999873,None,z,2.158150700000988,0,0,0.42857142857142855,194.95872299999974,None,194.95872299999974,None,194.95872299999974,None,None,194.95872299999974,None,0.15815070000098785,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.15,3.95666246474662,0.971483558655564,196.94603189999907,None,196.94603189999907,None,196.94603189999907,None,197.92606517999883,197.94270998000064,b,['b'],1.7801202000009653,[1.7801202000009653],199.93323080000118,None,199.93323080000118,None,199.93323080000118,None,None,199.93323080000118,None,None,199.93323080000118,None,b,1.7801202000009653,1,1,0.4666666666666667,203.92550929999925,None,203.92550929999925,None,203.92550929999925,None,None,203.92550929999925,None,,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,1.905730910449904,1.84422310959985,205.94061140000122,None,205.94061140000122,None,205.94061140000122,None,207.79261577999858,207.80937998000007,z,['z'],1.5679552000001422,[1.5679552000001422],209.79909340000086,None,209.79909340000086,None,209.79909340000086,None,None,209.79909340000086,None,None,209.79909340000086,None,z,1.5679552000001422,0,0,0.4375,211.74376180000036,None,211.74376180000036,None,211.74376180000036,None,None,211.74376180000036,None,,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.595506577165096,1.29306073609301,213.7579431999984,None,213.7579431999984,None,213.7579431999984,None,215.05923547999845,215.07598377999892,b,['b'],1.3554082000009657,[1.3554082000009657],217.06175870000152,None,217.06175870000152,None,217.06175870000152,None,None,217.06175870000152,None,None,217.06175870000152,None,b,1.3554082000009657,0,0,0.4117647058823529,218.69087919999947,None,218.69087919999947,None,218.69087919999947,None,None,218.69087919999947,None,,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,4.33462955345931,1.55403782363402,220.7104274000012,None,220.7104274000012,None,220.7104274000012,None,222.2756705800013,222.29199707999868,b,['b'],1.38244670000131,[1.38244670000131],224.27467539999998,None,224.27467539999998,None,224.27467539999998,None,None,224.27467539999998,None,None,224.27467539999998,None,b,1.38244670000131,0,1,0.3888888888888889,228.6439309999987,None,228.6439309999987,None,228.6439309999987,None,None,228.6439309999987,None,,,,,,,,,,,,,,,,,,,,,,CBC_P029,002,3,2,3,0.8,2023-04-05_17h44.17.440,TV_prob,2022.1.1,60.02674791858115,
