trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],audio set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.2089046382315303,3.26446861731854,250.6959799000001,None,250.6959799000001,None,250.6959799000001,None,253.98011600000018,255.97941859999992,253.97938827999985,255.97941859999992,255.97941859999992,None,b,0,2.4176022000001467,253.98011600000018,None,253.98011600000018,None,253.98011600000018,None,None,253.98011600000018,None,0,0,0.3684210526315789,258.21361460000026,None,258.21361460000026,None,258.21361460000026,None,None,258.21361460000026,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.899747326335302,2.50277407648956,260.21289449999995,None,260.21289449999995,None,260.21289449999995,None,262.73065670000005,264.7461592999998,262.7285524899998,264.72956890000023,264.72956890000023,None,None,0,,262.73065670000005,None,262.73065670000005,None,262.73065670000005,None,None,262.73065670000005,None,0,3,0.35,266.69497120000005,None,266.69497120000005,None,266.69497120000005,None,['z'],266.69497120000005,None,[1.3074858999998469],,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.23248806235745,2.10833202116216,268.6460597999999,None,268.6460597999999,None,268.6460597999999,None,270.77819210000007,272.7795366999999,270.7801575799998,272.7795366999999,272.7795366999999,None,z,0,2.9384127999996963,270.77819210000007,None,270.77819210000007,None,270.77819210000007,None,None,270.77819210000007,None,0,0,0.3333333333333333,275.0310208000001,None,275.0310208000001,None,275.0310208000001,None,None,275.0310208000001,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,4.19624908154748,1.48342455087402,277.02927820000014,None,277.02927820000014,None,277.02927820000014,None,278.52853330000016,280.5285708000001,278.5294537799999,280.5285708000001,280.5285708000001,None,z,0,3.7403535999997075,278.52853330000016,None,278.52853330000016,None,278.52853330000016,None,None,278.52853330000016,None,0,0,0.3181818181818182,284.7482120999998,None,284.7482120999998,None,284.7482120999998,None,None,284.7482120999998,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.0845750455934002,2.96222466864387,286.74618020000025,None,286.74618020000025,None,286.74618020000025,None,289.7301913000001,291.7295730999999,289.7295308800002,291.7295730999999,291.7295730999999,None,z,1,2.5858311000001777,289.7301913000001,None,289.7301913000001,None,289.7301913000001,None,None,289.7301913000001,None,1,1,0.34782608695652173,293.85052959999985,None,293.85052959999985,None,293.85052959999985,None,None,293.85052959999985,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,3.04482772403364,2.07121332922762,295.8462915,None,295.8462915,None,295.8462915,None,297.9416028999999,299.9463172999999,297.94600448000017,None,299.92960790000006,302.9793872,b,0,2.5460267999997086,297.9416028999999,None,297.9416028999999,None,297.9416028999999,None,None,297.9416028999999,None,0,1,0.3333333333333333,303.0150428000002,None,303.0150428000002,None,303.0150428000002,None,None,303.0150428000002,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.671897605000652,2.93536812882172,305.01334799999995,None,305.01334799999995,None,305.01334799999995,None,307.97810519999985,309.97972759999993,307.97956448,309.97972759999993,309.97972759999993,None,b,0,1.8316372999997839,307.97810519999985,None,307.97810519999985,None,307.97810519999985,None,None,307.97810519999985,None,0,0,0.32,311.68603680000024,None,311.68603680000024,None,311.68603680000024,None,None,311.68603680000024,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.35,2.27860294189526,2.68488128149974,313.6793864000001,None,313.6793864000001,None,313.6793864000001,None,316.3935827,318.396381,316.3961883800001,318.396381,318.396381,None,z,0,2.155113899999833,316.3935827,None,316.3935827,None,316.3935827,None,None,316.3935827,None,0,1,0.3076923076923077,320.7007343,None,320.7007343,None,320.7007343,None,None,320.7007343,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,4.33462955345931,1.88377296598415,322.69605330000013,None,322.69605330000013,None,322.69605330000013,None,324.59641039999997,326.5962752999999,324.59626048000007,326.5962752999999,326.5962752999999,None,b,1,2.2021055999994132,324.59641039999997,None,324.59641039999997,None,324.59641039999997,None,None,324.59641039999997,None,1,1,0.3333333333333333,330.9677915000002,None,330.9677915000002,None,330.9677915000002,None,None,330.9677915000002,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.95666246474662,1.84422310959985,332.96289000000024,None,332.96289000000024,None,332.96289000000024,None,334.82757900000024,336.82957970000007,334.82963658000006,336.82957970000007,336.82957970000007,None,b,1,3.7204994999997325,334.82757900000024,None,334.82757900000024,None,334.82757900000024,None,None,334.82757900000024,None,1,1,0.35714285714285715,340.81018670000003,None,340.81018670000003,None,340.81018670000003,None,None,340.81018670000003,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
