trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_8.rt,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0.5,3.86983191325091,1.73294357419019,173.45348390000072,None,173.45348390000072,None,173.45348390000072,None,175.19780325999963,175.21427256000024,None,[],177.203693200001,None,177.203693200001,None,177.203693200001,None,b,0.4410981000000902,177.203693200001,None,None,177.203693200001,None,b,2.44109810000009,0,1,0.4444444444444444,181.11770640000032,None,181.11770640000032,None,181.11770640000032,None,None,181.11770640000032,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.67601812978374,3.27418780206312,183.2085676000006,None,183.2085676000006,None,183.2085676000006,None,186.49763196000058,186.5142650600006,None,[],188.50100969999949,None,188.50100969999949,None,188.50100969999949,None,b,0.7320802000012918,188.50100969999949,None,None,188.50100969999949,None,b,2.732080200001292,1,1,0.5,191.2164069999999,None,191.2164069999999,None,191.2164069999999,None,None,191.2164069999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,4.1766095715889495,2.68488128149974,193.2998502999999,None,193.2998502999999,None,193.2998502999999,None,195.99760745999956,196.0142164599998,None,[],198.00449260000096,None,198.00449260000096,None,198.00449260000096,None,b,0.3478111999993416,198.00449260000096,None,None,198.00449260000096,None,b,2.3478111999993416,0,0,0.45454545454545453,202.2197529999994,None,202.2197529999994,None,202.2197529999994,None,None,202.2197529999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0.5,2.23248806235745,1.08604824075189,204.30668610000066,None,204.30668610000066,None,204.30668610000066,None,205.39776526000023,205.4141995599999,None,[],207.40137090000098,None,207.40137090000098,None,207.40137090000098,None,b,0.1359253999999055,207.40137090000098,None,None,207.40137090000098,None,b,2.1359253999999055,0,1,0.4166666666666667,209.6831574000007,None,209.6831574000007,None,209.6831574000007,None,None,209.6831574000007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,1.671897605000652,2.12802719374523,211.76574059999984,None,211.76574059999984,None,211.76574059999984,None,213.89764086000068,213.91438186000013,None,[],215.90296669999952,None,215.90296669999952,None,215.90296669999952,None,None,,215.90296669999952,None,['b'],215.90296669999952,None,[],[],0,3,0.38461538461538464,217.6141970000008,None,217.6141970000008,None,217.6141970000008,None,None,217.6141970000008,None,[0.8446550999997271],,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.15,2.94912276105146,3.27666037293199,219.6958340000001,None,219.6958340000001,None,219.6958340000001,None,222.98102376000097,222.99739546000055,None,[],224.99254699999983,None,224.99254699999983,None,224.99254699999983,None,z,0.15343510000093374,224.99254699999983,None,None,224.99254699999983,None,z,2.1534351000009337,0,0,0.35714285714285715,227.9794204000009,None,227.9794204000009,None,227.9794204000009,None,None,227.9794204000009,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0.35,1.6105816849230599,2.93536812882172,230.0632544,None,230.0632544,None,230.0632544,None,232.99777225999932,233.01433576000053,None,[],235.00179229999958,None,235.00179229999958,None,235.00179229999958,None,z,0.20649950000006356,235.00179229999958,None,None,235.00179229999958,None,z,2.2064995000000636,0,1,0.3333333333333333,236.6468101999999,None,236.6468101999999,None,236.6468101999999,None,None,236.6468101999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.15,2.11780998338946,2.23439856631263,238.73243720000028,None,238.73243720000028,None,238.73243720000028,None,240.98095006000003,240.99775605999966,None,[],242.98527699999977,None,242.98527699999977,None,242.98527699999977,None,z,0.6531285000000935,242.98527699999977,None,None,242.98527699999977,None,z,2.6531285000000935,0,1,0.3125,245.14374879999923,None,245.14374879999923,None,245.14374879999923,None,None,245.14374879999923,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,3.47854712582944,1.75396267962373,247.24133149999943,None,247.24133149999943,None,247.24133149999943,None,248.9977525600003,249.0145917599999,z,['z'],251.0055281999994,None,251.0055281999994,None,251.0055281999994,None,None,,251.0055281999994,None,None,251.0055281999994,None,z,1.0275099000009504,1,1,0.35294117647058826,254.53111360000003,None,254.53111360000003,None,254.53111360000003,None,None,254.53111360000003,None,,1.0275099000009504,[1.0275099000009504],,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,1.543156518078604,2.3497497577282,256.6126112000002,None,256.6126112000002,None,256.6126112000002,None,258.9645459599993,258.98118765999936,None,[],260.9702889,None,260.9702889,None,260.9702889,None,b,0.6213201999999001,260.9702889,None,None,260.9702889,None,b,2.6213201999999,0,0,0.3333333333333333,262.5479654999999,None,262.5479654999999,None,262.5479654999999,None,None,262.5479654999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
