trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.15,3.62250581484608,1.84422310959985,403.0562269000002,None,403.0562269000002,None,403.0562269000002,None,404.90600826999906,z,['z'],406.9629466000006,None,406.9629466000006,None,406.9629466000006,None,None,,406.9629466000006,None,None,406.9629466000006,None,z,1.3812086999969324,1,1,0.7941176470588235,410.6222134999989,None,410.6222134999989,None,410.6222134999989,None,None,410.6222134999989,None,1.3812086999969324,[1.3812086999969324],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.2089046382315303,2.40738395932908,412.7056503999993,None,412.7056503999993,None,412.7056503999993,None,415.1229635700012,z,['z'],417.1787651000013,None,417.1787651000013,None,417.1787651000013,None,None,,417.1787651000013,None,None,417.1787651000013,None,z,1.3339206999989983,1,1,0.8,419.42116109999915,None,419.42116109999915,None,419.42116109999915,None,None,419.42116109999915,None,1.3339206999989983,[1.3339206999989983],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0.5,4.21669271035117,3.27666037293199,421.50450710000223,None,421.50450710000223,None,421.50450710000223,None,424.7894258700009,b,['b'],426.8468752000008,None,426.8468752000008,None,426.8468752000008,None,None,,426.8468752000008,None,None,426.8468752000008,None,b,1.0084172999995644,1,0,0.8055555555555556,431.0760268000013,None,431.0760268000013,None,431.0760268000013,None,None,431.0760268000013,None,1.0084172999995644,[1.0084172999995644],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,3.58943852196035,1.73294357419019,433.17911359999925,None,433.17911359999925,None,433.17911359999925,None,434.92277547000157,b,['b'],436.9815001999996,None,436.9815001999996,None,436.9815001999996,None,None,,436.9815001999996,None,None,436.9815001999996,None,b,1.4270608999977412,1,0,0.8108108108108109,440.60474389999945,None,440.60474389999945,None,440.60474389999945,None,None,440.60474389999945,None,1.4270608999977412,[1.4270608999977412],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,3.27810873521582,2.49579389304826,442.6885117999991,None,442.6885117999991,None,442.6885117999991,None,445.18937427000236,z,['z'],447.2457768000022,None,447.2457768000022,None,447.2457768000022,None,None,,447.2457768000022,None,None,447.2457768000022,None,z,1.037934599997243,1,1,0.8157894736842105,450.5752954999989,None,450.5752954999989,None,450.5752954999989,None,None,450.5752954999989,None,1.037934599997243,[1.037934599997243],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0.35,4.1766095715889495,1.31360018091897,452.6586982000008,None,452.6586982000008,None,452.6586982000008,None,453.9715053699994,z,['z'],456.02072300000145,None,456.02072300000145,None,456.02072300000145,None,None,,456.02072300000145,None,None,456.02072300000145,None,z,1.0570345999985875,1,0,0.8205128205128205,460.24346810000134,None,460.24346810000134,None,460.24346810000134,None,None,460.24346810000134,None,1.0570345999985875,[1.0570345999985875],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.39750191607,2.7570014520733,462.3253943999989,None,462.3253943999989,None,462.3253943999989,None,465.08958826999987,b,['b'],467.1472534000022,None,467.1472534000022,None,467.1472534000022,None,None,,467.1472534000022,None,None,467.1472534000022,None,b,1.0600610000001325,1,1,0.825,469.57668510000076,None,469.57668510000076,None,469.57668510000076,None,None,469.57668510000076,None,1.0600610000001325,[1.0600610000001325],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.88444949943153,1.48342455087402,471.6723610000008,None,471.6723610000008,None,471.6723610000008,None,473.1564294700012,b,['b'],475.213874699999,None,475.213874699999,None,475.213874699999,None,None,,475.213874699999,None,None,475.213874699999,None,b,1.6368083999986993,1,1,0.8292682926829268,479.1392971000023,None,479.1392971000023,None,479.1392971000023,None,None,479.1392971000023,None,1.6368083999986993,[1.6368083999986993],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.15,4.26803291533611,1.75396267962373,481.2225507000003,None,481.2225507000003,None,481.2225507000003,None,482.9893007700022,z,['z'],485.0468101000006,None,485.0468101000006,None,485.0468101000006,None,None,,485.0468101000006,None,None,485.0468101000006,None,z,1.1599089999945136,1,1,0.8333333333333334,489.3551957000018,None,489.3551957000018,None,489.3551957000018,None,None,489.3551957000018,None,1.1599089999945136,[1.1599089999945136],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.33950679999907,None,496.3397780000014,None,496.3397780000014,None,None,496.3397780000014,None,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,b,z,2,2,1,2,0.5,1.0,1.0,,,,,,,,,,,
