trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response_runs.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.47854712582944,2.78012240036799,311.57433519999995,None,311.57433519999995,None,311.57433519999995,None,314.3604042999996,316.3750866999999,314.3577779799998,316.3585457999998,316.3585457999998,None,b,1,314.3604042999996,None,314.3604042999996,None,314.3604042999996,None,None,314.3604042999996,None,1,1,0.7368421052631579,319.8602115999993,None,319.8602115999993,None,319.8602115999993,None,None,319.8602115999993,None,1.0461042000006273,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.758742575863891,1.91520730139263,321.85800219999965,None,321.85800219999965,None,321.85800219999965,None,323.79311899999993,325.8086414999998,323.79193046,325.7919228999999,325.7919228999999,None,z,1,323.79311899999993,None,323.79311899999993,None,323.79311899999993,None,None,323.79311899999993,None,1,1,0.75,327.5742360999993,None,327.5742360999993,None,327.5742360999993,None,None,327.5742360999993,None,0.689771400000609,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,3.58943852196035,1.53162701008885,329.57480419999956,None,329.57480419999956,None,329.57480419999956,None,331.12744719999955,333.1426252000001,331.1255212599999,None,333.12523319999946,None,z,1,331.12744719999955,None,331.12744719999955,None,331.12744719999955,None,None,331.12744719999955,None,1,1,0.7619047619047619,336.7424205999996,None,336.7424205999996,None,336.7424205999996,None,None,336.7424205999996,None,0.8346817999999985,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.11780998338946,2.3497497577282,338.7421353,None,338.7421353,None,338.7421353,None,341.1070138999994,343.10879639999985,341.1088952599994,343.10879639999985,343.10879639999985,None,z,1,341.1070138999994,345.22500649999984,341.1070138999994,345.22500649999984,341.1070138999994,345.22500649999984,None,341.1070138999994,345.22500649999984,1,1,0.7727272727272727,345.2456330999994,None,345.2456330999994,None,345.2456330999994,None,None,345.2456330999994,None,2.3322376000005534,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.15,1.556335756354144,3.38809030570968,347.2586496999993,None,347.2586496999993,None,347.2586496999993,None,350.6768257999993,352.6911726999997,350.6755064600002,352.6744971999997,352.6744971999997,None,b,1,350.6768257999993,None,350.6768257999993,None,350.6768257999993,None,None,350.6768257999993,None,1,0,0.782608695652174,354.26254659999995,None,354.26254659999995,None,354.26254659999995,None,None,354.26254659999995,None,0.9937355000001844,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.23248806235745,2.12802719374523,356.2586911999997,None,356.2586911999997,None,356.2586911999997,None,358.40659869999945,360.40824749999956,358.4090351599998,None,360.40824749999956,None,z,1,358.40659869999945,None,358.40659869999945,None,358.40659869999945,None,None,358.40659869999945,None,1,1,0.7916666666666666,362.6624224999996,None,362.6624224999996,None,362.6624224999996,None,None,362.6624224999996,None,1.1234865999995236,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.2089046382315303,3.27666037293199,364.6587660999994,None,364.6587660999994,None,364.6587660999994,None,367.9587709999996,369.95911739999974,367.9588830599996,369.95911739999974,369.95911739999974,None,b,1,367.9587709999996,None,367.9587709999996,None,367.9587709999996,None,None,367.9587709999996,None,1,1,0.8,372.1924685999993,None,372.1924685999993,None,372.1924685999993,None,None,372.1924685999993,None,1.059917000000496,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.595506577165096,1.41191114387976,374.19201259999954,None,374.19201259999954,None,374.19201259999954,None,375.6257614999995,377.62561519999963,375.6254531599998,377.62561519999963,377.62561519999963,None,b,1,375.6257614999995,None,375.6257614999995,None,375.6257614999995,None,None,375.6257614999995,None,1,1,0.8076923076923077,379.24011229999996,None,379.24011229999996,None,379.24011229999996,None,None,379.24011229999996,None,1.3465280999998868,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.887650177272661,0.789129602716002,381.2421919999997,None,381.2421919999997,None,381.2421919999997,None,382.0566183000001,384.0589194999993,382.0589599599998,384.0589194999993,384.0589194999993,None,b,1,382.0566183000001,None,382.0566183000001,None,382.0566183000001,None,None,382.0566183000001,None,1,1,0.8148148148148148,385.9766559999998,None,385.9766559999998,None,385.9766559999998,None,None,385.9766559999998,None,0.912213900000097,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.0889201672230797,1.88377296598415,387.9754481,None,387.9754481,None,387.9754481,None,389.87707729999966,391.8923969999996,389.8764253599993,391.87563669999963,391.87563669999963,None,z,1,389.87707729999966,None,389.87707729999966,None,389.87707729999966,None,None,389.87707729999966,None,1,1,0.8214285714285714,393.99102270000003,None,393.99102270000003,None,393.99102270000003,None,None,393.99102270000003,None,1.8670678000007683,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
