trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.rt,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,response2.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,3.47854712582944,1.08099245958022,302.41727119999996,None,302.41727119999996,None,302.41727119999996,None,303.5025805200001,303.51945531999996,None,[],305.5029692999999,None,305.5029692999999,None,305.5029692999999,None,b,305.5029692999999,None,None,,305.5029692999999,None,b,2.6696326999999656,0,0,0.5789473684210527,309.0157621999999,None,309.0157621999999,None,309.0157621999999,None,None,309.0157621999999,None,,,0.6696326999999656,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.26803291533611,2.12802719374523,311.0048187,None,311.0048187,None,311.0048187,None,313.1362099199999,313.15349911999994,None,[],315.1414976000001,None,315.1414976000001,None,315.1414976000001,None,z,315.1414976000001,None,None,,315.1414976000001,None,z,2.5296158000001014,1,1,0.6,319.45445799999993,None,319.45445799999993,None,319.45445799999993,None,None,319.45445799999993,None,,,0.5296158000001014,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,3.88444949943153,0.977134614530179,321.43767520000006,None,321.43767520000006,None,321.43767520000006,None,322.41986991999994,322.4366471199999,None,[],324.42365799999993,None,324.42365799999993,None,324.42365799999993,None,z,324.42365799999993,None,None,,324.42365799999993,None,z,3.4123213000000305,0,0,0.5714285714285714,328.3519097000001,None,328.3519097000001,None,328.3519097000001,None,None,328.3519097000001,None,,,1.4123213000000305,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.2199655720291709,2.5736109380813,330.3645405,None,330.3645405,None,330.3645405,None,332.9529001199999,332.96995051999994,None,[],334.96124480000003,None,334.96124480000003,None,334.96124480000003,None,z,334.96124480000003,None,None,,334.96124480000003,None,z,2.361054899999999,1,1,0.5909090909090909,336.2200353999999,None,336.2200353999999,None,336.2200353999999,None,None,336.2200353999999,None,,,0.3610548999999992,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.0889201672230797,2.7570014520733,338.2380441,None,338.2380441,None,338.2380441,None,341.00307282,341.01906822000007,None,[],343.0047597,None,343.0047597,None,343.0047597,None,z,343.0047597,None,None,,343.0047597,None,z,3.116254499999968,0,0,0.5652173913043478,345.13828420000004,None,345.13828420000004,None,345.13828420000004,None,None,345.13828420000004,None,,,1.1162544999999682,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,3.58943852196035,1.14263865585167,347.1490678,None,347.1490678,None,347.1490678,None,348.30297232000004,348.31966001999996,None,[],350.3086939,None,350.3086939,None,350.3086939,None,z,350.3086939,None,None,,350.3086939,None,z,2.485767300000134,0,0,0.5416666666666666,353.9339273999999,None,353.9339273999999,None,353.9339273999999,None,None,353.9339273999999,None,,,0.48576730000013413,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.35,2.74209998091573,3.26446861731854,355.9500290000001,None,355.9500290000001,None,355.9500290000001,None,359.21978002,359.23642282,None,[],361.2242119,None,361.2242119,None,361.2242119,None,b,361.2242119,None,None,,361.2242119,None,b,2.7500724999999875,0,1,0.52,364.00456140000006,None,364.00456140000006,None,364.00456140000006,None,None,364.00456140000006,None,,,0.7500724999999875,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.6105816849230599,2.29713937746779,366.0154232,None,366.0154232,None,366.0154232,None,368.31971082,368.33644362,None,[],370.32376709999994,None,370.32376709999994,None,370.32376709999994,None,z,370.32376709999994,None,None,,370.32376709999994,None,z,2.606773799999928,1,1,0.5384615384615384,371.9700928,None,371.9700928,None,371.9700928,None,None,371.9700928,None,,,0.6067737999999281,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.27860294189526,1.55403782363402,373.9892486000001,None,373.9892486000001,None,373.9892486000001,None,375.5533737199999,375.5695728199999,None,[],377.5521169000001,None,377.5521169000001,None,377.5521169000001,None,b,377.5521169000001,None,None,,377.5521169000001,None,b,3.0875659999999243,1,1,0.5555555555555556,379.84319260000007,None,379.84319260000007,None,379.84319260000007,None,None,379.84319260000007,None,,,1.0875659999999243,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,4.30975216432768,1.84422310959985,381.8501126000001,None,381.8501126000001,None,381.8501126000001,None,383.70413491999994,383.71976972,None,[],385.7069065999999,None,385.7069065999999,None,385.7069065999999,None,b,385.7069065999999,None,None,,385.7069065999999,None,b,2.345150599999897,1,0,0.5714285714285714,390.027554,None,390.027554,None,390.027554,None,None,390.027554,None,,,0.34515059999989717,,,,,,,,,,,,,,,,,,,,,CBC_P014,001,set3,set1,3,0.8,2023-03-29_15h27.38.049,TV_prob,2022.1.1,60.0013560306033,
