trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,3.88444949943153,1.48342455087402,247.62675229999968,None,247.62675229999968,None,247.62675229999968,None,249.12232171000014,249.13911720999985,b,['b'],251.12551389999953,None,251.12551389999953,None,251.12551389999953,None,None,,251.12551389999953,None,None,251.12551389999953,None,b,1.0949682000000394,1,1,0.8947368421052632,255.0546016999997,None,255.0546016999997,None,255.0546016999997,None,None,255.0546016999997,None,1.0949682000000394,[1.0949682000000394],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.11780998338946,1.08099245958022,257.04972050000015,None,257.04972050000015,None,257.04972050000015,None,258.13894571000003,258.15543371000024,None,[],260.14202879999993,None,260.14202879999993,None,260.14202879999993,None,z,0.33208359999935055,260.14202879999993,None,None,260.14202879999993,None,z,2.3320835999993506,1,1,0.9,262.27779999999984,None,262.27779999999984,None,262.27779999999984,None,None,262.27779999999984,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,4.21669271035117,1.55403782363402,264.290395,None,264.290395,None,264.290395,None,265.8559437099999,265.87216821000004,z,['z'],267.8594481,None,267.8594481,None,267.8594481,None,None,,267.8594481,None,None,267.8594481,None,z,1.9694199999994453,1,0,0.9047619047619048,272.12389280000025,None,272.12389280000025,None,272.12389280000025,None,None,272.12389280000025,None,1.9694199999994453,[1.9694199999994453],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,2.94912276105146,2.10833202116216,274.1400672999998,None,274.1400672999998,None,274.1400672999998,None,276.2557705099995,276.2728682100002,z,['z'],278.2642877999997,None,278.2642877999997,None,278.2642877999997,None,None,,278.2642877999997,None,None,278.2642877999997,None,z,0.9072120999999242,1,1,0.9090909090909091,281.25753089999944,None,281.25753089999944,None,281.25753089999944,None,None,281.25753089999944,None,0.9072120999999242,[0.9072120999999242],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,3.50182449656669,2.3497497577282,283.2740719000003,None,283.2740719000003,None,283.2740719000003,None,285.6388789099998,285.65564830999995,None,[],287.64008339999964,None,287.64008339999964,None,287.64008339999964,None,z,0.030292000000372354,287.64008339999964,None,None,287.64008339999964,None,z,2.0302920000003724,0,0,0.8695652173913043,291.18991449999976,None,291.18991449999976,None,291.18991449999976,None,None,291.18991449999976,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,1.595506577165096,2.23299083390853,293.1810865999996,None,293.1810865999996,None,293.1810865999996,None,295.42168301000004,295.43874820999974,z,['z'],297.4199735000002,None,297.4199735000002,None,297.4199735000002,None,None,,297.4199735000002,None,None,297.4199735000002,None,z,0.9720014000004085,1,1,0.875,299.0563225999995,None,299.0563225999995,None,299.0563225999995,None,None,299.0563225999995,None,0.9720014000004085,[0.9720014000004085],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.556335756354144,1.31360018091897,301.0832038999997,None,301.0832038999997,None,301.0832038999997,None,302.4061106099995,302.4229181099996,None,[],304.4110178000001,None,304.4110178000001,None,304.4110178000001,None,z,0.6930761999992683,304.4110178000001,None,None,304.4110178000001,None,z,2.6930761999992683,0,0,0.84,305.9947947999999,None,305.9947947999999,None,305.9947947999999,None,None,305.9947947999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,2.67601812978374,2.68488128149974,308.0076214999999,None,308.0076214999999,None,308.0076214999999,None,310.7052372100003,310.72227500999963,z,['z'],312.7048904000003,None,312.7048904000003,None,312.7048904000003,None,None,,312.7048904000003,None,None,312.7048904000003,None,z,1.6215978000000177,0,0,0.8076923076923077,315.4228846999995,None,315.4228846999995,None,315.4228846999995,None,None,315.4228846999995,None,1.6215978000000177,[1.6215978000000177],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.109698721182561,1.53162701008885,317.4463225999998,None,317.4463225999998,None,317.4463225999998,None,318.98968450999985,319.0059417099998,None,[],320.98957789999986,None,320.98957789999986,None,320.98957789999986,None,z,0.6906836000007388,320.98957789999986,None,None,320.98957789999986,None,z,2.690683600000739,0,0,0.7777777777777778,322.13762469999983,None,322.13762469999983,None,322.13762469999983,None,None,322.13762469999983,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,4.19624908154748,1.2479618399002,324.1573599000003,None,324.1573599000003,None,324.1573599000003,None,325.40595051,325.42309850999993,z,['z'],327.41408839999986,None,327.41408839999986,None,327.41408839999986,None,None,,327.41408839999986,None,None,327.41408839999986,None,z,0.9678217000000586,1,1,0.7857142857142857,331.6469864999999,None,331.6469864999999,None,331.6469864999999,None,None,331.6469864999999,None,0.9678217000000586,[0.9678217000000586],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,2.27860294189526,3.27418780206312,333.6580328,None,333.6580328,None,333.6580328,None,336.93917270999975,336.95598121000023,None,[],338.93996530000004,None,338.93996530000004,None,338.93996530000004,None,z,0.40703799999937473,338.93996530000004,None,None,338.93996530000004,None,z,2.4070379999993747,1,0,0.7931034482758621,341.25712440000007,None,341.25712440000007,None,341.25712440000007,None,None,341.25712440000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,2.3725274662429303,3.38809030570968,343.27600579999944,None,343.27600579999944,None,343.27600579999944,None,346.67212101000007,346.6883457099999,z,['z'],348.66906349999954,None,348.66906349999954,None,348.66906349999954,None,None,,348.66906349999954,None,None,348.66906349999954,None,z,1.2542326000002504,1,1,0.8,351.0898822999998,None,351.0898822999998,None,351.0898822999998,None,None,351.0898822999998,None,1.2542326000002504,[1.2542326000002504],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.899747326335302,3.32142038400957,353.1130753999996,None,353.1130753999996,None,353.1130753999996,None,356.4392692099997,356.4557938100003,None,[],358.4432654000002,None,358.4432654000002,None,358.4432654000002,None,z,0.9628835000003164,358.4432654000002,None,None,358.4432654000002,None,z,2.9628835000003164,0,0,0.7741935483870968,360.39098659999945,None,360.39098659999945,None,360.39098659999945,None,None,360.39098659999945,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,1.887650177272661,2.12802719374523,362.3815476,None,362.3815476,None,362.3815476,None,364.5222023100001,364.5384125099996,z,['z'],366.5178361999997,None,366.5178361999997,None,366.5178361999997,None,None,,366.5178361999997,None,None,366.5178361999997,None,z,1.8485390999994706,0,0,0.75,368.43874270000015,None,368.43874270000015,None,368.43874270000015,None,None,368.43874270000015,None,1.8485390999994706,[1.8485390999994706],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0.5,4.30975216432768,2.29713937746779,370.4560055000002,None,370.4560055000002,None,370.4560055000002,None,372.75604601,372.77277731000015,z,['z'],374.7556543999999,None,374.7556543999999,None,374.7556543999999,None,None,,374.7556543999999,None,None,374.7556543999999,None,z,0.9771718000001783,1,0,0.7575757575757576,379.1032392999996,None,379.1032392999996,None,379.1032392999996,None,None,379.1032392999996,None,0.9771718000001783,[0.9771718000001783],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,3.27810873521582,0.789129602716002,381.1225050000003,None,381.1225050000003,None,381.1225050000003,None,381.92275801000017,381.9394853099999,None,[],383.9282439999997,None,383.9282439999997,None,383.9282439999997,None,z,0.7524893999998312,383.9282439999997,None,None,383.9282439999997,None,z,2.752489399999831,1,0,0.7647058823529411,387.23713580000003,None,387.23713580000003,None,387.23713580000003,None,None,387.23713580000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
