trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_8.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.0889201672230797,2.07121332922762,236.2766941000009,None,236.2766941000009,None,236.2766941000009,None,238.36114079999987,238.37774670000016,None,[],240.3644226000015,None,240.3644226000015,None,240.3644226000015,None,b,0.28191939999851456,240.3644226000015,None,None,240.3644226000015,None,b,2.2819193999985146,1,1,0.7894736842105263,242.49373350000133,None,242.49373350000133,None,242.49373350000133,None,None,242.49373350000133,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.50182449656669,1.29306073609301,244.57846000000063,None,244.57846000000063,None,244.57846000000063,None,245.8776835999999,245.89434180000006,None,[],247.8756007000011,None,247.8756007000011,None,247.8756007000011,None,b,0.4590641999984655,247.8756007000011,None,None,247.8756007000011,None,b,2.4590641999984655,1,1,0.8,251.4097991000017,None,251.4097991000017,None,251.4097991000017,None,None,251.4097991000017,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,2.91771467486041,1.75396267962373,253.4921789,None,253.4921789,None,253.4921789,None,255.26125520000113,255.27782270000006,None,[],257.26546020000023,None,257.26546020000023,None,257.26546020000023,None,z,0.3595248999990872,257.26546020000023,None,None,257.26546020000023,None,z,2.359524899999087,1,1,0.8095238095238095,260.2243073000009,None,260.2243073000009,None,260.2243073000009,None,None,260.2243073000009,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,4.30975216432768,1.44889042899439,262.3132501,None,262.3132501,None,262.3132501,None,263.7612748000012,263.7779063,None,[],265.76770790000046,None,265.76770790000046,None,265.76770790000046,None,b,0.34371549999923445,265.76770790000046,None,None,265.76770790000046,None,b,2.3437154999992345,1,1,0.8181818181818182,270.1093011000012,None,270.1093011000012,None,270.1093011000012,None,None,270.1093011000012,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,4.1766095715889495,1.37809841776001,272.17895060000046,None,272.17895060000046,None,272.17895060000046,None,273.56130070000125,273.577981300001,None,[],275.567092700001,None,275.567092700001,None,275.567092700001,None,b,0.3367116999979771,275.567092700001,None,None,275.567092700001,None,b,2.336711699997977,1,1,0.8260869565217391,279.77695810000114,None,279.77695810000114,None,279.77695810000114,None,None,279.77695810000114,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.35,3.58943852196035,3.26446861731854,281.8590178000013,None,281.8590178000013,None,281.8590178000013,None,285.1280860000008,285.14486270000106,None,[],287.1315239000014,None,287.1315239000014,None,287.1315239000014,None,z,0.6065147999979672,287.1315239000014,None,None,287.1315239000014,None,z,2.606514799997967,1,0,0.8333333333333334,290.762683500001,None,290.762683500001,None,290.762683500001,None,None,290.762683500001,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.543156518078604,2.12802719374523,292.8420283000014,None,292.8420283000014,None,292.8420283000014,None,294.9780448000003,294.99479120000086,None,[],296.98322890000054,None,296.98322890000054,None,296.98322890000054,None,z,0.446446099998866,296.98322890000054,None,None,296.98322890000054,None,z,2.446446099998866,1,1,0.84,298.5642416999999,None,298.5642416999999,None,298.5642416999999,None,None,298.5642416999999,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,2.23248806235745,2.78012240036799,300.6463863000008,None,300.6463863000008,None,300.6463863000008,None,303.42818730000016,303.4456331000003,None,[],305.4332123000004,None,305.4332123000004,None,305.4332123000004,None,b,0.510487399998965,305.4332123000004,None,None,305.4332123000004,None,b,2.510487399998965,1,0,0.8461538461538461,307.7121345000014,None,307.7121345000014,None,307.7121345000014,None,None,307.7121345000014,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,3.88444949943153,2.5736109380813,309.79620590000013,None,309.79620590000013,None,309.79620590000013,None,312.37824370000106,312.39495990000086,None,[],314.38512320000154,None,314.38512320000154,None,314.38512320000154,None,b,0.4040097999986756,314.38512320000154,None,None,314.38512320000154,None,b,2.4040097999986756,1,0,0.8518518518518519,318.3105142000004,None,318.3105142000004,None,318.3105142000004,None,None,318.3105142000004,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,2.24205805775432,1.08099245958022,320.39775680000093,None,320.39775680000093,None,320.39775680000093,None,321.47824150000105,321.4947685000008,None,[],323.4836481000002,None,323.4836481000002,None,323.4836481000002,None,z,0.32615099999748054,323.4836481000002,None,None,323.4836481000002,None,z,2.3261509999974805,1,1,0.8571428571428571,325.7628456000002,None,325.7628456000002,None,325.7628456000002,None,None,325.7628456000002,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
