trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.35,3.27810873521582,2.96222466864387,252.78232710000157,None,252.78232710000157,None,252.78232710000157,None,255.7512209399989,None,[],257.8035449000017,None,257.8035449000017,None,257.8035449000017,None,b,0.11112510000020848,257.8035449000017,None,None,257.8035449000017,None,b,2.1111251000002085,1,0,0.6842105263157895,261.11879150000095,None,261.11879150000095,None,261.11879150000095,None,None,261.11879150000095,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.33462955345931,2.29713937746779,263.1922126999998,None,263.1922126999998,None,263.1922126999998,None,265.50096193999855,None,[],267.55510309999954,None,267.55510309999954,None,267.55510309999954,None,b,0.3295718000008492,267.55510309999954,None,None,267.55510309999954,None,b,2.329571800000849,1,1,0.7,271.93464089999907,None,271.93464089999907,None,271.93464089999907,None,None,271.93464089999907,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.2199655720291709,2.40738395932908,274.0138678000003,None,274.0138678000003,None,274.0138678000003,None,276.4346289399997,None,[],278.48788259999856,None,278.48788259999856,None,278.48788259999856,None,b,0.35718790000100853,278.48788259999856,None,None,278.48788259999856,None,b,2.3571879000010085,0,0,0.6666666666666666,279.75406609999845,None,279.75406609999845,None,279.75406609999845,None,None,279.75406609999845,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.8749846827473111,3.32142038400957,281.881910600001,None,281.881910600001,None,281.881910600001,None,285.2172869399998,None,[],287.2711018000009,None,287.2711018000009,None,287.2711018000009,None,b,0.30172390000007,287.2711018000009,None,None,287.2711018000009,None,b,2.30172390000007,1,1,0.6818181818181818,289.197016099999,None,289.197016099999,None,289.197016099999,None,None,289.197016099999,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,4.26803291533611,3.27666037293199,291.27046960000007,None,291.27046960000007,None,291.27046960000007,None,294.55153153999856,None,[],296.6072251000005,None,296.6072251000005,None,296.6072251000005,None,b,0.22759149999910733,296.6072251000005,None,None,296.6072251000005,None,b,2.2275914999991073,0,0,0.6521739130434783,300.92248870000185,None,300.92248870000185,None,300.92248870000185,None,None,300.92248870000185,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.94912276105146,1.08099245958022,302.9984199999999,None,302.9984199999999,None,302.9984199999999,None,304.0849726399989,None,[],306.1385139999984,None,306.1385139999984,None,306.1385139999984,None,z,0.4620613000006415,306.1385139999984,None,None,306.1385139999984,None,z,2.4620613000006415,1,1,0.6666666666666666,309.13507839999875,None,309.13507839999875,None,309.13507839999875,None,None,309.13507839999875,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,4.1766095715889495,3.26446861731854,311.21418970000013,None,311.21418970000013,None,311.21418970000013,None,314.4841800400005,b,['b'],316.53632970000035,None,316.53632970000035,None,316.53632970000035,None,None,,316.53632970000035,None,None,316.53632970000035,None,b,1.872444299999188,1,1,0.68,320.75133130000177,None,320.75133130000177,None,320.75133130000177,None,None,320.75133130000177,None,1.872444299999188,[1.872444299999188],,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.543156518078604,1.73294357419019,322.8179636999994,None,322.8179636999994,None,322.8179636999994,None,324.55174454000155,None,[],326.6068492000013,None,326.6068492000013,None,326.6068492000013,None,b,0.8606906000022718,326.6068492000013,None,None,326.6068492000013,None,b,2.860690600002272,1,1,0.6923076923076923,328.18542290000187,None,328.18542290000187,None,328.18542290000187,None,None,328.18542290000187,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.39750191607,3.27418780206312,330.26277440000194,None,330.26277440000194,None,330.26277440000194,None,333.55147803999864,z,['z'],335.60786989999906,None,335.60786989999906,None,335.60786989999906,None,None,,335.60786989999906,None,None,335.60786989999906,None,z,1.6420123000025342,1,1,0.7037037037037037,338.0522444999988,None,338.0522444999988,None,338.0522444999988,None,None,338.0522444999988,None,1.6420123000025342,[1.6420123000025342],,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,3.50182449656669,2.5736109380813,340.1320804999996,None,340.1320804999996,None,340.1320804999996,None,342.71829153999863,None,[],344.7750496000008,None,344.7750496000008,None,344.7750496000008,None,z,0.25898070000039297,344.7750496000008,None,None,344.7750496000008,None,z,2.258980700000393,1,1,0.7142857142857143,348.31972440000027,None,348.31972440000027,None,348.31972440000027,None,None,348.31972440000027,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
