trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.rt,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.109698721182561,1.44889042899439,815.1763281000003,None,815.1763281000003,None,815.1763281000003,None,816.6260452699998,816.6429615700008,None,[],818.6230541000004,None,818.6230541000004,None,818.6230541000004,None,None,818.6230541000004,None,None,818.6230541000004,None,[],[],0,3,0.47368421052631576,819.7736193000001,None,819.7736193000001,None,819.7736193000001,None,['b'],[0.5174143000003824],819.7736193000001,None,,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.23248806235745,3.38809030570968,821.767792300001,None,821.767792300001,None,821.767792300001,None,825.1601696700009,825.1768079700005,None,[],827.1602072999995,None,827.1602072999995,None,827.1602072999995,None,z,827.1602072999995,None,None,827.1602072999995,None,z,2.2731122999994113,0,0,0.45,829.3980255000006,None,829.3980255000006,None,829.3980255000006,None,None,,829.3980255000006,None,0.27311229999941133,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.0845750455934002,2.29713937746779,831.4077410000009,None,831.4077410000009,None,831.4077410000009,None,833.7102683700004,833.7269941700006,None,[],835.7139662000009,None,835.7139662000009,None,835.7139662000009,None,z,835.7139662000009,None,None,835.7139662000009,None,z,3.144446500000413,1,1,0.47619047619047616,837.8439572999996,None,837.8439572999996,None,837.8439572999996,None,None,,837.8439572999996,None,1.144446500000413,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,4.30975216432768,2.7570014520733,839.8310275999993,None,839.8310275999993,None,839.8310275999993,None,842.5934507699994,842.6101244700012,None,[],844.5970529000006,None,844.5970529000006,None,844.5970529000006,None,z,844.5970529000006,None,None,844.5970529000006,None,z,3.1869950000000244,1,1,0.5,848.9443105000009,None,848.9443105000009,None,848.9443105000009,None,None,,848.9443105000009,None,1.1869950000000244,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,4.33462955345931,2.07121332922762,850.9588141000004,None,850.9588141000004,None,850.9588141000004,None,853.0437035700006,853.0602164700003,None,[],855.0422739999995,None,855.0422739999995,None,855.0422739999995,None,b,855.0422739999995,None,None,855.0422739999995,None,b,2.5970717999989574,1,1,0.5217391304347826,859.4091721999994,None,859.4091721999994,None,859.4091721999994,None,None,,859.4091721999994,None,0.5970717999989574,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.899747326335302,0.789129602716002,861.4297741000009,None,861.4297741000009,None,861.4297741000009,None,862.2269561700004,862.2436111699999,None,[],864.2318059000008,None,864.2318059000008,None,864.2318059000008,None,z,864.2318059000008,None,None,864.2318059000008,None,z,2.671203299998524,0,0,0.5,866.1745652999998,None,866.1745652999998,None,866.1745652999998,None,None,,866.1745652999998,None,0.671203299998524,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,1.887650177272661,2.96222466864387,868.1641144999994,None,868.1641144999994,None,868.1641144999994,None,871.1261256700009,871.1429010700003,None,[],873.1215088999998,None,873.1215088999998,None,873.1215088999998,None,b,873.1215088999998,None,None,873.1215088999998,None,b,2.412469000000783,1,0,0.52,875.0407147999995,None,875.0407147999995,None,875.0407147999995,None,None,,875.0407147999995,None,0.4124690000007831,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.74209998091573,2.23299083390853,877.058958900001,None,877.058958900001,None,877.058958900001,None,879.2937059700007,879.3103930700008,None,[],881.298026800001,None,881.298026800001,None,881.298026800001,None,z,881.298026800001,None,None,881.298026800001,None,z,2.542753600000651,1,1,0.5384615384615384,884.0802463,None,884.0802463,None,884.0802463,None,None,,884.0802463,None,0.5427536000006512,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,3.47854712582944,1.2479618399002,886.0670726999997,None,886.0670726999997,None,886.0670726999997,None,887.3271310700011,887.3436871700005,None,[],889.3328316999996,None,889.3328316999996,None,889.3328316999996,None,b,889.3328316999996,None,None,889.3328316999996,None,b,3.4562232999996922,0,0,0.5185185185185185,892.8448177999999,None,892.8448177999999,None,892.8448177999999,None,None,,892.8448177999999,None,1.4562232999996922,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.94912276105146,1.08099245958022,894.8583486000007,None,894.8583486000007,None,894.8583486000007,None,895.9432614700008,895.9597268700008,None,[],897.9393230000005,None,897.9393230000005,None,897.9393230000005,None,b,897.9393230000005,None,None,897.9393230000005,None,b,2.6684322000000975,0,0,0.5,900.925370500001,None,900.925370500001,None,900.925370500001,None,None,,900.925370500001,None,0.6684322000000975,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
