trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.30975216432768,2.5736109380813,291.9512331999995,None,291.9512331999995,None,291.9512331999995,None,294.5243526499993,294.5410524499997,None,[],,,296.52229500000067,None,296.52229500000067,None,296.52229500000067,None,z,296.52229500000067,None,None,296.52229500000067,None,z,2.5799110000007204,1,1,0.8947368421052632,300.8756243000007,None,300.8756243000007,None,300.8756243000007,None,None,300.8756243000007,None,0.5799110000007204,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,3.86983191325091,0.971483558655564,302.89361850000023,None,302.89361850000023,None,302.89361850000023,None,303.87481824999975,303.8912973500004,b,['b'],0.9295973000007507,[0.9295973000007507],305.8792904999991,None,305.8792904999991,None,305.8792904999991,None,None,305.8792904999991,None,None,305.8792904999991,None,b,0.9295973000007507,1,1,0.9,309.7608689000008,None,309.7608689000008,None,309.7608689000008,None,None,309.7608689000008,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,3.62250581484608,1.2479618399002,311.7853496000007,None,311.7853496000007,None,311.7853496000007,None,313.0416090499997,313.0580334500004,None,[],,,315.04524630000014,None,315.04524630000014,None,315.04524630000014,None,b,315.04524630000014,None,None,315.04524630000014,None,b,2.712652700000035,1,0,0.9047619047619048,318.70738730000085,None,318.70738730000085,None,318.70738730000085,None,None,318.70738730000085,None,0.7126527000000351,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.556335756354144,2.3497497577282,320.72678409999935,None,320.72678409999935,None,320.72678409999935,None,323.0912926499999,323.1082432500001,None,[],,,325.1002977999997,None,325.1002977999997,None,325.1002977999997,None,b,325.1002977999997,None,None,325.1002977999997,None,b,2.2505091999992146,1,1,0.9090909090909091,326.6941451999992,None,326.6941451999992,None,326.6941451999992,None,None,326.6941451999992,None,0.2505091999992146,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,3.27810873521582,3.27418780206312,328.7193463000003,None,328.7193463000003,None,328.7193463000003,None,332.00806234999925,332.0248610499997,z,['z'],1.5684650000002875,[1.5684650000002875],334.01347539999915,None,334.01347539999915,None,334.01347539999915,None,None,334.01347539999915,None,None,334.01347539999915,None,z,1.5684650000002875,1,1,0.9130434782608695,337.3244087000003,None,337.3244087000003,None,337.3244087000003,None,None,337.3244087000003,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.758742575863891,2.07121332922762,339.3466437999996,None,339.3466437999996,None,339.3466437999996,None,341.42433545000074,341.44102644999964,None,[],,,343.4309451000008,None,343.4309451000008,None,343.4309451000008,None,b,343.4309451000008,None,None,343.4309451000008,None,b,2.2118852000003244,1,1,0.9166666666666666,345.22304389999954,None,345.22304389999954,None,345.22304389999954,None,None,345.22304389999954,None,0.2118852000003244,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,1.671897605000652,1.84422310959985,347.25625240000045,None,347.25625240000045,None,347.25625240000045,None,349.1082892499993,349.12490555000056,z,['z'],1.0254889000007097,[1.0254889000007097],351.1158856000002,None,351.1158856000002,None,351.1158856000002,None,None,351.1158856000002,None,None,351.1158856000002,None,z,1.0254889000007097,1,1,0.92,352.8248691000008,None,352.8248691000008,None,352.8248691000008,None,None,352.8248691000008,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,2.0845750455934002,0.789129602716002,354.85641419999956,None,354.85641419999956,None,354.85641419999956,None,355.6580593499997,355.67470464999985,z,['z'],1.4758081999989372,[1.4758081999989372],357.66414389999954,None,357.66414389999954,None,357.66414389999954,None,None,357.66414389999954,None,None,357.66414389999954,None,z,1.4758081999989372,1,1,0.9230769230769231,359.7923523999998,None,359.7923523999998,None,359.7923523999998,None,None,359.7923523999998,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,1.905730910449904,2.64870493261766,361.86436030000004,None,361.86436030000004,None,361.86436030000004,None,364.5246479499996,364.5411397500005,z,['z'],0.9448554999999033,[0.9448554999999033],366.5299362000005,None,366.5299362000005,None,366.5299362000005,None,None,366.5299362000005,None,None,366.5299362000005,None,z,0.9448554999999033,1,1,0.9259259259259259,368.47694910000064,None,368.47694910000064,None,368.47694910000064,None,None,368.47694910000064,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.887650177272661,1.55403782363402,370.49542669999937,None,370.49542669999937,None,370.49542669999937,None,372.05815265000035,372.0749369500003,None,[],,,374.0633042999998,None,374.0633042999998,None,374.0633042999998,None,b,374.0633042999998,None,None,374.0633042999998,None,b,2.423831500000233,1,1,0.9285714285714286,375.99078109999937,None,375.99078109999937,None,375.99078109999937,None,None,375.99078109999937,None,0.42383150000023306,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0.5,2.74209998091573,2.10833202116216,378.02235830000063,None,378.02235830000063,None,378.02235830000063,None,380.1417874499997,380.1583208499991,b,['b'],0.9355808000000252,[0.9355808000000252],382.14700690000063,None,382.14700690000063,None,382.14700690000063,None,None,382.14700690000063,None,None,382.14700690000063,None,b,0.9355808000000252,1,0,0.9310344827586207,384.92841620000036,None,384.92841620000036,None,384.92841620000036,None,None,384.92841620000036,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.11780998338946,1.48342455087402,386.9507424000003,None,386.9507424000003,None,386.9507424000003,None,388.4411237500002,388.45797914999946,None,[],,,390.4469337999999,None,390.4469337999999,None,390.4469337999999,None,b,390.4469337999999,None,None,390.4469337999999,None,b,2.276202799999737,1,1,0.9333333333333333,392.6104708999992,None,392.6104708999992,None,392.6104708999992,None,None,392.6104708999992,None,0.2762027999997372,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
