trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,4.21669271035117,1.41191114387976,241.46137759999988,None,241.46137759999988,None,241.46137759999988,None,242.89731719999986,244.91135499999996,242.8944625599998,None,244.89465739999991,249.11147469999992,b,0,2.557916200000136,242.89731719999986,None,242.89731719999986,None,242.89731719999986,None,None,242.89731719999986,None,0,0,0.7368421052631579,249.15187349999997,None,249.15187349999997,None,249.15187349999997,None,None,249.15187349999997,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.2199655720291709,2.49579389304826,251.1447628999997,None,251.1447628999997,None,251.1447628999997,None,253.65958129999967,255.6616492999999,253.6615420599997,None,255.6616492999999,None,b,1,1.2473276999999143,253.65958129999967,None,253.65958129999967,None,253.65958129999967,None,None,253.65958129999967,None,1,1,0.75,256.9138823999999,None,256.9138823999999,None,256.9138823999999,None,None,256.9138823999999,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,2.39750191607,1.48342455087402,258.9116597999998,None,258.9116597999998,None,258.9116597999998,None,260.41260039999975,262.4116243000001,260.4119618599998,None,262.4116243000001,None,b,1,1.7815880000002835,260.41260039999975,None,260.41260039999975,None,260.41260039999975,None,None,260.41260039999975,None,1,1,0.7619047619047619,264.8241175999999,None,264.8241175999999,None,264.8241175999999,None,None,264.8241175999999,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.109698721182561,1.84422310959985,266.8281346000001,None,266.8281346000001,None,266.8281346000001,None,268.69530340000006,270.6951922999999,268.6951610599999,270.6951922999999,270.6951922999999,None,b,1,1.6858292000001711,268.69530340000006,None,268.69530340000006,None,268.69530340000006,None,None,268.69530340000006,None,1,1,0.7727272727272727,271.8239086000001,None,271.8239086000001,None,271.8239086000001,None,None,271.8239086000001,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0.15,2.3725274662429303,2.93536812882172,273.82813250000004,None,273.82813250000004,None,273.82813250000004,None,276.7958096,278.79499329999976,276.79518545999963,278.79499329999976,278.79499329999976,None,z,1,1.7168306000003213,276.7958096,None,276.7958096,None,276.7958096,None,None,276.7958096,None,1,0,0.782608695652174,281.1932446999997,None,281.1932446999997,None,281.1932446999997,None,None,281.1932446999997,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.0889201672230797,1.29306073609301,283.1949712999997,None,283.1949712999997,None,283.1949712999997,None,284.51406699999984,286.5284435000001,284.51188095999987,286.5117223,286.5117223,None,b,1,1.0445736000001489,284.51406699999984,None,284.51406699999984,None,284.51406699999984,None,None,284.51406699999984,None,1,1,0.7916666666666666,288.6314163999998,None,288.6314163999998,None,288.6314163999998,None,None,288.6314163999998,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,1.6105816849230599,1.37809841776001,290.6283784999998,None,290.6283784999998,None,290.6283784999998,None,292.02584809999985,294.0283901,292.0282926599998,None,294.0283901,None,z,1,1.4793573000001743,292.02584809999985,None,292.02584809999985,None,292.02584809999985,None,None,292.02584809999985,None,1,1,0.8,295.6665238999997,None,295.6665238999997,None,295.6665238999997,None,None,295.6665238999997,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.595506577165096,1.75396267962373,297.66179420000003,None,297.66179420000003,None,297.66179420000003,None,299.44374969999967,301.4451434,299.44507866000004,301.4451434,301.4451434,None,None,0,,299.44374969999967,None,299.44374969999967,None,299.44374969999967,None,['z'],299.44374969999967,None,0,3,0.7692307692307693,303.06355359999975,None,303.06355359999975,None,303.06355359999975,None,None,303.06355359999975,None,[1.0684399000001576],,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.35,3.27810873521582,1.14263865585167,305.0616843999999,None,305.0616843999999,None,305.0616843999999,None,306.22453169999994,308.22842620000006,306.22849715999973,None,308.2118508000001,311.49531809999985,z,1,1.3801668000000973,306.22453169999994,None,306.22453169999994,None,306.22453169999994,None,None,306.22453169999994,None,1,0,0.7777777777777778,311.5279509999998,None,311.5279509999998,None,311.5279509999998,None,None,311.5279509999998,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.887650177272661,2.78012240036799,313.5284756999997,None,313.5284756999997,None,313.5284756999997,None,316.3266729999998,318.32865289999995,316.32847925999977,318.32865289999995,318.32865289999995,None,b,1,0.8715512999997372,316.3266729999998,None,316.3266729999998,None,316.3266729999998,None,None,316.3266729999998,None,1,1,0.7857142857142857,320.24749240000006,None,320.24749240000006,None,320.24749240000006,None,None,320.24749240000006,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
