trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
30,0,30,0,,,,,,,,,,2,1,0,r,63,1,2.82320408183943,1.12425433982333,None,700.5843576999996,None,701.7204224999996,None,701.7204224999996,None,701.71713569,None,['r'],[1.6910438000004433],701.7204224999996,None,None,703.7202658999995,None,r,1.6910438000004433,1,1,0.8064516129032258,706.5564947000003,None,None,706.5564947000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
31,0,31,0,,,,,,,,,,3,3,2,b,63,1,2.433630701072358,1.25920145784721,None,708.3675379999995,None,709.6372099999999,None,709.6372099999999,None,709.6340138899997,None,None,,709.6372099999999,None,['b'],711.6174073000002,None,b,2.5026624000001902,1,1,0.8125,714.0403538,None,None,714.0403538,None,[0.5026624000001902],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
32,0,32,0,,,,,,,,,,1,2,1,r,9,1,3.35133458220192,1.53122835510861,None,715.8511968000003,None,717.4063995999995,None,717.4063995999995,None,717.4171253199999,None,['b'],[1.7105568000006315],717.4063995999995,None,None,719.3987668,None,b,1.7105568000006315,0,0,0.7878787878787878,722.7563868999996,None,None,722.7563868999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
33,0,33,0,,,,,,,,,,2,1,0,r,63,1,3.2062024266105302,3.24569326556923,None,724.5674142999997,None,727.8341279999995,None,727.8341279999995,None,727.8340601900001,None,['r'],[1.5525353000002724],727.8341279999995,None,None,729.8327108000003,None,r,1.5525353000002724,1,1,0.7941176470588235,733.0352989000003,None,None,733.0352989000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
34,0,34,0,,,,,,,,,,0,2,1,b,9,1,3.73326136168326,0.77703640172831,None,734.8514391999997,None,735.6375880999994,None,735.6375880999994,None,735.6340132899996,None,None,,735.6375880999994,None,['b'],737.6177246999996,None,b,3.179483799999616,1,1,0.8,741.3382129000001,None,None,741.3382129000001,None,[1.1794837999996162],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
35,0,35,0,,,,,,,,,,1,1,0,b,63,1,4.12485271162806,2.49839527409216,None,743.1509146999997,None,745.6689135999995,None,745.6689135999995,None,745.6673956899996,None,['b'],[1.4535574000001361],745.6689135999995,None,None,747.6700989000001,None,b,1.4535574000001361,1,1,0.8055555555555556,751.8080090000003,None,None,751.8080090000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
36,0,36,0,,,,,,,,,,2,0,1,b,63,0,3.71372710086949,0.952147612306987,None,753.6175431000001,None,754.5915469000001,None,754.5915469000001,None,754.6007300199996,None,None,,754.5915469000001,None,['b'],756.5676248999998,None,b,2.389976399999796,1,0,0.8108108108108109,760.2659433999997,None,None,760.2659433999997,None,[0.38997639999979583],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
37,0,37,0,,,,,,,,,,1,0,1,r,63,1,4.01714354611405,3.33124983260532,None,762.0674681999999,None,765.4213395999996,None,765.4213395999996,None,765.4172125899996,None,['r'],[1.7116550999999163],765.4213395999996,None,None,767.4211386999996,None,r,1.7116550999999163,1,1,0.8157894736842105,771.4376710999995,None,None,771.4376710999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
38,0,38,0,,,,,,,,,,3,1,3,r,27,1,4.53337421950507,1.34668860557497,None,773.2509253999997,None,774.6194970999995,None,774.6194970999995,None,774.61740079,None,None,,774.6194970999995,None,['b'],776.6009705999995,None,b,3.8330953999993653,0,0,0.7948717948717948,781.1340529999998,None,None,781.1340529999998,None,[1.8330953999993653],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
39,0,39,0,,,,,,,,,,0,3,2,r,63,1,3.76873691643126,1.96568735158996,None,782.9347456999994,None,784.9251502999996,None,784.9251502999996,None,784.9342886199998,None,None,,784.9251502999996,None,['r'],786.9014345999994,None,r,3.167111200000363,1,1,0.8,790.6618818999996,None,None,790.6618818999996,None,[1.1671112000003632],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
40,0,40,0,,,,,,,,,,2,0,2,b,27,1,2.91303524001082,2.22427187882546,None,792.4677371999996,None,794.7062053,None,794.7062053,None,794.7173589199998,None,['b'],[1.3065088000003016],794.7062053,None,None,796.6998025000003,None,b,1.3065088000003016,1,1,0.8048780487804879,799.6249693999998,None,None,799.6249693999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
41,0,41,0,,,,,,,,,,3,2,3,r,63,1,4.190022164497369,1.18065738546375,None,801.4343209999997,None,802.6416902999999,None,802.6416902999999,None,802.6510400200001,None,None,,802.6416902999999,None,['b'],804.6177600999999,None,b,3.7304966000001514,0,0,0.7857142857142857,808.7978661999996,None,None,808.7978661999996,None,[1.7304966000001514],,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
42,0,42,0,,,,,,,,,,1,1,3,b,27,1,4.77723667052879,1.60731937853708,None,810.6013480000001,None,812.2190823999999,None,812.2190823999999,None,812.2173194899998,None,['r'],[1.7533558000004632],812.2190823999999,None,None,814.2212118999996,None,r,1.7533558000004632,0,0,0.7674418604651163,819.0048572999995,None,None,819.0048572999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
43,0,43,0,,,,,,,,,,0,3,2,r,63,1,2.2759877950103027,0.979776149765883,None,820.8180110000003,None,821.8210996999996,None,821.8210996999996,None,821.8177126900001,None,None,,821.8210996999996,None,None,823.8014303,None,[],[],0,3,0.75,826.0516565999997,None,None,826.0516565999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,827.8512275000003,None,,,,,,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.8515658999995,None,None,832.8515658999995,None,,,,,,,,,,,,,CBC_1109,001,3,2,6,14,0.95,2024-06-07_14h04.19.059,MSI_AV_v3,2022.1.1,59.732410746452715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,b,hard,"[0, 1, 2, 3]","[2, 1, 0, 3]",0.6363636363636364,1.0,0.7272727272727273,0.6363636363636364,31,2,11,,,,,,,,,,,,
