trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,3,1.0,0.0,b,63.0,0.0,3.884449499,2.7801224,None,583.5212754999993,None,586.3248628000001,None,586.3248628000001,None,586.3214929800006,None,None,586.3248628000001,None,['b'],[0.4859990999993897],588.3047600999998,None,b,2.4859990999993897,1,0,0.5454545454545454,592.183727399999,None,None,592.183727399999,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
11,0,11,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,1.219965572,2.128027194,None,594.1882638999996,None,596.3251139999993,None,596.3251139999993,None,596.3215192799989,None,None,596.3251139999993,None,None,,598.3047743999996,None,[],[],0,3,0.5,599.5095683999989,None,['z'],599.5095683999989,None,,[0.018405400000119698],,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
12,0,12,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,4.334629553,0.789129603,None,601.5214307999995,None,602.3255974999993,None,602.3255974999993,None,602.3383669399991,None,"['z', 'z']",602.3255974999993,None,None,,604.3214284000005,None,z,1.0379326000002038,1,1,0.5384615384615384,608.6615896000003,None,None,608.6615896000003,None,"[1.0379326000002038, 1.9021304000016244]",,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
13,0,13,0,,,,,,,,,,1,2.0,0.0,b,27.0,1.0,2.088920167,1.08099246,None,610.6715077999997,None,611.7828611999994,None,611.7828611999994,None,611.787984139999,None,['b'],611.7828611999994,None,None,,613.7708186999989,None,b,1.7007603000001836,1,1,0.5714285714285714,615.861777099999,None,None,615.861777099999,None,[1.7007603000001836],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
14,0,14,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.67601813,2.349749758,None,617.8715475999998,None,620.2429491000003,None,620.2429491000003,None,620.2548252399993,None,['b'],620.2429491000003,None,None,,622.2398429000004,None,b,1.6145355999997264,1,1,0.6,624.9290378999995,None,None,624.9290378999995,None,[1.6145355999997264],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
15,0,15,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,1.595506577,2.502774076,None,626.9382189999997,None,629.4436636999999,None,629.4436636999999,None,629.4541159800001,None,['z'],629.4436636999999,None,['z'],[0.026163399999859394],631.4566102999997,None,z,1.107623900001272,0,0,0.5625,633.0611248999994,None,None,633.0611248999994,None,[1.107623900001272],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
16,0,16,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.078483356,1.142638656,None,635.0715725999999,None,636.2260348999989,None,636.2260348999989,None,636.2382102399988,None,None,636.2260348999989,None,['z'],[0.658748400001059],638.2047703999997,None,z,2.658748400001059,1,1,0.5882352941176471,640.2636628,None,None,640.2636628,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
17,0,17,0,,,,,,,,,,2,2.0,3.0,z,63.0,0.0,3.869831913,3.274187802,None,642.2715463000004,None,645.560972199999,None,645.560972199999,None,645.5714786400004,None,['z'],645.560972199999,None,None,,647.5460060000005,None,z,1.2482039999995322,1,0,0.6111111111111112,651.4107256000007,None,None,651.4107256000007,None,[1.2482039999995322],,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
18,0,18,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,1.899747326,1.554037824,None,653.4221500999993,None,654.9934190999993,None,654.9934190999993,None,655.0049400400003,None,None,654.9934190999993,None,['z'],[0.7564556999986962],656.9715673999999,None,z,2.756455699998696,0,0,0.5789473684210527,658.8663304000002,None,None,658.8663304000002,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
19,0,19,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,3.956662465,3.276660373,None,660.8715665999989,None,664.160002999999,None,664.160002999999,None,664.1715538400003,None,None,664.160002999999,None,['z'],[0.09992280000005849],666.1382601999994,None,z,2.0999228000000585,1,1,0.6,670.0780887000001,None,None,670.0780887000001,None,,,,,,,,,,,,,,,,,,,,CBC_1007,003,2,1,0,4,0.9,2023-06-21_15h59.48.192,MSI_AV_v3,2022.1.1,59.99876402565381,
