trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
24,0,24,0,,,,,,,,,,1,3,2,b,63,1,3.7500315165247198,1.36309078069689,None,527.4130845,None,528.8029205000003,None,528.8029205000003,None,528.8127948000005,None,['b'],528.8029205000003,None,None,,530.8009192999998,None,b,1.3904513999987103,1,1,0.72,534.5540916000009,None,None,534.5540916000009,None,[1.3904513999987103],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
25,0,25,0,,,,,,,,,,3,0,2,z,27,1,2.92731383428727,1.78643585472448,None,536.3630226000005,None,538.1691673000005,None,538.1691673000005,None,538.1795406000005,None,['z'],538.1691673000005,None,None,,540.1635653000012,None,z,1.8043046000002505,1,1,0.7307692307692307,543.1010575,None,None,543.1010575,None,[1.8043046000002505],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
26,0,26,0,,,,,,,,,,0,0,1,z,63,1,4.77723667052879,1.94858485820231,None,544.9127719000007,None,546.8898687000001,None,546.8898687000001,None,546.8961794999999,None,None,546.8898687000001,None,['z'],[0.2245932999994693],548.8628134999999,None,z,2.2245932999994693,1,1,0.7407407407407407,553.6291213000004,None,None,553.6291213000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
27,0,27,0,,,,,,,,,,2,1,0,z,63,1,2.91303524001082,1.12425433982333,None,555.429646300001,None,556.5698771000007,None,556.5698771000007,None,556.5798813000005,None,None,556.5698771000007,None,['z'],[0.2670190000008006],558.5462487000004,None,z,2.2670190000008006,1,1,0.75,561.4563094000005,None,None,561.4563094000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
28,0,28,0,,,,,,,,,,3,2,3,b,63,1,4.72585056748869,0.80788063606262,None,563.2627912000007,None,564.0860773000004,None,564.0860773000004,None,564.0970538999994,None,['b'],564.0860773000004,None,None,,566.0765778000005,None,b,1.4929518999997526,1,1,0.7586206896551724,570.8040302999998,None,None,570.8040302999998,None,[1.4929518999997526],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
29,0,29,0,,,,,,,,,,1,1,3,z,27,1,4.82531807167306,1.1243895841892,None,572.6128188000002,None,573.7511528000014,None,573.7511528000014,None,573.7628910000006,None,['z'],573.7511528000014,None,None,,575.7466741999997,None,z,1.6072155000001658,1,1,0.7666666666666667,580.5678384000003,None,None,580.5678384000003,None,[1.6072155000001658],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
30,0,30,0,,,,,,,,,,2,0,1,b,63,1,3.71372710086949,1.53122835510861,None,582.3796499,None,583.9358650000013,None,583.9358650000013,None,583.9462987999999,None,['z'],583.9358650000013,None,None,,585.9234709000011,None,z,1.8853658999996696,0,0,0.7419354838709677,589.6321828,None,None,589.6321828,None,[1.8853658999996696],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
31,0,31,0,,,,,,,,,,1,2,3,z,63,1,2.666404967794728,3.1963008326951,None,591.4466506000008,None,594.6640468000005,None,594.6640468000005,None,594.6629682000001,None,['z'],594.6640468000005,None,None,,596.6605275000002,None,z,1.039837799999077,1,1,0.75,599.3363404000011,None,None,599.3363404000011,None,[1.039837799999077],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
32,0,32,0,,,,,,,,,,0,1,2,b,9,1,3.6438386551209,2.6299100644723,None,601.1464506000011,None,603.8017354000003,None,603.8017354000003,None,603.8129109000005,None,['b'],603.8017354000003,None,None,,605.8004719,None,b,1.4529234999990877,1,1,0.7575757575757576,609.4359818000012,None,None,609.4359818000012,None,[1.4529234999990877],,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
33,0,33,0,,,,,,,,,,2,0,1,b,63,1,4.52047235037039,1.38289892513751,None,611.2466313000004,None,612.6518419000004,None,612.6518419000004,None,612.6636822999993,None,None,612.6518419000004,None,['z'],[0.46441409999897587],614.6294904000006,None,z,2.464414099998976,0,0,0.7352941176470589,619.1431274000006,None,None,619.1431274000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,003,3,1,2,13,0.95,2023-12-06_15h58.00.246,MSI_AV_v3,2022.1.1,59.97112989859105,
