trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,3.3728785608729996,0.761758675042088,None,524.1971052999997,None,524.94746839,524.94746839,524.9640033899998,None,[],['z'],[0.3545490000001337],526.9516181999998,None,z,2.3545490000001337,0,0,0.4444444444444444,None,530.3381249999998,None,530.3381249999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
9,0,9,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.526044641065533,1.25817747924478,None,532.1475443999998,None,533.3808287899999,533.3808287899999,533.3973283899998,None,[],['z'],[0.6284431999997651],535.3875007000001,None,z,2.628443199999765,1,1,0.5,None,537.9017681,None,537.9017681,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
10,0,10,0,,,,,,,,,,1,1.0,0.0,b,63.0,0.0,2.294664843639333,3.4543169006169,None,539.7137118,None,543.1474502899998,543.1474502899998,543.1640639899999,None,[],['z'],[0.9326854999999341],545.1527495999999,None,z,2.932685499999934,0,1,0.45454545454545453,None,547.4454304000001,None,547.4454304000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
11,0,11,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.342239579230602,2.40378712856304,None,549.2474339999999,None,551.6304878899998,551.6304878899998,551.6469776900001,None,[],['b'],[0.3297808000002078],553.6352910999999,None,b,2.329780800000208,1,1,0.5,None,555.9764142999998,None,555.9764142999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
12,0,12,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,4.01714354611405,1.90743690794447,None,557.7804701,None,559.6642888899999,559.6642888899999,559.6802303899997,None,[],['z'],[0.06822340000007898],561.6671481999997,None,z,2.068223400000079,1,1,0.5384615384615384,None,565.6928601999998,None,565.6928601999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
13,0,13,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,3.31929419319838,1.36309078069689,None,567.4969381000001,None,568.8471490899999,568.8471490899999,568.8639067900001,None,[],['z'],[0.3120797000001403],570.8498624999997,None,z,2.3120797000001403,0,0,0.5,None,574.1746281000001,None,574.1746281000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
14,0,14,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.190022164497369,0.917519910446003,None,575.9806159999998,None,576.8806128899998,576.8806128899998,576.89709849,None,[],['b'],[0.7241189000001214],578.8852929999998,None,b,2.7241189000001214,1,1,0.5333333333333333,None,583.0935648999998,None,583.0935648999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
15,0,15,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,2.82320408183943,1.96568735158996,None,584.8972552999999,None,586.8473327899999,586.8473327899999,586.8641240899999,None,[],['z'],[0.4146915999999692],588.8520727,None,z,2.414691599999969,0,0,0.5,None,591.7003482,None,591.7003482,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
16,0,16,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.40017271499661,3.06992456303453,None,593.5137644000001,None,596.5638715899997,596.5638715899997,596.58014789,None,[],['z'],[0.6023820000000342],598.5714975000001,None,z,2.602382000000034,1,1,0.5294117647058824,None,602.9648186,None,602.9648186,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
17,0,17,0,,,,,,,,,,2,2.0,3.0,z,63.0,0.0,4.72585056748869,2.78346932462847,None,604.7637134000001,None,607.5304273899999,607.5304273899999,607.5471708899997,None,[],['z'],[0.3607025999999678],609.5367012000002,None,z,2.360702599999968,1,0,0.5555555555555556,None,614.2475574,None,614.2475574,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1144,1,5,2,0,1,0.9,2024-10-16_13h57.49.373,MSI_TV_v3,2022.1.1,60.15298106144861,
