trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
27,0,27,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,3.7500315165247198,2.09887870490381,None,332.0835852,None,334.2046790000004,None,334.2046790000004,None,334.21654013999995,None,None,334.2046790000004,None,['b'],336.18328500000007,None,b,2.9417539000000943,0,0,0.32142857142857145,339.91571139999996,None,None,339.91571139999996,None,[0.9417539000000943],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
28,0,28,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,4.46924002178158,0.77703640172831,None,341.7167113000005,None,342.5045931000004,None,342.5045931000004,None,342.5166286400001,None,None,342.5045931000004,None,['z'],344.48338820000026,None,z,2.7348551000000043,0,0,0.3103448275862069,348.9453536000001,None,None,348.9453536000001,None,[0.7348551000000043],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
29,0,29,0,,,,,,,,,,3,1.0,2.0,z,9.0,1.0,4.53337421950507,0.761758675042088,None,350.7501441000004,None,351.5209321000002,None,351.5209321000002,None,351.5333335400002,None,None,351.5209321000002,None,['z'],353.5001328999997,None,z,2.6942925000007563,1,1,0.3333333333333333,358.02583310000045,None,None,358.02583310000045,None,[0.6942925000007563],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
30,0,30,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,4.190022164497369,1.18065738546375,None,359.8335084,None,361.03513329999987,None,361.03513329999987,None,361.03342718000016,None,None,361.03513329999987,None,['z'],363.0169880000003,None,z,2.4784309000001485,1,1,0.3548387096774194,367.1854523000002,None,None,367.1854523000002,None,[0.47843090000014854],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
31,0,31,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.294664843639333,0.80788063606262,None,369.0002880000002,None,369.8219092999998,None,369.8219092999998,None,369.8336103399999,None,['b'],369.8219092999998,None,None,371.8179009000005,None,b,1.5408112999998593,1,1,0.375,374.12329020000016,None,None,374.12329020000016,None,,[1.5408112999998593],,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
32,0,32,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.6391747348430608,1.96568735158996,None,375.93371819999993,None,377.9212741000001,None,377.9212741000001,None,377.91713888000044,None,None,377.9212741000001,None,['z'],379.9003456999999,None,z,2.5944868000001406,1,1,0.3939393939393939,382.5276415999997,None,None,382.5276415999997,None,[0.5944868000001406],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
33,0,33,0,,,,,,,,,,2,1.0,0.0,z,63.0,0.0,2.693348633324513,3.4543169006169,None,384.33406319999995,None,387.8037323999997,None,387.8037323999997,None,387.80021568000024,None,None,387.8037323999997,None,['z'],389.7835944999997,None,z,2.7575138999995943,1,0,0.4117647058823529,392.46276000000034,None,None,392.46276000000034,None,[0.7575138999995943],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
34,0,34,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.82320408183943,1.21250262048173,None,394.2668719000003,None,395.50458419999995,None,395.50458419999995,None,395.51677513999965,None,None,395.50458419999995,None,['b'],397.4835834000005,None,b,2.41133310000032,1,1,0.42857142857142855,400.2944311000001,None,None,400.2944311000001,None,[0.41133310000032],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
35,0,35,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,2.433630701072358,0.917519910446003,None,402.1005132999999,None,403.03792760000033,None,403.03792760000033,None,403.03383128000036,None,None,403.03792760000033,None,['z'],405.01744990000043,None,z,2.641933400000653,0,0,0.4166666666666667,407.4383134999998,None,None,407.4383134999998,None,[0.6419334000006529],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
36,0,36,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.7134565917469198,1.94858485820231,None,409.2501523000001,None,411.21884669999963,None,411.21884669999963,None,411.21672218,None,None,411.21884669999963,None,['z'],413.20020269999986,None,z,2.631004700000176,1,1,0.43243243243243246,415.90915570000016,None,None,415.90915570000016,None,[0.6310047000001759],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
37,0,37,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,4.61004669244928,1.25817747924478,None,417.7173974999996,None,418.9870297999996,None,418.9870297999996,None,418.9841214799998,None,None,418.9870297999996,None,['z'],420.96718059999966,None,z,2.036394299999756,1,1,0.4473684210526316,425.56844920000003,None,None,425.56844920000003,None,[0.036394299999756186],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
38,0,38,0,,,,,,,,,,0,1.0,2.0,b,9.0,1.0,3.26539063535182,2.15533949826702,None,427.3835304000004,None,429.55458550000003,None,429.55458550000003,None,429.5668849400001,None,None,429.55458550000003,None,['z'],431.5340035999998,None,z,3.317130900000393,0,0,0.4358974358974359,434.7800158,None,None,434.7800158,None,[1.317130900000393],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
39,0,39,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,2.496959177995529,3.06992456303453,None,436.58358279999993,None,439.67197769999984,None,439.67197769999984,None,439.68363684000013,None,None,439.67197769999984,None,None,441.6503693000004,None,[],[],0,3,0.425,444.14069709999967,None,['b'],444.14069709999967,None,,,[0.18552439999939452],,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
40,0,40,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,3.35133458220192,1.53243550275999,None,445.9503648,None,447.50416490000043,None,447.50416490000043,None,447.50030127999975,None,['z'],447.50416490000043,None,None,449.50327449999986,None,z,0.7518971000004058,1,1,0.43902439024390244,452.8575092000001,None,None,452.8575092000001,None,,[0.7518971000004058],,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
41,0,41,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.11514536789087,2.6299100644723,None,454.6669442000002,None,457.3046347999998,None,457.3046347999998,None,457.3170046400002,None,None,457.3046347999998,None,['b'],459.2836962000001,None,b,2.4690463000001728,1,1,0.4523809523809524,463.3809772000004,None,None,463.3809772000004,None,[0.4690463000001728],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
42,0,42,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,2.592312596923728,2.10421507306074,None,465.1837634000003,None,467.3037574,None,467.3037574,None,467.3002955800002,None,None,467.3037574,None,['b'],469.28374970000004,None,b,2.2519631000000118,1,1,0.46511627906976744,471.8665271,None,None,471.8665271,None,[0.25196310000001176],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
43,0,43,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.792365600763554,0.974903167432984,None,473.6671624999999,None,474.65465589999985,None,474.65465589999985,None,474.66694404000026,None,None,474.65465589999985,None,['z'],476.6330842999996,None,z,2.1436626999998225,1,1,0.4772727272727273,479.4108068000005,None,None,479.4108068000005,None,[0.1436626999998225],,,,,,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,481.2169709,None,,,,,,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.2172250000003,None,None,486.2172250000003,None,,,,,,,,,,CBC_1014,002,1,1,7,13,0.95,2023-06-25_10h51.07.076,MSI_AV_v3,2022.1.1,60.033414598564455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[2, 0, 3, 1]",0.45454545454545453,0.36363636363636365,0.36363636363636365,0.7272727272727273,,,,,,,,,,,,
