trials_runs.thisRepN;trials_runs.thisTrialN;trials_runs.thisN;trials_runs.thisIndex;standbild_start.started;standbild_start.stopped;trigger.keys;trigger.rt;trigger.started;trigger.stopped;keys_2.keys;keys_2.started;keys_2.stopped;trials_runs.tactile_stim;trials_runs.visual_stim_left;trials_runs.visual_stim_right;trials_runs.correctKey;trials_runs.presentationFrequncy;trials_runs.FBaccuracy;trials_runs.ISI_s;trials_runs.ITI_s;keys_3.keys;keys_3.started;keys_3.stopped;image_stim_left.started;image_stim_right.started;tactile.started;response_4.keys;allKeys.keys;response_4.rt;allKeys.rt;response_5.keys;response_5.started;response_5.stopped;response_runs.keys;response_runs.rt;trials_runs.correct_answer;trials_runs.feedback_given;trials_runs.running_mean;feedback_6.stopped;feedback_6.started;keys_6.keys;keys_6.started;keys_6.stopped;response_5.rt;keys_3.rt;keys_7.keys;keys_7.started;keys_7.stopped;standbild_end.started;standbild_end.stopped;Stop_exp.keys;Stop_exp.started;Stop_exp.stopped;trials_runs.rightKey;trials_runs.leftKey;ts_difficulty;visualPair;tactilePair;trials_runs.mean_acc_1stFourth;trials_runs.mean_acc_2ndFourth;trials_runs.mean_acc_3rdFourth;trials_runs.mean_acc_4thFourth;nbCorrect;nbOmissions;nbIncorrect;participant;session;visual set [1-6];tactile set [1-3];trial structure [0-3 / 4-7];pairing [0-23];prob Feedback;date;expName;psychopyVersion;frameRate
20;0;20;0;;;;;;;;;;2;3;1;b;27;1;3.206202427;2.629910064;None;267.0931623;None;269.7100997;269.7100997;269.7269897;None;[];;;['b'];271.7070757;None;b;2.8472677;1;1;0.619047619;None;274.9233136;None;274.9233136;None;[0.8472676999990654];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
21;0;21;0;;;;;;;;;;1;3;2;z;63;1;2.629554641;3.196300833;None;276.7270629;None;279.9101832;279.9101832;279.9270737;None;[];;;None;281.9077101;None;None;[];0;3;0.590909091;None;284.5424159;None;284.5424159;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
22;0;22;0;;;;;;;;;;0;0;1;z;63;1;2.496959178;1.43470441;['z'];286.3429336;None;287.7604043;287.7604043;287.7770577;z;['z'];1.1478389;[1.1478389000003517];None;289.7775011;None;z;1.1478389;1;1;0.608695652;None;292.276163;None;292.276163;None;;[0.24888059999830148];;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
23;0;23;0;;;;;;;;;;3;0;2;b;27;1;2.592312597;1.258177479;None;294.0771886;None;295.3101315;295.3101315;295.3268693;None;[];;;['b'];297.3062549;None;b;2.2034248;1;1;0.625;None;299.8978115;None;299.8978115;None;[0.2034247999999934];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
24;0;24;0;;;;;;;;;;2;3;2;b;63;1;3.265390635;1.786435855;None;301.7215996;None;303.4768239;303.4768239;303.4935353;None;[];;;['b'];305.4803396;None;b;3.1931317;1;1;0.64;None;308.7685172;None;308.7685172;None;[1.1931316999980481];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
25;0;25;0;;;;;;;;;;1;0;2;z;27;1;2.91303524;2.498395274;None;310.5772268;None;313.0431;313.0431;313.059579;None;[];;;['z'];315.0383236;None;z;2.9534942;1;1;0.653846154;None;317.9530316;None;317.9530316;None;[0.9534941999991133];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
26;0;26;0;;;;;;;;;;0;0;1;z;63;1;3.713727101;1.124389584;None;319.7605162;None;320.8604638;320.8604638;320.8771512;None;[];;;['z'];322.8574745;None;z;2.6121374;1;1;0.666666667;None;326.5889426;None;326.5889426;None;[0.612137399999483];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
27;0;27;0;;;;;;;;;;3;1;0;z;63;1;4.52047235;2.104215073;None;328.3929376;None;330.4772125;330.4772125;330.4937457;z;['z'];1.5995394;[1.5995393999983207];None;332.5255292;None;z;1.5995394;1;1;0.678571429;None;337.0388778;None;337.0388778;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
28;0;28;0;;;;;;;;;;1;2;3;b;63;0;2.342239579;1.21250262;None;338.8439834;None;340.0272661;340.0272661;340.0439858;z;['z'];1.7286652;[1.7286651999984315];None;342.0684937;None;z;1.7286652;0;1;0.655172414;None;344.4034747;None;344.4034747;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
29;0;29;0;;;;;;;;;;2;1;3;z;27;1;3.750031517;2.098878705;None;346.209661;None;348.2775068;348.2775068;348.2940581;None;[];;;['z'];350.2812385;None;z;2.018582;1;1;0.666666667;None;354.0440199;None;354.0440199;None;[0.01858199999878707];;;;;;;;;;;;;;;;;;;;;;CBC_1019;2;5;2;2;18;0.9;2023-06-28_16h17.24.850;MSI_TV_v3;01.01.2022;59.98922594
