ID;EPIfilename;run;logfile;session;modality;stimType;version
CBC_1012;mr5243_cbc_1012_20230623_154410_4_1_epi_msi_tv_44slices_v3.nii;20230623_154410_4_1;CBC_1012_MSI_TV_v3_Vset2_Tset1_2023-06-23_15h37.46.617.csv;1;tv;vib;v3
CBC_1012;mr5243_cbc_1012_20230623_160934_8_1_epi_msi_av_44slices_v3.nii;20230623_160934_8_1;CBC_1012_MSI_AV_v3_Vset5_Aset1_2023-06-23_16h03.04.797.csv;2;av;env;v3
CBC_1013;mr5244_cbc_1013_20230623_143111_3_1_epi_msi_av_44slices_v3.nii;20230623_143111_3_1;CBC_1013_MSI_AV_v3_Vset5_Aset2_2023-06-23_14h24.40.256.csv;1;av;env;v3
CBC_1013;mr5244_cbc_1013_20230623_143938_4_1_epi_msi_tv_44slices_v3.nii;20230623_143938_4_1;CBC_1013_MSI_TV_v3_Vset2_Tset1_2023-06-23_14h33.16.590.csv;2;tv;vib;v3
CBC_1013;mr5244_cbc_1013_20230623_150733_8_1_epi_msi_tv_44slices_v3.nii;20230623_150733_8_1;CBC_1013_MSI_TV_v3_Vset4_Tset2_2023-06-23_15h01.09.889.csv;3;tv;vib;v3
CBC_1013;mr5244_cbc_1013_20230623_165630_11_1_epi_msi_av_44slices_v3.nii;20230623_165630_11_1;CBC_1013_MSI_AV_v3_Vset3_Aset1_2023-06-23_16h50.00.877.csv;4;av;env;v3
CBC_1013;mr5244_cbc_1013_20230623_170442_12_1_epi_msi_tv_44slices_v3.nii;20230623_170442_12_1;CBC_1013_MSI_TV_v3_Vset6_Tset3_2023-06-23_16h58.24.978.csv;5;tv;vib;v3
CBC_1014;mr5245_cbc_1014_20230625_104900_3_1_epi_msi_tv_44slices_v3.nii;20230625_104900_3_1;CBC_1014_MSI_TV_v3_Vset4_Tset3_2023-06-25_10h42.28.156.csv;1;tv;vib;v3
CBC_1014;mr5245_cbc_1014_20230625_105721_4_1_epi_msi_av_44slices_v3.nii;20230625_105721_4_1;CBC_1014_MSI_AV_v3_Vset1_Aset1_2023-06-25_10h51.07.076.csv;2;av;env;v3
CBC_1014;mr5245_cbc_1014_20230625_123547_9_1_epi_msi_tv_44slices_v3.nii;20230625_123547_9_1;CBC_1014_MSI_TV_v3_Vset3_Tset1_2023-06-25_12h29.13.889.csv;3;tv;vib;v3
CBC_1014;mr5245_cbc_1014_20230625_124411_10_1_epi_msi_av_44slices_v3.nii;20230625_124411_10_1;CBC_1014_MSI_AV_v3_Vset6_Aset3_2023-06-25_12h37.50.287.csv;4;av;env;v3
CBC_1014;mr5245_cbc_1014_20230625_125916_12_1_epi_msi_av_44slices_v3.nii;20230625_125916_12_1;CBC_1014_MSI_AV_v3_Vset5_Aset2_2023-06-25_12h52.52.235.csv;5;av;env;v3
CBC_1015;mr5246_cbc_1015_20230625_141040_3_1_epi_msi_av_44slices_v3.nii;20230625_141040_3_1;CBC_1015_MSI_AV_v3_Vset1_Aset2_2023-06-25_14h04.10.751.csv;1;av;env;v3
CBC_1015;mr5246_cbc_1015_20230625_141850_4_1_epi_msi_tv_44slices_v3.nii;20230625_141850_4_1;CBC_1015_MSI_TV_v3_Vset4_Tset3_2023-06-25_14h12.36.349.csv;2;tv;vib;v3
CBC_1015;mr5246_cbc_1015_20230625_155827_9_1_epi_msi_av_44slices_v3.nii;20230625_155827_9_1;CBC_1015_MSI_AV_v3_Vset2_Aset3_2023-06-25_15h52.10.699.csv;3;av;env;v3
CBC_1015;mr5246_cbc_1015_20230625_160637_10_1_epi_msi_tv_44slices_v3.nii;20230625_160637_10_1;CBC_1015_MSI_TV_v3_Vset5_Tset2_2023-06-25_16h00.28.888.csv;4;tv;vib;v3
