trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,2,0,2,z,27,1,3.6438386551209,1.36309078069689,None,707.2122488999994,None,708.562475659998,708.562475659998,708.5791390599995,None,[],,,['z'],710.5672754000007,None,z,2.1106130000007397,1,1,0.5555555555555556,None,714.2092081999981,None,714.2092081999981,None,[0.1106130000007397],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
36,0,36,0,,,,,,,,,,1,1,0,z,63,1,4.46924002178158,2.15533949826702,None,716.0128077000008,None,718.1457741599995,718.1457741599995,718.1622947600015,z,['z'],1.9885749999994005,[1.9885749999994005],None,720.1902000000009,None,z,1.9885749999994005,1,1,0.5675675675675675,None,724.6616427000008,None,724.6616427000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
37,0,37,0,,,,,,,,,,0,3,1,z,27,1,4.52047235037039,1.38289892513751,None,726.4625998999982,None,727.8295622599987,727.8295622599987,727.8456148599987,None,[],,,['z'],729.826230300001,None,z,2.56692529999782,1,1,0.5789473684210527,None,734.3561183999991,None,734.3561183999991,None,[0.5669252999978198],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
38,0,38,0,,,,,,,,,,2,2,3,b,63,1,3.3728785608729996,0.761758675042088,None,736.1623819999986,None,736.9125695599985,736.9125695599985,736.9292341599983,None,[],,,['z'],738.9155041999984,None,z,3.609860699998535,0,0,0.5641025641025641,None,742.2859151999983,['b'],742.2859151999983,None,[1.609860699998535],[1.0222548000019742],,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
39,0,39,0,,,,,,,,,,3,2,3,z,63,1,3.76873691643126,3.1963008326951,None,744.0957063999995,None,747.2792507599995,747.2792507599995,747.295809259999,None,[],,,['b'],749.284904600001,None,b,3.1146503999989363,0,0,0.55,None,753.0552867000006,None,753.0552867000006,None,[1.1146503999989363],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
40,0,40,0,,,,,,,,,,0,1,0,b,63,1,3.02234236141277,3.4543169006169,None,754.8625381999991,None,758.2951122599995,758.2951122599995,758.3119975599991,b,['b'],1.643339800000831,[1.643339800000831],None,760.3295569000002,None,b,1.643339800000831,1,1,0.5609756097560976,None,763.3454978000009,None,763.3454978000009,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
41,0,41,0,,,,,,,,,,1,0,2,b,27,1,4.53337421950507,1.34668860557497,None,765.145959999998,None,766.4794067599985,766.4794067599985,766.4958516599988,None,[],,,['z'],768.4782845000009,None,z,3.5774960000017018,0,0,0.5476190476190477,None,773.013684900001,None,773.013684900001,None,[1.5774960000017018],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
42,0,42,0,,,,,,,,,,3,0,3,z,9,1,3.68371079902891,2.22427187882546,None,774.8126978,None,777.0129338599988,777.0129338599988,777.0301730600011,None,[],,,['b'],779.0180321000007,None,b,2.790373499999987,0,0,0.5348837209302325,None,782.7089465999998,None,782.7089465999998,None,[0.790373499999987],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
43,0,43,0,,,,,,,,,,2,2,3,b,63,1,2.792365600763554,0.80788063606262,None,784.5128254999981,None,785.2961126599992,785.2961126599992,785.3136369600004,None,[],,,['b'],787.3038765999991,None,b,3.5943661000019347,1,1,0.5454545454545454,None,790.083890599999,None,790.083890599999,None,[1.5943661000019347],,,,,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,791.8964054999997,None,,,,,,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.8795547000009,None,None,796.8795547000009,801.8617997000001,,,,,,,,,,,,,CBC_1075,003,2,1,5,6,0.95,2024-03-13_17h09.54.370,MSI_TV_v3,2022.1.1,60.01078994010359,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[1, 0, 2, 3]",0.2727272727272727,0.5454545454545454,0.7272727272727273,0.6363636363636364,22,0,22,,,,,,,,,,,,
