trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,2,3,2,b,63,1,4.77723667052879,1.96568735158996,None,166.21512689999872,None,168.2031747000001,None,168.2031747000001,None,168.21514256000083,None,None,168.2031747000001,None,"['z', 'b']","[0.10906750000140164, 0.883809700000711]",170.18151829999988,None,z,2.1090675000014016,0,0,0.6666666666666666,174.9401195999999,None,None,174.9401195999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
9,0,9,0,,,,,,,,,,1,2,3,b,63,1,4.52047235037039,1.53243550275999,None,176.74870229999942,None,178.30206410000028,None,178.30206410000028,None,178.29843916999997,None,['b'],178.30206410000028,None,None,,180.29663230000006,None,b,1.5677106000002823,1,1,0.7,184.8204842999985,None,None,184.8204842999985,None,[1.5677106000002823],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
10,0,10,0,,,,,,,,,,2,1,3,z,27,1,3.02234236141277,3.1424449555106,None,186.63196790000075,None,189.7888772999977,None,189.7888772999977,None,189.79894855999956,None,None,189.7888772999977,None,['z'],[1.0853052000020398],191.7654220000004,None,z,3.08530520000204,1,1,0.7272727272727273,194.7678307999995,None,None,194.7678307999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
11,0,11,0,,,,,,,,,,0,1,0,z,63,0,4.11514536789087,3.33124983260532,None,196.58210569999937,None,199.93936119999853,None,199.93936119999853,None,199.94905986000086,None,['z'],199.93936119999853,None,None,,201.9317067999982,None,z,1.6424363000005542,1,0,0.75,206.05439620000107,None,None,206.05439620000107,None,[1.6424363000005542],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
12,0,12,0,,,,,,,,,,1,2,3,b,63,1,3.3728785608729996,2.49839527409216,None,207.8654205999992,None,210.38850040000034,None,210.38850040000034,None,210.39876375999884,None,None,210.38850040000034,None,['z'],[0.30276040000171633],212.3652770999979,None,z,2.3027604000017163,0,0,0.6923076923076923,215.72384949999832,None,None,215.72384949999832,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
13,0,13,0,,,,,,,,,,0,0,2,b,27,1,2.342239579230602,2.6299100644723,None,217.5319634999978,None,220.189426500001,None,220.189426500001,None,220.19863316000047,None,None,220.189426500001,None,['b'],[0.21084630000041216],222.16561319999892,None,b,2.210846300000412,1,1,0.7142857142857143,224.49399830000038,None,None,224.49399830000038,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
14,0,14,0,,,,,,,,,,3,0,1,z,63,1,4.01714354611405,0.77703640172831,None,226.29860980000012,None,227.08800659999906,None,227.08800659999906,None,227.09873996000024,None,['b'],227.08800659999906,None,None,,229.08432360000006,None,b,1.8227371000029962,0,0,0.6666666666666666,233.1038746999984,None,None,233.1038746999984,None,[1.8227371000029962],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
15,0,15,0,,,,,,,,,,2,3,2,b,63,1,4.53337421950507,1.64421109900286,None,234.9156014,None,236.57076999999845,None,236.57076999999845,None,236.58231626000125,None,['z'],236.57076999999845,None,None,,238.5666056000009,None,z,1.753018899999006,0,0,0.625,243.10377130000052,None,None,243.10377130000052,None,[1.753018899999006],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
16,0,16,0,,,,,,,,,,3,1,2,b,9,1,2.7134565917469198,2.78346932462847,None,244.91583639999953,None,247.72203309999895,None,247.72203309999895,None,247.7326362600019,None,['z'],247.72203309999895,None,None,,249.7159489000005,None,z,1.466774800002895,0,0,0.5882352941176471,252.4364190999986,None,None,252.4364190999986,None,[1.466774800002895],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
17,0,17,0,,,,,,,,,,2,1,3,z,27,1,3.71372710086949,2.96653053743745,None,254.24850579999838,None,257.2332779999997,None,257.2332779999997,None,257.2325868700016,None,['z'],257.2332779999997,None,None,,259.23285159999796,None,z,1.7553869000003033,1,1,0.6111111111111112,262.9555240000009,None,None,262.9555240000009,None,[1.7553869000003033],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
18,0,18,0,,,,,,,,,,0,0,1,b,63,1,4.82531807167306,3.06992456303453,None,264.7657364000006,None,267.85183010000037,None,267.85183010000037,None,267.8491814700017,None,None,267.85183010000037,None,['z'],[0.32253599999967264],269.83233579999796,None,z,2.3225359999996726,0,0,0.5789473684210527,274.6402949000003,None,None,274.6402949000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
19,0,19,0,,,,,,,,,,0,1,0,z,63,1,3.35133458220192,0.952147612306987,None,276.4485614000005,None,277.4180039999992,None,277.4180039999992,None,277.41546116999854,None,None,277.4180039999992,None,['z'],[0.4366219000003184],279.39857800000027,None,z,2.4366219000003184,1,1,0.6,282.7336636,None,None,282.7336636,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
20,0,20,0,,,,,,,,,,1,2,0,b,27,1,2.666404967794728,1.95130344756745,None,284.54888669999855,None,286.51879899999767,None,286.51879899999767,None,286.51567917000176,None,None,286.51879899999767,None,['z'],[0.9027897000014491],288.4988683999982,None,z,2.902789700001449,0,0,0.5714285714285714,291.159433599998,None,None,291.159433599998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
21,0,21,0,,,,,,,,,,3,0,1,z,63,1,3.76873691643126,3.1963008326951,None,292.9657752999992,None,296.1853209000001,None,296.1853209000001,None,296.1822387700002,None,['b'],296.1853209000001,None,None,,298.1788373999989,None,b,1.7082237000031455,0,0,0.5454545454545454,301.95390359999874,None,None,301.95390359999874,None,[1.7082237000031455],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
22,0,22,0,,,,,,,,,,1,2,0,b,27,1,2.433630701072358,3.40155979865722,None,303.76598939999894,None,307.1879678000005,None,307.1879678000005,None,307.1990035600015,None,None,307.1879678000005,None,['b'],[0.39700210000228253],309.1655045999978,None,b,2.3970021000022825,1,1,0.5652173913043478,311.5873965999999,None,None,311.5873965999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
23,0,23,0,,,,,,,,,,2,3,2,b,63,1,2.92731383428727,1.25817747924478,None,313.3988505999987,None,314.67094129999896,None,314.67094129999896,None,314.68244826000085,None,None,314.67094129999896,None,['b'],[0.2779307999990124],316.64913389999856,None,b,2.2779307999990124,1,1,0.5833333333333334,319.57126380000045,None,None,319.57126380000045,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
24,0,24,0,,,,,,,,,,0,1,0,z,63,1,3.68371079902891,1.53122835510861,None,321.38275109999813,None,322.9367106999998,None,322.9367106999998,None,322.9327049699994,None,None,322.9367106999998,None,['z'],[2.2087317000004987],324.9161615000012,None,z,4.208731700000499,1,1,0.6,328.58493960000123,None,None,328.58493960000123,None,,,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
25,0,25,0,,,,,,,,,,1,3,2,z,63,1,2.693348633324513,0.974903167432984,None,330.39891759999955,None,331.3880195999991,None,331.3880195999991,None,331.3823648700007,None,['z'],331.3880195999991,None,None,,333.3821373999999,None,z,1.0964677000010852,1,1,0.6153846153846154,336.08882430000085,None,None,336.08882430000085,None,[1.0964677000010852],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
26,0,26,0,,,,,,,,,,0,2,0,z,27,1,2.678526077912375,2.09887870490381,None,337.89935479999986,None,340.0207921000001,None,340.0207921000001,None,340.0328972599986,None,['z'],340.0207921000001,None,None,,342.0138009000002,None,z,1.6107009000006656,1,1,0.6296296296296297,344.6868066999996,None,None,344.6868066999996,None,[1.6107009000006656],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
27,0,27,0,,,,,,,,,,2,3,2,b,63,1,2.792365600763554,1.25920145784721,None,346.4990670999978,None,347.77072430000044,None,347.77072430000044,None,347.78279246000096,None,['z'],347.77072430000044,None,None,,349.7675578999988,None,z,1.7150011000012455,0,0,0.6071428571428571,352.5704141999995,None,None,352.5704141999995,None,[1.7150011000012455],,,,,,,,,,,,,,,,,,,,,CBC_1029,3,6,1,5,4,0.95,2023-07-21_17h16.24.897,MSI_AV_v3,2022.1.1,59.9884702163986,
