trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
33,0,33,0,,,,,,,,,,1,1,0,z,63,1,4.176609572,1.53162701,None,403.16676299999926,None,404.68371667999963,404.68371667999963,404.70042388,None,[],['z'],[1.711792999998579],406.68410219999896,None,z,3.711792999998579,1,1,0.47058823529411764,None,410.87366629999997,None,410.87366629999997,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
34,0,34,0,,,,,,,,,,3,3,2,b,63,0,3.044827724,1.84422311,None,412.88389019999886,None,414.7005752799996,414.7005752799996,414.71798107999894,None,[],['z'],[0.4312367999991693],416.7038928000002,None,z,2.4312367999991693,0,1,0.45714285714285713,None,419.76824119999947,None,419.76824119999947,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
35,0,35,0,,,,,,,,,,2,0,2,z,27,1,2.278602942,2.573610938,None,421.76704229999996,None,424.31762437999896,424.31762437999896,424.33404937999876,None,[],['b'],[0.9319880999992165],426.32053019999876,None,b,2.9319880999992165,0,0,0.4444444444444444,None,428.60245179999947,None,428.60245179999947,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
36,0,36,0,,,,,,,,,,1,1,0,z,63,1,4.268032915,1.915207301,None,430.61727319999954,None,432.51748147999933,432.51748147999933,432.534386379999,None,[],['z'],[1.8474290999984078],434.5301028999984,None,z,3.8474290999984078,1,1,0.4594594594594595,None,438.7979770000002,None,438.7979770000002,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
37,0,37,0,,,,,,,,,,0,3,1,z,27,1,2.949122761,2.232990834,None,440.80074369999966,None,443.017326879999,443.017326879999,443.0340424799997,None,[],['z'],[0.9715228999993997],445.02151219999905,None,z,2.9715228999993997,1,1,0.47368421052631576,None,447.98052019999886,None,447.98052019999886,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
38,0,38,0,,,,,,,,,,2,2,3,b,63,1,2.208904638,1.378098418,None,449.9840714000002,None,451.33404987999893,451.33404987999893,451.3512411800002,None,[],['z'],[0.8391496999993251],453.33707779999895,None,z,2.839149699999325,0,0,0.46153846153846156,None,455.5518212999996,None,455.5518212999996,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
39,0,39,0,,,,,,,,,,3,2,3,z,63,1,1.219965572,2.935368129,None,457.5508101999985,None,460.4676484800002,460.4676484800002,460.48417447999964,None,[],None,,462.488747899999,None,None,[],0,3,0.45,None,463.6921848999991,None,463.6921848999991,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
40,0,40,0,,,,,,,,,,0,1,0,b,63,1,2.078483356,1.313600181,None,465.7005947999987,None,467.00077418,467.00077418,467.0173694799996,None,[],['b'],[0.2536770999995497],469.0040274999992,None,b,2.2536770999995497,1,1,0.4634146341463415,None,471.0832214999991,None,471.0832214999991,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
41,0,41,0,,,,,,,,,,1,0,2,b,27,1,3.884449499,2.495793893,None,473.0842199999988,None,475.56789797999954,475.56789797999954,475.58433417999913,None,[],['z'],[0.5097417999986646],477.5872081999987,None,z,2.5097417999986646,0,0,0.4523809523809524,None,481.45710749999853,None,481.45710749999853,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
42,0,42,0,,,,,,,,,,3,0,3,z,9,1,3.589438522,2.108332021,None,483.4674533999987,None,485.55102608000016,485.55102608000016,485.567737379999,None,[],['z'],[0.20677239999895392],487.5531099,None,z,2.206772399998954,1,1,0.46511627906976744,None,491.142559599999,None,491.142559599999,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
43,0,43,0,,,,,,,,,,2,2,3,b,63,1,2.818459073,1.142638656,None,493.15109889999985,None,494.2676410799995,494.2676410799995,494.2843161799992,None,[],['b'],[0.3071849000007205],496.2709397999988,None,b,2.3071849000007205,1,1,0.4772727272727273,None,499.0952441999998,None,499.0952441999998,None,,,,,,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,501.10092149999946,None,,,,,,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.08447499999966,None,None,506.08447499999966,511.0681692999988,,,,,,,,,,CBC_1005,002,2,1,5,6,0.9,2023-06-03_12h55.30.379,MSI_TV_v3,2022.1.1,60.0053884834397,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[1, 0, 2, 3]",0.6363636363636364,0.5454545454545454,0.18181818181818182,0.5454545454545454,,,,,,,,,,,,
