trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
16,0,16,0,,,,,,,,,,0,2,3,z,63,1,2.82320408183943,1.21250262048173,None,234.07620250000036,None,235.2982011999993,None,235.2982011999993,None,235.29398217999915,None,None,,235.2982011999993,None,['b'],237.27687370000058,None,b,3.2093836999993073,0,0,0.7647058823529411,240.09913099999903,None,None,240.09913099999903,None,[1.2093836999993073],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
17,0,17,0,,,,,,,,,,3,0,2,z,27,1,2.496959177995529,1.96568735158996,None,241.9092144999995,None,243.8822226000011,None,243.8822226000011,None,243.8936906400013,None,None,,243.8822226000011,None,['z'],245.86050089999844,None,z,2.4755168999981834,1,1,0.7777777777777778,248.3435228999988,None,None,248.3435228999988,None,[0.47551689999818336],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
18,0,18,0,,,,,,,,,,2,0,1,b,63,1,4.190022164497369,0.974903167432984,None,250.14980500000092,None,251.13056290000168,None,251.13056290000168,None,251.12736887999927,None,['b'],[1.231690599997819],251.13056290000168,None,None,253.12862959999984,None,b,1.231690599997819,1,1,0.7894736842105263,257.3348425000004,None,None,257.3348425000004,None,,,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
19,0,19,0,,,,,,,,,,1,1,0,b,63,0,2.294664843639333,3.4543169006169,None,259.1435195000013,None,262.6157424999983,None,262.6157424999983,None,262.626885640002,None,['b'],[1.8567540000003646],262.6157424999983,None,None,264.5948352999985,None,b,1.8567540000003646,1,0,0.8,266.89965740000116,None,None,266.89965740000116,None,,,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
20,0,20,0,,,,,,,,,,0,3,1,b,27,1,2.6391747348430608,2.09887870490381,None,268.71021649999966,None,270.83147250000184,None,270.83147250000184,None,270.8435406400022,None,['b'],[1.6336959000000206],270.83147250000184,None,None,272.82874209999864,None,b,1.6336959000000206,1,1,0.8095238095238095,275.47979399999895,None,None,275.47979399999895,None,,,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
21,0,21,0,,,,,,,,,,3,3,2,z,63,1,2.666404967794728,1.18065738546375,None,277.2773187999992,None,278.48318780000045,None,278.48318780000045,None,278.49400804000106,None,None,,278.48318780000045,None,['z'],280.4604067,None,z,2.611396099997364,1,1,0.8181818181818182,283.11708609999914,None,None,283.11708609999914,None,[0.6113960999973642],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
22,0,22,0,,,,,,,,,,1,0,1,z,63,1,4.12485271162806,3.06992456303453,None,284.9272161000008,None,287.9953572000013,None,287.9953572000013,None,287.9931583200014,None,['z'],[1.3297839000006206],287.9953572000013,None,None,290.00987819999864,None,z,1.3297839000006206,1,1,0.8260869565217391,294.13337070000125,None,None,294.13337070000125,None,,,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
23,0,23,0,,,,,,,,,,2,0,2,b,27,1,4.40017271499661,1.34668860557497,None,295.94369519999964,None,297.3234755000012,None,297.3234755000012,None,297.32724514000074,None,None,,297.3234755000012,None,['b'],299.2938089999989,None,b,2.256068899998354,1,1,0.8333333333333334,303.68645319999996,None,None,303.68645319999996,None,[0.256068899998354],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
24,0,24,0,,,,,,,,,,0,3,2,b,63,1,3.02234236141277,1.94858485820231,None,305.4927118000014,None,307.4477853999997,None,307.4477853999997,None,307.44403588000205,None,None,,307.4477853999997,None,['b'],309.42744350000066,None,b,2.5298861999981455,1,1,0.84,312.45018530000016,None,None,312.45018530000016,None,[0.5298861999981455],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
25,0,25,0,,,,,,,,,,3,0,2,z,27,1,2.517541937862754,0.77703640172831,None,314.26081989999875,None,315.0483052999989,None,315.0483052999989,None,315.0604138400013,None,None,,315.0483052999989,None,['z'],317.027145,None,z,3.4048368000003393,1,1,0.8461538461538461,319.5261242999986,None,None,319.5261242999986,None,[1.4048368000003393],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
26,0,26,0,,,,,,,,,,1,0,1,z,63,1,3.7500315165247198,1.64421109900286,None,321.32610990000103,None,322.98169789999884,None,322.98169789999884,None,322.9937604400002,None,['z'],[1.5772724999987986],322.98169789999884,None,None,324.97567870000057,None,z,1.5772724999987986,1,1,0.8518518518518519,328.7260424999986,None,None,328.7260424999986,None,,,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
27,0,27,0,,,,,,,,,,2,1,0,z,63,1,2.433630701072358,2.15533949826702,None,330.52735640000174,None,332.69845160000114,None,332.69845160000114,None,332.7104368399996,None,None,,332.69845160000114,None,['z'],334.67704239999875,None,z,2.080988299996534,1,1,0.8571428571428571,337.10631250000006,None,None,337.10631250000006,None,[0.0809882999965339],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
28,0,28,0,,,,,,,,,,3,2,3,b,63,1,2.792365600763554,0.979776149765883,None,338.9096178,None,339.89810410000064,None,339.89810410000064,None,339.91010074000224,None,None,,339.89810410000064,None,['z'],341.87740290000147,None,z,2.415879499996663,0,0,0.8275862068965517,344.6533476000004,None,None,344.6533476000004,None,[0.41587949999666307],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
29,0,29,0,,,,,,,,,,0,1,3,z,27,1,2.526044641065533,1.25920145784721,None,346.4600081999997,None,347.73102239999935,None,347.73102239999935,None,347.7271194800014,None,None,,347.73102239999935,None,['z'],349.71036710000044,None,z,2.0879703999962658,1,1,0.8333333333333334,352.2242965000005,None,None,352.2242965000005,None,[0.08797039999626577],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
30,0,30,0,,,,,,,,,,2,0,1,b,63,1,2.693348633324513,1.36309078069689,None,354.0271662000014,None,355.41572710000037,None,355.41572710000037,None,355.4274176399995,None,"['z', 'b']","[1.1693736999986868, 1.800840199997765]",355.41572710000037,None,['b'],357.41261419999864,None,z,1.1693736999986868,0,0,0.8064516129032258,360.116143700001,None,None,360.116143700001,None,[0.5561132000002544],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
31,0,31,0,,,,,,,,,,0,2,3,z,63,1,2.92731383428727,1.95130344756745,None,361.9266300999989,None,363.89759870000125,None,363.89759870000125,None,363.8938482800004,None,None,,363.89759870000125,None,['b'],365.87741129999995,None,b,2.9488522999999986,0,0,0.78125,368.7914192999997,None,None,368.7914192999997,None,[0.9488522999999986],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
32,0,32,0,,,,,,,,,,1,1,2,b,9,1,2.7134565917469198,3.40155979865722,None,370.59384990000035,None,374.0161832999984,None,374.0161832999984,None,374.02725224000096,None,None,,374.0161832999984,None,['b'],375.9939981999996,None,b,3.0157987999955367,1,1,0.7878787878787878,378.7080163999999,None,None,378.7080163999999,None,[1.0157987999955367],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
33,0,33,0,,,,,,,,,,2,0,1,b,63,1,4.77034425507967,0.761758675042088,None,380.5106167999984,None,381.28310789999887,None,381.28310789999887,None,381.2941713399996,None,None,,381.28310789999887,None,['b'],383.26118119999956,None,b,2.8714595999990706,1,1,0.7941176470588235,388.019170399999,None,None,388.019170399999,None,[0.8714595999990706],,,,,,,,,,,,,,,,,,CBC_1016,002,5,2,2,15,0.95,2023-06-25_15h04.51.235,MSI_AV_v3,2022.1.1,59.897383801673605,
