ID,session,trialNr,mod2Stim,visStimLeft,visStimRight,correctKey,frequency,rewardAccurate,probFB,stimPairLeft,stimPairRight,leftCorrect,rightCorrect,pCorrectLeft,pCorrectRight,triplet,rt,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,reactionTime,choice,choiceLeft,choiceRight,chosenPair,otherPair,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,choiceAccurate,reward,rewardPE,update2,sim_CBCsimpleRW_CBCdriftDiffusionLR_startBelief,sim_CBCsimpleRW_CBCdriftDiffusionLR_alpha1,sim_CBCsimpleRW_CBCdriftDiffusionLR_nonDecisionTime,sim_CBCsimpleRW_CBCdriftDiffusionLR_weight,sim_CBCsimpleRW_CBCdriftDiffusionLR_startingBoundary,sim_CBCsimpleRW_CBCdriftDiffusionLR_startingPoint,lik,corrLik,fitCBCsimpleRW_CBCdriftDiffusionLR_startBelief,fitCBCsimpleRW_CBCdriftDiffusionLR_alpha1,fitCBCsimpleRW_CBCdriftDiffusionLR_nonDecisionTime,fitCBCsimpleRW_CBCdriftDiffusionLR_weight,fitCBCsimpleRW_CBCdriftDiffusionLR_startingBoundary,fitCBCsimpleRW_CBCdriftDiffusionLR_startingPoint,fit_CBCsimpleRW_CBCdriftDiffusionLR_NLL
179,1,17,A,0,3,a,9,1,0.95,0A,3A,1,0,1,0,A03,3.06236633763523,3.46573590279973,0.765064844989298,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.889610945880195,0.5,0.234935155010702,0.234935155010702,0.5,0.948131460917757,0.5,0.5,0.5,0.234935155010702,0.975628513461069,1.15994116908904,1,1,0,0A,3A,0.765064844989298,0.5,0.604763343175322,0.395236656824678,1,1,0.234935155010702,0.124546100890897,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.384799393363389,0.892546313051617,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,18,C,2,3,a,63,0,0.95,2C,3C,1,0,0,1,C23,2.09508695943067,2.80336038090653,0.889610945880195,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.889610945880195,0.5,0.234935155010702,0.234935155010702,0.5,0.948131460917757,0.5,0.5,0.5,0.234935155010702,0.975628513461069,1.69494116908904,1,1,0,2C,3C,0.948131460917757,0.5,0.654727479172973,0.345272520827027,1,0,-0.948131460917757,-0.502632637435284,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.670209481406163,0.958100626175361,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,19,A,1,0,l,63,1,0.95,1A,0A,0,1,0,1,A10,3.04463554357746,2.42774823594805,0.889610945880195,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.889610945880195,0.5,0.234935155010702,0.234935155010702,0.5,0.445498823482474,0.5,0.5,0.5,0.234935155010702,0.975628513461069,1.64294116908904,0,0,1,0A,1A,0.889610945880195,0.234935155010702,0.791084460810828,0.208915539189172,1,1,0.110389054119805,0.0585205150375628,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.747743147767059,0.99721681263255,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,20,D,3,2,a,63,1,0.95,3D,2D,1,0,1,0,D32,0.147054071287388,2.4567357728213,0.948131460917757,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.889610945880195,0.5,0.234935155010702,0.234935155010702,0.5,0.445498823482474,0.5,0.5,0.5,0.234935155010702,0.975628513461069,1.89494116908904,1,1,0,3D,2D,0.975628513461069,0.234935155010702,0.805929121177668,0.194070878822331,1,1,0.0243714865389306,0.0129200486032008,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.313166705148569,0.997934535559982,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,21,C,3,2,l,63,1,0.95,3C,2C,0,1,0,1,C32,1.32489684691222,2.89037175789616,0.948131460917757,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.889610945880195,0.5,0.234935155010702,0.234935155010702,0.5,0.445498823482474,0.5,0.5,0.5,0.234935155010702,0.98854856206427,1.46394116908904,1,1,0,3C,2C,0.5,0.445498823482474,0.528821387802888,0.471178612197112,0,0,-0.5,-0.265064844989298,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.347370973610509,0.642306946645244,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,22,D,3,1,a,27,1,0.95,3D,1D,1,0,1,0,D31,1.07693276974102,3.61091791264422,0.948131460917757,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.889610945880195,0.5,0.234935155010702,0.234935155010702,0.5,0.445498823482474,0.234935155010702,0.5,0.5,0.234935155010702,0.98854856206427,1.28294116908904,1,1,0,3D,1D,0.98854856206427,0.5,0.664102325753742,0.335897674246258,1,1,0.0114514379357298,0.00607074724267756,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.884630370001463,0.964931579126879,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,23,A,0,1,a,63,1,0.95,0A,1A,1,0,1,0,A01,0.741685774799016,3.63758615972639,0.948131460917757,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.889610945880195,0.5,0.234935155010702,0.234935155010702,0.5,0.445498823482474,0.234935155010702,0.5,0.5,0.234935155010702,0.994619309306948,1.74994116908904,1,1,0,0A,1A,0.948131460917757,0.234935155010702,0.801418490009265,0.198581509990735,1,1,0.0518685390822425,0.0274970525433119,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.517958936882594,0.997750143632821,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,24,C,3,2,l,63,1,0.95,3C,2C,0,1,0,1,C32,1.51288653932632,2.56494935746154,0.975628513461069,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.889610945880195,0.5,0.234935155010702,0.234935155010702,0.5,0.445498823482474,0.234935155010702,0.5,0.5,0.234935155010702,0.994619309306948,1.20494116908904,0,0,1,2C,3C,0.445498823482474,0.234935155010702,0.654727479172973,0.345272520827027,1,1,0.554501176517526,0.293957536800003,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.705659000344831,0.958133934418733,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,25,A,0,2,a,27,1,0.95,0A,2A,1,0,1,0,A02,3.25404431663986,2.99573227355399,0.975628513461069,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.889610945880195,0.5,0.234935155010702,0.234935155010702,0.5,0.739456360282476,0.234935155010702,0.5,0.5,0.234935155010702,0.994619309306948,1.59994116908904,1,1,0,0A,2A,0.975628513461069,0.234935155010702,0.805929121177668,0.194070878822331,1,1,0.0243714865389306,0.0129200486032008,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,0.818322317488366,0.997943646945081,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
179,1,26,B,1,0,a,63,1,0.95,1B,0B,1,0,1,0,B10,3.44023317578974,3.02042488614436,0.98854856206427,0.234935155010702,0.234935155010702,0.5,0.234935155010702,0.889610945880195,0.5,0.234935155010702,0.234935155010702,0.5,0.739456360282476,0.234935155010702,0.5,0.5,0.234935155010702,0.994619309306948,1.47394116908904,1,1,0,1B,0B,0.889610945880195,0.234935155010702,0.791084460810828,0.208915539189172,1,1,0.110389054119805,0.0585205150375628,0.5,0.135651716811885,0.85194116908904,6.97820322168438,2.486454367413,0.5,1.18351958057813,0.997236673782173,0.5,0.530129689978595,0.889561785190889,3.81114423541877,2.65250661205847,0.5,30.6331229366929
