ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,prob,lik,rewardPE,update2,rewardPEOP,update2OP,fitCBCbothPairsRW_CBCsimpleSigmoid_pwBelief_startBelief,fitCBCbothPairsRW_CBCsimpleSigmoid_pwBelief_alpha1,fitCBCbothPairsRW_CBCsimpleSigmoid_pwBelief_alpha2,fitCBCbothPairsRW_CBCsimpleSigmoid_pwBelief_beta,fit_CBCbothPairsRW_CBCsimpleSigmoid_pwBelief_NLL
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,11,1,0,b,1,0,3,aud,B,63,0,1B,0B,0,1,b,2.48599909999939,1,0,1,0,1B,0B,B10,3.25809653802148,0.664199418376216,0.225524185815605,0.33580068745175,0.5,0.335800727284672,0.500000118620709,0.33580068745175,0.5,0.33580068745175,0.5,0.77447574311017,0.499999940689642,0.5,0.33580068745175,0.225524188700673,0.84853760886148,0.664199378543306,0.335800621456694,0.664199378543306,0.335800621456694,0.755386199566035,0.755386199566035,-0.664199378543306,-0.218122109789567,-0.664199378543306,7.87878057019295e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,12,0,1,b,1,0,0,aud,A,63,1,0A,1A,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN,,,A01,2.60268968544438,0.664199418376216,0.225524185815605,0.33580068745175,0.5,0.3358007002445,0.446077268753739,0.33580068745175,0.5,0.33580068745175,0.5,0.77447574311017,0.499999940689642,0.5,0.33580068745175,0.225524188700673,0.84853760886148,0,0,0,0,0,NaN,0,0,0,0,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,13,2,3,z,0,1,2,aud,D,63,1,2D,3D,0,1,z,1.0379326000002,0,1,1,1,3D,2D,D23,2.23359222150709,0.664199418376216,0.225524185815605,0.33580068745175,0.5,0.3358007002445,0.446077268753739,0.33580068745175,0.5,0.33580068745175,0.5,0.77447574311017,0.499999940689642,0.5,0.33580068745175,0.225524188700673,0.84853760886148,0.950590284302872,0.0494097156971277,0.950590284302872,0.0494097156971277,0.956652027690992,0.956652027690992,0.0494097156971277,0.016226078765079,0.0494097156971277,-5.86101584236736e-09,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,14,2,0,b,1,0,1,aud,C,27,1,2C,0C,1,0,b,1.70076030000018,1,0,1,1,2C,0C,C20,2.67414864942653,0.664199418376216,0.225524185815605,0.33580068745175,0.5,0.3358007002445,0.446077268753739,0.33580068745175,0.5,0.33580068745175,0.5,0.77447574311017,0.499999940689642,0.5,0.33580068745175,0.0494097098361119,0.966816363067951,0.871671930588339,0.128328069411661,0.871671930588339,0.128328069411661,0.927724633925185,0.927724633925185,0.128328069411661,0.0421427513327137,0.128328069411661,-1.52223674479853e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,15,0,1,b,1,0,0,aud,A,63,1,0A,1A,1,0,b,1.61453559999973,1,0,1,1,0A,1A,A01,2.30258509299405,0.664199418376216,0.225524185815605,0.33580068745175,0.5,0.3358007002445,0.446077268753739,0.33580068745175,0.5,0.128328054189294,0.5,0.913814681921053,0.499999940689642,0.5,0.33580068745175,0.0494097098361119,0.966816363067951,0.871672029182219,0.128327970817781,0.871672029182219,0.128327970817781,0.927724679321745,0.927724679321745,0.128327970817781,0.0421427189546268,0.128327970817781,-1.52223557527086e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,16,1,3,b,1,0,3,aud,B,27,1,1B,3B,1,0,z,1.10762390000127,0,1,0,0,3B,1B,B13,3.43398720448515,0.913814748136846,0.128327955595425,0.33580068745175,0.5,0.3358007002445,0.446077268753739,0.33580068745175,0.5,0.128328054189294,0.5,0.913814681921053,0.499999940689642,0.5,0.33580068745175,0.0494097098361119,0.966816363067951,0.553922731246261,0.446077268753739,0.553922731246261,0.446077268753739,0.591527736432992,0.591527736432992,-0.553922731246261,-0.181907419222248,-0.553922731246261,6.57067108659859e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,17,3,2,z,0,1,1,aud,C,63,1,3C,2C,0,1,z,2.65874840000106,0,1,1,1,2C,3C,C32,3.46573590279973,0.913814748136846,0.128327955595425,0.33580068745175,0.5,0.3358007002445,0.44607733446045,0.33580068745175,0.372015312024013,0.128328054189294,0.5,0.913814681921053,0.499999940689642,0.5,0.33580068745175,0.0494097098361119,0.966816363067951,0.913814700605571,0.0861852993944288,0.913814700605571,0.0861852993944288,0.944885128916149,0.944885128916149,0.0861852993944288,0.028303126958636,0.0861852993944288,-1.0223361903685e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,18,2,3,z,0,1,2,aud,D,63,0,2D,3D,1,0,z,1.24820399999953,0,1,1,0,3D,2D,D23,2.11021320034659,0.913814748136846,0.128327955595425,0.33580068745175,0.5,0.3358007002445,0.44607733446045,0.33580068745175,0.372015312024013,0.128328054189294,0.5,0.942117827564207,0.0861852891710669,0.5,0.33580068745175,0.0494097098361119,0.966816363067951,0.998219160326848,0.0017808396731519,0.998219160326848,0.0017808396731519,0.968361930254273,0.968361930254273,-0.998219160326848,-0.327813720272347,-0.998219160326848,1.18409471301014e-07,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,19,1,0,b,1,0,3,aud,B,63,1,1B,0B,1,0,z,2.7564556999987,0,1,0,0,0B,1B,B10,2.83321334405622,0.913814748136846,0.128327955595425,0.33580068745175,0.5,0.3358007002445,0.44607733446045,0.33580068745175,0.372015312024013,0.128328054189294,0.5,0.942117827564207,0.0861852891710669,0.5,0.33580068745175,0.0017809580826232,0.670405440054501,0.385674380408665,0.614325619591335,0.385674380408665,0.614325619591335,0.313228641252228,0.313228641252228,-0.385674380408665,-0.126654905536075,-0.385674380408665,4.57489710612078e-08,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,20,2,0,z,0,1,0,aud,A,27,1,2A,0A,0,1,z,2.09992280000006,0,1,1,1,0A,2A,A20,3.55534806148941,0.913814748136846,0.128327955595425,0.33580068745175,0.5,0.25901947487259,0.614325665340306,0.33580068745175,0.372015312024013,0.128328054189294,0.5,0.942117827564207,0.0861852891710669,0.5,0.33580068745175,0.0017809580826232,0.670405440054501,0.954487749601623,0.0455122503983771,0.954487749601623,0.0455122503983771,0.957748423868773,0.957748423868773,0.0455122503983771,0.0149461568301028,0.0455122503983771,-5.39869571891071e-09,0.5,0.328398545430655,1.18620715777729e-07,3.43347371042032,12.9031603965449
