ID,mask,file,task,hemisphere,label,beta
CBC_1080,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.576830620321916
CBC_1083,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.106775805221913
CBC_1084,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.0749778351659005
CBC_1086,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.711754421782003
CBC_1095,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.413016574741145
CBC_1098,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.952201434140248
CBC_1101,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.67570438357358
CBC_1102,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.995811805946056
CBC_1104,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.712958723048123
CBC_1105,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.207693226314707
CBC_1106,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.638849081968198
CBC_1107,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.547120091023441
CBC_1109,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.782869608469225
CBC_1116,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.164619253864417
CBC_1133,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.0994494143876761
CBC_1142,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.224493084837485
CBC_1143,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.269254271143767
CBC_1144,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.161305261514372
CBC_1149,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.373538891263687
