ID,session,fit_percModel,fit_respModel,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,accuracy,probFB,model
118,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.573754339664951,0.356138572703149,8.36454539197177,4.5547987997296,0.5,0.5,0.559136905460115,0.361565631073784,8.45692770970307,4.19574609214768,0.5,38.4364616457272,0.6363636363636364,0.73,CBCsimpleRW_CBCdriftDiffusionLR
119,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.320655209000546,1.8145548724712,10.1911834528161,4.37446703699672,0.5,0.5,0.301340531942633,1.84378396712068,11.4767840593639,4.48826603656559,0.5,21.6336677615898,0.9318181818181818,0.95,CBCsimpleRW_CBCdriftDiffusionLR
120,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.596253518499844,1.99913363262925,4.37353849928024,4.60411983603113,0.5,0.5,0.568607272295018,2.19994301469994,4.90922136050674,3.62061859384692,0.5,46.6009514693593,0.9090909090909091,0.95,CBCsimpleRW_CBCdriftDiffusionLR
121,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.737496094314849,1.46740720459367,2.83455339025507,4.47459258904997,0.5,0.5,0.640657433585269,1.45219295751764,3.41309155495272,4.68006989096819,0.5,62.2264255699184,0.9318181818181818,1,CBCsimpleRW_CBCdriftDiffusionLR
122,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0577313285092692,2.13191252872436,3.84455054514956,1.2020152879238,0.5,0.5,0.943468324935043,2.16608517324411,0.0906721290169151,1.00825699897426,0.5,10.7578704575355,0.45454545454545453,1,CBCsimpleRW_CBCdriftDiffusionLR
123,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.81701851632834,1.1518083088718,4.59509041860427,4.99305321237952,0.5,0.5,0.991569274789231,1.36297374848877,5.25668075843459,4.9917647319028,0.5,39.073616692871,0.9545454545454546,1,CBCsimpleRW_CBCdriftDiffusionLR
124,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.241884490290346,1.8304258746979,14.2273865951573,4.54680335623901,0.5,0.5,0.245134080378029,1.89660475271699,14.98603813333,4.08982017074516,0.5,37.2120787885536,0.8863636363636364,0.73,CBCsimpleRW_CBCdriftDiffusionLR
125,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.832426384545837,1.28405060068879,12.529984851768,4.10664506341219,0.5,0.5,0.818695744050028,1.26064771500195,13.1013299586164,4.60891287878669,0.5,-28.4406689212916,0.8409090909090909,0.91,CBCsimpleRW_CBCdriftDiffusionLR
126,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.708240323473996,1.04390703082323,9.20963842185956,4.18487131236189,0.5,0.5,0.715441741616808,1.04698747574539,9.76064370120065,4.50712497903224,0.5,4.67823209704643,0.9090909090909091,0.95,CBCsimpleRW_CBCdriftDiffusionLR
127,1,CBCsimpleRW,CBCdriftDiffusionLR,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.325449929736968,2.81964279915302,11.9965540930982,4.25145401701742,0.5,0.5,0.388246986459208,2.82822294359526,12.122052585155,4.19817365599262,0.5,-1.50459451115054,0.9318181818181818,1,CBCsimpleRW_CBCdriftDiffusionLR
