ID,session,trialNr,mod2Stim,visStimLeft,visStimRight,correctKey,frequency,rewardAccurate,probFB,stimPairLeft,stimPairRight,leftCorrect,rightCorrect,pCorrectLeft,pCorrectRight,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,reactionTime,choice,choiceLeft,choiceRight,chosenPair,otherPair,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,choiceAccurate,reward,rewardPE,update2,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,version
101,1,11,B,0,1,l,63,1,1,0B,1B,0,1,0,1,B01,2.56494935746154,0.999982781674395,0.5,0.5,0.5,0.5,0.999999898958131,0.5,0.5,0.5,0.5,0.999999898958131,0.5,0.5,0.5,0.5,0.999982781674395,5.59465595866308,0,0,1,1B,0B,0.999999898958131,0.5,0.666666644212916,0.333333355787084,1,1,1.01041869315921e-7,1.00448927842555e-7,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.00501214786376702,0.987321811387747,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,12,C,2,0,a,27,1,1,2C,0C,1,0,1,0,C20,3.29583686600433,0.999982781674395,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999999898958131,0.5,0.5,0.5,0.5,0.999982781674395,1.61165595866308,1,1,0,2C,0C,0.999999898958131,0.5,0.666666644212916,0.333333355787084,1,1,1.01041869315921e-7,1.00448927842555e-7,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.601694171043036,0.987378609139865,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,13,D,2,3,l,63,1,1,2D,3D,0,1,0,1,D23,2.63905732961526,0.999982781674395,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999982781674395,1.51965595866308,0,0,1,3D,2D,0.999982781674395,0.5,0.666662840328166,0.333337159671834,1,1,1.72183256045289e-5,1.71172837352329e-5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.648154771505182,0.987288227976547,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,14,A,0,1,a,63,1,1,0A,1A,1,0,1,0,A01,3.36729582998647,0.999982781674395,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999999898958131,1.57665595866308,1,1,0,0A,1A,0.999982781674395,0.5,0.666662840328166,0.333337159671834,1,1,1.72183256045289e-5,1.71172837352329e-5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.619797309608597,0.987325009906199,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,15,C,3,2,l,63,1,1,3C,2C,0,1,0,1,C32,3.40119738166216,0.999999898958131,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.999999898958131,1.21565595866308,0,0,1,2C,3C,0.999999999407059,0.5,0.666666666534902,0.333333333465098,1,1,5.92941473698261e-10,5.89461930085156e-10,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.707667003266824,0.98732796642959,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,16,A,2,0,l,27,1,1,2A,0A,0,1,0,1,A20,2.7408400239252,0.999999898958131,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.999999898958131,2.43265595866308,0,0,1,0A,2A,0.999999898958131,0.5,0.666666644212916,0.333333355787084,1,1,1.01041869315921e-7,1.00448927842555e-7,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.240394726957301,0.987421588971704,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,17,D,3,2,a,63,1,1,3D,2D,1,0,1,0,D32,3.46573590279973,0.999999999407059,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.999999898958131,2.14765595866308,1,1,0,3D,2D,0.999999898958131,0.5,0.666666644212916,0.333333355787084,1,1,1.01041869315921e-7,1.00448927842555e-7,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.338099675046893,0.987383330139454,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,18,D,2,3,l,63,1,1,2D,3D,0,1,0,1,D23,2.39789527279837,0.999999999407059,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.999999999407059,3.91665595866308,0,0,1,3D,2D,0.999999999407059,0.5,0.666666666534902,0.333333333465098,1,1,5.92941473698261e-10,5.89461930085156e-10,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.0393317619088421,0.987282178266048,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,19,B,1,3,a,27,1,1,1B,3B,1,0,1,0,B13,2.83321334405622,0.999999999407059,0.5,0.5,0.5,0.5,0.999999999407059,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.99999999999652,1.09065595866308,1,1,0,1B,3B,0.999999999407059,0.5,0.666666666534902,0.333333333465098,1,1,5.92941473698261e-10,5.89461930085156e-10,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.620515316604412,0.987360160945042,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
101,1,20,D,3,0,a,9,1,1,3D,0D,1,0,1,0,D30,3.55534806148941,0.999999999407059,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.99999999999652,0.5,0.5,0.5,0.5,0.99999999999652,1.06365595866308,1,1,0,3D,0D,0.99999999999652,0.5,0.666666666665893,0.333333333334107,1,1,3.4795499814777e-12,3.45913102538915e-12,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.740049696515405,0.631655958663083,3.94972522777702,3.13495757352119,0.5,0.586188765179707,0.987319424758016,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994131725022704,0.57687078259346,3.81070425365473,3.42880811881406,0.5,57.437544256846,v3
