"ID";"trials_runs.thisN";"secondStim";"trials_runs.visual_stim_left";"trials_runs.presentationFrequncy";"response_runs.keys";"response_runs.rt";"trials_runs.correct_answer";"trials_runs.feedback_given";"session";"tsDifficulty";"prob.Feedback";"version";"totalAccuracy";"totalError";"outlier200ms";"outlierSD";"omission";"validTrials";"modality";"stimType";"logfile";"group";"trials_runs.visual_stim_right";"trials_runs.correctKey"
"CBC_1032";"40";"1";"0";"14";"z";"0,68111109999881592";"1";"1";"1";"easy";"0,95";"v1";"0,421052631578947";"0,5789473684210527";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"41";"0";"2";"36";"b";"2,37362399999983609";"0";"0";"1";"easy";"0,95";"v1";"0,410256410256410";"0,5897435897435898";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"0";"0";"2";"36";"z";"2,43629049999981362";"1";"1";"2";"easy";"0,95";"v1";"1,000000000000000";"0,0000000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"1";"2";"1";"50";"b";"2,37794150000081572";"1";"1";"2";"easy";"0,95";"v1";"1,000000000000000";"0,0000000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"2";"0";"2";"36";"z";"2,43933590000051481";"1";"1";"2";"easy";"0,95";"v1";"1,000000000000000";"0,0000000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"3";"2";"0";"36";"b";"2,44120900000052643";"0";"0";"2";"easy";"0,95";"v1";"0,750000000000000";"0,2500000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"4";"1";"2";"50";"b";"2,44012629999997444";"1";"1";"2";"easy";"0,95";"v1";"0,800000000000000";"0,2000000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"5";"0";"1";"14";"z";"2,83271550000063144";"1";"1";"2";"easy";"0,95";"v1";"0,833333333333333";"0,1666666666666666";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"6";"1";"0";"14";"b";"1,63356270000076620";"0";"0";"2";"easy";"0,95";"v1";"0,714285714285714";"0,2857142857142857";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"7";"2";"1";"50";"None";NA;NA;"3";"2";"easy";"0,95";"v1";"0,714285714285714";"0,2857142857142857";NA;NA;"1";"0";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"8";"1";"2";"50";"z";"1,21631250000064028";"0";"0";"2";"easy";"0,95";"v1";"0,625000000000000";"0,3750000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"9";"2";"0";"36";"b";"2,75128059999951802";"0";"0";"2";"easy";"0,95";"v1";"0,555555555555556";"0,4444444444444444";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"10";"1";"1";"36";"z";"2,56806909999977506";"1";"1";"2";"easy";"0,95";"v1";"0,600000000000000";"0,4000000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"11";"0";"0";"50";"b";"2,41449090000060096";"1";"1";"2";"easy";"0,95";"v1";"0,636363636363636";"0,3636363636363636";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
