"ID";"session";"tsDifficulty";"prob.Feedback";"ACC";"minACC";"maxACC";"RT";"minRT";"maxRT";"omissions";"outliers";"idxOmission";"idxOutlier";"modality";"stimType";"logfile";"group";"version"
"CBC_1051";"2";"hard";"0,95";"0,452380952380952";"0,250000000000000";"1,000000000000000";"2,21514359285634";"1,03571649999867077";"3,28585469999962";"0,0454545454545455";"0,0000000000000000";;;"av";"env";"CBC_1051_MSI_AV_v3_Vset1_Aset1_2024-05-03_16h25.09.705.csv";"children";"v3"
"CBC_1051";"3";"hard";"0,95";"0,813953488372093";"0,000000000000000";"0,888888888888889";"2,60417370930305";"1,45111499999984517";"4,18418820000079";"0,0227272727272727";"0,0000000000000000";;;"tv";"vib";"CBC_1051_MSI_TV_v3_Vset2_Tset1_2024-05-03_17h13.22.033.csv";"children";"v3"
"CBC_1058";"1";"hard";"0,90";"0,886363636363636";"0,666666666666667";"1,000000000000000";"2,21853548409054";"1,07649709999986953";"3,51866869999958";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1058_MSI_TV_v3_Vset4_Tset1_2024-01-26_14h07.19.138.csv";"children";"v3"
"CBC_1058";"2";"hard";"0,90";"0,953488372093023";"0,000000000000000";"0,953488372093023";"1,97483118604624";"0,91774599999916973";"5,68777529999988";"0,0227272727272727";"0,0232558139534884";;;"av";"env";"CBC_1058_MSI_AV_v3_Vset5_Aset3_2024-01-26_14h15.51.953.csv";"children";"v3"
"CBC_1072";"1";"hard";"0,95";"0,409090909090909";"0,000000000000000";"0,428571428571429";"2,22354157727287";"1,35464270000011311";"3,32132100000035";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1072_MSI_TV_v3_Vset5_Tset2_2024-02-02_14h13.45.206.csv";"children";"v3"
"CBC_1072";"3";"easy";"0,95";"0,651162790697674";"0,333333333333333";"1,000000000000000";"2,39288022558216";"1,44874739999977464";"3,50824370000191";"0,0227272727272727";"0,0000000000000000";;;"av";"env";"CBC_1072_MSI_AV_v3_Vset6_Aset2_2024-02-02_15h59.48.628.csv";"children";"v3"
"CBC_1075";"2";"hard";"0,95";"0,568181818181818";"0,000000000000000";"0,575000000000000";"2,56711076818320";"0,91214280000167491";"3,82870810000168";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv";"children";"v3"
"CBC_1075";"3";"hard";"0,95";"0,545454545454545";"0,000000000000000";"0,578947368421053";"2,80953190000020";"0,14782179999747314";"3,95638980000149";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1075_MSI_TV_v3_Vset2_Tset1_2024-03-13_17h09.54.370.csv";"children";"v3"
"CBC_1102";"1";"easy";"0,95";"0,500000000000000";"0,000000000000000";"0,521739130434783";"2,83935398499984";"1,60259410000071512";"6,23177209999994";"0,0909090909090909";"0,0250000000000000";;;"tv";"vib";"CBC_1102_MSI_TV_v3_Vset4_Tset3_2024-05-26_11h06.10.825.csv";"children";"v3"
"CBC_1102";"3";"easy";"0,95";"0,627906976744186";"0,000000000000000";"0,777777777777778";"2,43765779767459";"1,04698450000068988";"5,80161009999938";"0,0227272727272727";"0,0232558139534884";;;"av";"env";"CBC_1102_MSI_AV_v3_Vset6_Aset3_2024-05-26_14h20.21.975.csv";"children";"v3"
"CBC_1109";"1";"hard";"0,95";"0,785714285714286";"0,600000000000000";"1,000000000000000";"2,47984681666685";"1,30650880000030156";"4,44489320000048";"0,0454545454545455";"0,0000000000000000";;;"av";"env";"CBC_1109_MSI_AV_v3_Vset3_Aset2_2024-06-07_14h04.19.059.csv";"children";"v3"
"CBC_1109";"3";"hard";"0,95";"0,651162790697674";"0,000000000000000";"0,750000000000000";"2,69209055348844";"1,04757389999940642";"4,22359289999986";"0,0227272727272727";"0,0000000000000000";;;"tv";"vib";"CBC_1109_MSI_TV_v3_Vset1_Tset3_2024-06-07_15h09.59.248.csv";"children";"v3"
"CBC_1142";"1";"hard";"0,95";"0,704545454545455";"0,000000000000000";"0,900000000000000";"2,26671132954547";"1,02625040000020817";"3,37730030000057";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1142_MSI_TV_v3_Vset6_Tset2_2024-11-06_14h55.07.235.csv";"children";"v3"
"CBC_1142";"2";"hard";"0,95";"0,697674418604651";"0,500000000000000";"1,000000000000000";"1,93278417674366";"0,72924069999862695";"2,94045899999946";"0,0227272727272727";"0,0000000000000000";;;"av";"env";"CBC_1142_MSI_AV_v3_Vset4_Aset2_2024-11-06_15h03.57.589.csv";"children";"v3"
"CBC_1143";"2";"hard";"0,90";"1,000000000000000";"1,000000000000000";"1,000000000000000";"2,25293714545466";"0,96912010000050941";"3,01747999999861";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1143_MSI_TV_v3_Vset2_Tset2_2024-09-27_16h22.40.071.csv";"children";"v3"
"CBC_1143";"3";"hard";"0,95";"0,886363636363636";"0,000000000000000";"0,900000000000000";"1,74531192727227";"0,96964699999989534";"3,11674579999999";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1143_MSI_AV_v3_Vset3_Aset2_2024-09-27_17h11.17.983.csv";"children";"v3"
"CBC_1144";"1";"hard";"0,90";"0,590909090909091";"0,000000000000000";"0,620689655172414";"2,32395041136366";"1,55777180000040971";"3,34402050000017";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1144_MSI_TV_v3_Vset5_Tset2_2024-10-16_13h57.49.373.csv";"children";"v3"
"CBC_1144";"3";"hard";"0,95";"0,931818181818182";"0,500000000000000";"1,000000000000000";"1,94055596818149";"0,92532879999998841";"3,22965049999948";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1144_MSI_AV_v3_Vset6_Aset2_2024-10-16_15h00.07.136.csv";"children";"v3"
