"ID";"session";"tsDifficulty";"prob.Feedback";"version";"ACC";"minACC";"maxACC";"RT";"minRT";"maxRT";"omissions";"outliers";"idxOmission";"idxOutlier";"modality";"stimType";"group";"logfile";"participant"
"CBC_P010";"1";"hard";"0,7";"v1";"0,833333333333333";"0,000000000000000";"0,833333333333333";"1,617216790474101";"0,790687000000617";"2,86222979999729";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P010_TV_prob0.7_Vset4_Aset1_2023-03-17_17h25.45.699.csv";"CBC_P010"
"CBC_P010";"2";"hard";"0,7";"v1";"0,875000000000000";"0,000000000000000";"0,875000000000000";"1,307238224999128";"0,744184299997869";"2,33846249999988";"0,0476190476190476";"0,0000000000000000";;;"av";"env";"adults";"CBC_P010_AV_prob0.7_Vset1_Aset4_2023-03-17_17h33.48.514.csv";"CBC_P010"
"CBC_P013";"1";"hard";"0,7";"v1";"0,634146341463415";"0,500000000000000";"1,000000000000000";"2,151810904877538";"1,041799200000241";"3,34164319999945";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"adults";"CBC_P013_AV_prob0.7_Vset3_Aset4_2023-03-24_16h50.28.064.csv";"CBC_P013"
"CBC_P013";"2";"hard";"0,7";"v1";"0,948717948717949";"0,000000000000000";"0,948717948717949";"2,474125969229461";"2,230236099998365";"3,21393779999744";"0,0714285714285714";"0,0256410256410256";;;"tv";"vib";"adults";"CBC_P013_TV_prob0.7_Vset1_Tset2_2023-03-24_16h58.27.647.csv";"CBC_P013"
"CBC_P014";"1";"hard";"0,8";"v1";"0,625000000000000";"0,333333333333333";"1,000000000000000";"2,530442092500055";"1,169943200000262";"3,41232130000003";"0,0476190476190476";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P014_TV_prob0.8_Vset3_Tset1_2023-03-29_15h27.38.049.csv";"CBC_P014"
"CBC_P014";"2";"hard";"0,8";"v1";"0,878048780487805";"0,000000000000000";"0,909090909090909";"1,545720817073294";"0,854797700000290";"3,20482640000000";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"adults";"CBC_P014_AV_prob0.8_Vset1_Aset4_2023-03-29_15h35.20.648.csv";"CBC_P014"
"CBC_P015";"1";"hard";"0,7";"v1";"0,950000000000000";"0,000000000000000";"0,950000000000000";"1,394770427499952";"0,658770300000469";"2,38826030000018";"0,0476190476190476";"0,0000000000000000";;;"av";"env";"adults";"CBC_P015_AV_prob0.7_Vset3_Aset3_2023-03-29_17h00.29.925.csv";"CBC_P015"
"CBC_P015";"2";"hard";"0,7";"v1";"0,846153846153846";"0,000000000000000";"0,846153846153846";"1,719031928205601";"0,971507800000836";"2,64730950000012";"0,0714285714285714";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P015_TV_prob0.7_Vset4_Tset1_2023-03-29_17h08.14.876.csv";"CBC_P015"
"CBC_P016";"1";"hard";"0,9";"v1";"0,777777777777778";"0,666666666666667";"1,000000000000000";"2,417469722222134";"1,038132000000132";"3,29280819999985";"0,1428571428571428";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P016_TV_prob0.9_Vset2_Tset1_2023-03-31_13h57.21.734.csv";"CBC_P016"
"CBC_P016";"2";"hard";"0,9";"v1";"0,902439024390244";"0,500000000000000";"1,000000000000000";"1,950390034146195";"0,827434699999685";"3,32810979999977";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"adults";"CBC_P016_AV_prob0.9_Vset4_Aset1_2023-03-31_14h05.04.449.csv";"CBC_P016"
"CBC_P017";"1";"hard";"0,9";"v1";"0,902439024390244";"0,000000000000000";"0,902439024390244";"1,302847936585394";"0,689771400000609";"2,60189660000015";"0,0238095238095238";"0,0243902439024390";;;"av";"env";"adults";"CBC_P017_AV_prob0.9_Vset2_Aset3_2023-03-31_15h00.39.413.csv";"CBC_P017"
"CBC_P017";"2";"hard";"0,9";"v1";"0,926829268292683";"0,800000000000000";"1,000000000000000";"1,466252331706839";"-0,352784400000019";"2,58140089999961";"0,0238095238095238";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P017_TV_prob0.9_Vset3_Tset1_2023-03-31_15h08.21.412.csv";"CBC_P017"
"CBC_P018";"1";"hard";"0,9";"v1";"0,625000000000000";"0,000000000000000";"0,666666666666667";"0,731717212499825";"-47,474233099999765";"3,05862339999840";"0,0476190476190476";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P018_TV_prob0.9_Vset2_Tset2_2023-03-31_16h13.25.375.csv";"CBC_P018"
"CBC_P018";"2";"hard";"0,9";"v1";"0,928571428571429";"0,000000000000000";"0,947368421052632";"1,834272792855656";"0,803116299997782";"2,85942149999937";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"adults";"CBC_P018_AV_prob0.9_Vset4_Aset1_2023-03-31_16h21.18.455.csv";"CBC_P018"
"CBC_P019";"1";"hard";"0,9";"v1";"0,809523809523810";"0,794871794871795";"1,000000000000000";"1,506673554761489";"0,622856399999364";"2,81160950000049";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"adults";"CBC_P019_AV_prob0.9_Vset3_Aset1_2023-03-31_17h14.34.139.csv";"CBC_P019"
"CBC_P019";"2";"hard";"0,9";"v1";"0,731707317073171";"0,600000000000000";"1,000000000000000";"1,961679373170116";"0,997891899998649";"3,16732309999861";"0,0238095238095238";"0,0000000000000000";;;"tv";"vib";"adults";"CBC_P019_TV_prob0.9_Vset2_Tset3_2023-03-31_17h22.32.458.csv";"CBC_P019"
