ID,filename,session,trial,mod2Type,stimPair,triplet,matchingPair,nonMatchingPair,frequency,reactionTime,version,run,simpleSurprise,nonMatchPairSurprise,group
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,40,tac,2B,NA,NA,NA,0.15,1.98823589999665,v1,MR,3.17805383034795,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,41,tac,0A,NA,NA,NA,0.5,1.00469409999641,v1,MR,1.94591014905531,NA,adults
CBC_P004,CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv,2,42,tac,1B,NA,NA,NA,0.5,2.03344990000187,v1,MR,1.96611285637283,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,1,aud,0B,NA,NA,NA,0.35,2.35574009999982,v1,MR,2.19722457733622,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,2,aud,2C,NA,NA,NA,0.5,0.738455299993802,v1,MR,2.30258509299405,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,3,aud,1B,NA,NA,NA,0.5,1.25799189999816,v1,MR,2.39789527279837,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,4,aud,2C,NA,NA,NA,0.5,1.17662589999964,v1,MR,1.79175946922805,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,5,aud,1B,NA,NA,NA,0.5,1.31621979999909,v1,MR,1.87180217690159,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,6,aud,2A,NA,NA,NA,0.35,1.50991959999374,v1,MR,2.63905732961526,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,7,aud,0B,NA,NA,NA,0.35,NA,v1,MR,2.01490302054226,NA,adults
CBC_P005,CBC_P005_AV_prob0.9_Vset2_Aset2_2023-03-15_17h40.11.534.csv,1,8,aud,1C,NA,NA,NA,0.35,1.41263389999222,v1,MR,2.77258872223978,NA,adults
