ID,filename,session,trial,mod2Type,stimPair,frequency,rewardAccurate,reactionTime,choice,choiceAccurate,reward,beliefPair,rewardPE,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,fit_delta1,version,run,alphaT,model,mBIC
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,25,aud,0A,0.5,1,1.50678110000445,1,1,1,0.55729336163627,0.44270663836373,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,26,aud,1C,0.35,1,1.45510040000227,0,1,1,0.430417704861445,0.430417704861445,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,27,aud,2B,0.15,1,1.38068000000203,0,1,1,0.5,0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,28,aud,1C,0.35,1,1.18674360000296,0,1,1,0.399346781720616,0.399346781720616,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,29,aud,0B,0.35,1,1.27816690000327,1,0,0,0.500362599172186,-0.500362599172186,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,30,aud,2C,0.5,1,0.667795900008059,1,1,1,0.656228149536015,0.343771850463985,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,31,aud,0A,0.5,1,0.921241500000178,1,1,1,0.589251396306247,0.410748603693753,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,32,aud,2B,0.15,0,1.57016130000557,0,1,0,0.463906081476329,-0.536093918523671,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,33,aud,1C,0.35,1,0.890625600004569,0,1,1,0.370518801316388,0.370518801316388,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,34,aud,2A,0.35,1,NA,NA,NA,NA,0.497394458091213,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,35,aud,1B,0.5,1,2.18147100000351,0,0,0,0.600653218279384,-0.399346781720616,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,36,aud,0C,0.15,0,0.993049500008055,0,1,0,0.463906081476329,-0.536093918523671,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,37,aud,1B,0.5,1,1.57641760000115,1,1,1,0.629481198683612,0.370518801316388,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,38,aud,2A,0.35,1,1.70199150000553,0,1,1,0.497394458091213,0.497394458091213,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,39,aud,1C,0.35,1,1.59986570000183,0,1,1,0.343771850463985,0.343771850463985,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,40,aud,0A,0.5,1,1.22754060000443,1,1,1,0.618902449577115,0.381097550422885,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,41,aud,1B,0.5,0,1.27867130000959,1,1,0,0.656228149536015,-0.656228149536015,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0721878370473416,NA,NA,0.419464626523405,6.94235738511333,2.82503312817105,0.5,57.8293744317312,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,130.79550739913546
