ID,session,version,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_alpha12,sim_alpha2,sim_alpha22,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,sim_delta1,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_alpha22,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,fit_delta1,accuracy,probFB,model
183,1,v1,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.495650274742109,0.755335277672993,NA,NA,0.560271676881258,7.63135845921506,3.51130138672522,0.5,NA,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.580820996537189,0.895951366350568,NA,NA,0.545597873324731,7.05947944961177,3.89878279994213,0.5,-11.0685161546355,NA,0.8571428571428571,0.95,CBCsimpleAsymRW_CBCdriftDiffusionLR
183,1,v1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.318422729559975,NA,NA,NA,2.93699093817559,0.775379614481965,1.26322827533632,0.5,NA,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0637508468360759,NA,NA,NA,2.92008323676507,0.931600105183928,1.23387236174723,0.5,25.235505917426,NA,0.5238095238095238,0.95,CBCsimpleRW_CBCdriftDiffusionLR
183,1,v3,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.965060519666611,0.0294367103120815,0.866158490217539,0.94245641390276,2.0078641429085,0.433976171453651,4.93173481355985,0.5,NA,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.984189840242573,0.0297273096284421,0.213798830035504,0.66329694807464,2.17994537287292,1.15887671609483,4.30975350240889,0.5,106.919885208014,NA,0.8863636363636364,0.95,CBCbothPairsAsymRW_CBCdriftDiffusionLR
183,1,v3,CBCbothPairsAsymRW,CBCdriftDiffusionLR_pwBelief,0.5,0.123645886000497,0.747178028289995,0.571180259781661,0.459929479622632,2.16550622223602,2.19192031048488,4.73459310084823,0.5,NA,CBCbothPairsAsymRW,CBCdriftDiffusionLR_pwBelief,0.5,0.225910457169457,0.855458629938857,0.809119352774517,0.674224596826448,2.22628348641736,2.1780958397567,4.6769031640854,0.5,44.2398446424672,NA,0.8863636363636364,0.95,CBCbothPairsAsymRW_CBCdriftDiffusionLR_pwBelief
183,1,v3,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.395891303059809,NA,0.676694431847173,NA,2.76596684459952,2.40129982050084,3.47913829151623,0.5,NA,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.540782118685619,NA,0.532399271779941,NA,2.74464579362119,1.98644193880137,3.16189216455464,0.5,56.4324260701429,NA,0.8636363636363636,0.95,CBCbothPairsRW_CBCdriftDiffusionLR
183,1,v3,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.76238640559587,NA,0.0933715121265206,NA,0.678878157533895,8.9021028763038,1.11510312780051,0.5,NA,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.718244603578063,NA,0.036138581054531,NA,0.66504330446331394,9.63851073112687,1.4526944406518,0.5,-74.6922995653793,NA,0.9090909090909091,0.95,CBCbothPairsRW_CBCdriftDiffusionLR_pwBelief
183,1,v3,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.260264007933578,NA,NA,NA,2.14792493982186,14.568232733527,4.72739375359148,0.5,0.387858921462414,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.268164725489629,NA,NA,NA,2.14940938489802,14.9953064289485,4.9503132416555,0.5,-10.368510783079,0.847907867902152,0.8636363636363636,0.95,CBCpearceHall_CBCdriftDiffusionLR
183,1,v3,CBCpearceHall,CBCdriftDiffusionLR_pwBelief,0.5,0.0740576217429982,NA,NA,NA,2.77665746616434,8.54943898354397,3.81966095192196,0.5,0.0301548029113241,CBCpearceHall,CBCdriftDiffusionLR_pwBelief,0.5,0.0339761671193275,NA,NA,NA,2.67459280274548,6.20520469293695,4.49364007988616,0.5,5.30758987267265,0.176607773452752,0.9318181818181818,0.95,CBCpearceHall_CBCdriftDiffusionLR_pwBelief
183,1,v3,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.309988468362759,0.0425633828123978,NA,NA,0.992443818907881,1.13189927853256,2.95545917101238,0.5,NA,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.99414830821993,0.198752576116753,NA,NA,0.940997599464786,1.14406880685143,3.10998329378395,0.5,94.1494116613352,NA,0.7272727272727273,0.95,CBCsimpleAsymRW_CBCdriftDiffusionLR
183,1,v3,CBCsimpleAsymRW,CBCdriftDiffusionLR_pwBelief,0.5,0.898346509604718,0.48732247783576,NA,NA,1.66901273947082,7.68077903835254,3.74230631326656,0.5,NA,CBCsimpleAsymRW,CBCdriftDiffusionLR_pwBelief,0.5,0.976970412698022,0.446836211894824,NA,NA,1.63033942930519,7.97454930934254,4.5078772915688,0.5,-25.0015361381194,NA,0.9090909090909091,0.95,CBCsimpleAsymRW_CBCdriftDiffusionLR_pwBelief
183,1,v3,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.192547295163157,NA,NA,NA,2.1901491441571,3.6462114035171602,3.54439862070365,0.5,NA,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0571516065594601,NA,NA,NA,2.46964932366178,12.7396273007108,3.59300623619291,0.5,61.4865303052362,NA,0.7954545454545454,0.95,CBCsimpleRW_CBCdriftDiffusionLR
183,1,v3,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.667784266019829,NA,NA,NA,2.7141203829850298,12.9079177518953,1.70743141700286,0.5,NA,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.697674282441172,NA,NA,NA,2.68983215091693,12.3547056577046,2.09570040183272,0.5,-80.3443917922841,NA,0.8636363636363636,0.95,CBCsimpleRW_CBCdriftDiffusionLR_pwBelief
