ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,beliefPair,lik,corrLik,rewardPE,update2,choicePE,update1,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,version,run,alphaT,fit_delta1
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,11,0,1,aud,0.5,1,z,A,0A,1,z,1.81094950000261,1,1,1,1.84582669049833,0.786478350085428,0.406468416685117,0.594834640048266,0.429157707011836,0.690206785504416,0.406468416685117,0.406468416685117,0.251842314791626,0.786478350085428,0.786478350085428,0.342387055566335,0.966118473946966,0.213521649914572,0.0812265333317002,0.213521649914572,0.0812265333317002,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,12,1,2,aud,0.5,1,z,B,1B,1,z,2.77386060000572,1,1,1,2.30258509299405,0.867704883417128,0.385958852171932,0.56482050137486,0.407503287339893,0.690206785504416,0.406468416685117,0.385958852171932,0.251842314791626,0.786478350085428,0.690206785504416,0.143685870835112,0.902129126521029,0.309793214495584,0.11784954300057,0.309793214495584,0.11784954300057,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,13,0,0,aud,0.15,1,z,C,0C,0,b,2.65226440000697,0,1,1,3.04452243772342,0.867704883417128,0.366484158313523,0.56482050137486,0.386941505371216,0.808056328504986,0.385958852171932,0.385958852171932,0.239134866954737,0.786478350085428,0.385958852171932,0.154460873251371,0.791254139543872,0.385958852171932,-0.146823985217195,-0.385958852171932,-0.146823985217195,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,14,1,1,aud,0.15,0,z,A,1A,0,b,2.3846706000113,0,1,0,3.09104245335832,0.867704883417128,0.366484158313523,0.56482050137486,0.386941505371216,0.808056328504986,0.385958852171932,0.239134866954737,0.239134866954737,0.786478350085428,0.366484158313523,0.192233566281706,0.827236529664951,-0.633515841686477,0.0319659129512612,-0.366484158313523,-0.139415547382213,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,15,0,2,aud,0.35,1,z,B,0B,0,z,2.2603023000047,1,0,0,2.03688192726104,0.867704883417128,0.398450071264784,0.56482050137486,0.386941505371216,0.808056328504986,0.385958852171932,0.239134866954737,0.239134866954737,0.786478350085428,0.386941505371216,0.0530479051099464,0.208812189723098,-0.386941505371216,-0.0195242765279539,-0.386941505371216,-0.147197799829798,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,16,1,1,aud,0.15,1,z,A,1A,0,z,2.57815980000305,1,0,0,2.484906649788,0.867704883417128,0.398450071264784,0.56482050137486,0.367417228843262,0.808056328504986,0.385958852171932,0.239134866954737,0.239134866954737,0.786478350085428,0.398450071264784,0.0483688396919021,0.234351988803755,-0.398450071264784,-0.0201049752119336,-0.398450071264784,-0.15157581447856,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,17,2,0,aud,0.5,1,z,C,2C,1,z,1.92112910000287,1,1,1,2.12026353620009,0.867704883417128,0.37834509605285,0.56482050137486,0.367417228843262,0.808056328504986,0.385958852171932,0.239134866954737,0.239134866954737,0.786478350085428,0.786478350085428,0.299878110037302,0.966120170214906,0.213521649914572,0.0812265333317002,0.213521649914572,0.0812265333317002,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,18,0,1,aud,0.5,0,z,A,0A,1,z,0.92652060000546,1,1,0,1.87180217690159,0.867704883417128,0.37834509605285,0.536320814718292,0.367417228843262,0.808056328504986,0.366484158313523,0.227068610931309,0.227068610931309,0.867704883417128,0.867704883417128,0.962688889286949,0.986580935775661,-0.867704883417128,-0.0437826127549672,0.132295116582872,0.0503268577263202,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,19,2,0,aud,0.5,1,z,C,2C,1,z,1.03527120000217,1,1,1,1.90954250488444,0.823922270662161,0.37834509605285,0.536320814718292,0.367417228843262,0.808056328504986,0.366484158313523,0.227068610931309,0.227068610931309,0.867704883417128,0.867704883417128,0.913544164777266,0.98651945900479,0.132295116582872,0.0503268577263202,0.132295116582872,0.0503268577263202,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,20,1,2,aud,0.5,1,z,B,1B,1,z,2.27018460000545,1,1,1,2.23359222150709,0.823922270662161,0.37834509605285,0.509259163928952,0.367417228843262,0.808056328504986,0.347992117654398,0.215611193494563,0.215611193494563,0.918031741143448,0.808056328504986,0.184690587762106,0.973183258639482,0.191943671495014,0.0730179775059644,0.191943671495014,0.0730179775059644,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.380413571008832,0.0504579536103864,0.581365261170299,0.39274554046744,1.98690892254931,2.94056765304175,0.5,56.0570835031282,v1,MR,NA,NA
