ID,filename,session,trial,mod2Type,stimPair,triplet,frequency,rewardAccurate,reactionTime,choice,choiceAccurate,choiceLeft,choiceRight,reward,beliefPair,beliefPairNorm,beliefOtherPair,beliefOtherPairNorm,rewardPE,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,fit_delta1,fit_alpha22,version,run,alphaT,model,mBIC
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,23,aud,1A,NA,0.14,1,2.42898370000148,0,1,NA,NA,1,0.00265495792728437,NA,NA,NA,0.00265495792728432,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,24,aud,2B,NA,0.14,1,1.19148479999967,1,0,NA,NA,0,0.5,NA,NA,NA,-0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,25,aud,0A,NA,0.5,0,NA,NA,NA,NA,NA,NA,0.999999925142913,NA,NA,NA,0,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,26,aud,1C,NA,0.36,1,1.81981110000015,0,1,NA,NA,1,1.40976031913556e-5,NA,NA,NA,1.40976031913764e-5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,27,aud,0A,NA,0.5,1,2.93335039999874,0,0,NA,NA,0,0.999999925142913,NA,NA,NA,-7.48570867514786e-8,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,28,aud,1C,NA,0.36,1,0.935542499999428,0,1,NA,NA,1,7.48570866764925e-8,NA,NA,NA,7.48570866404563e-8,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,29,aud,2B,NA,0.14,1,4.35716529999991,0,1,NA,NA,1,0.00265495792728437,NA,NA,NA,0.00265495792728432,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,30,aud,0A,NA,0.5,1,1.64366239999981,1,1,NA,NA,1,0.999999999602515,NA,NA,NA,3.9748482283386006e-10,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,31,aud,1B,NA,0.5,1,0.194881600000372,0,0,NA,NA,0,0.999999925142913,NA,NA,NA,-7.48570867514786e-8,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,32,aud,0A,NA,0.5,1,0.561620000000403,1,1,NA,NA,1,0.999999999997889,NA,NA,NA,2.11064499211489e-12,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,33,aud,1C,NA,0.36,1,0.737039600000571,0,1,NA,NA,1,3.97484867215157e-10,NA,NA,NA,3.9748482283386006e-10,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,34,aud,0B,NA,0.36,1,1.58102880000115,1,0,NA,NA,0,7.48570866971974e-8,NA,NA,NA,-7.48570866971974e-8,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,35,aud,2C,NA,0.5,0,1.30701790000057,0,0,NA,NA,1,0.999999999602515,NA,NA,NA,0.999999999602515,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,36,aud,0B,NA,0.36,1,0.957632699999522,1,0,NA,NA,0,3.9748483148028005e-10,NA,NA,NA,-3.9748483148028005e-10,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,37,aud,2C,NA,0.5,1,0.451885700000275,0,0,NA,NA,0,0.0053099158524581,NA,NA,NA,-0.994690084147542,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,38,aud,1B,NA,0.5,1,1.61171990000003,0,0,NA,NA,0,0.999999999602515,NA,NA,NA,-3.9748482283386006e-10,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,39,aud,1B,NA,0.5,1,4.92739849999998,0,0,NA,NA,0,0.999999999997889,NA,NA,NA,-2.11064499211489e-12,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,40,aud,2A,NA,0.36,1,2.63526970000021,1,0,NA,NA,0,7.48570867314141e-8,NA,NA,NA,-7.48570867314141e-8,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,41,aud,0C,NA,0.14,1,0.681111099998816,0,1,NA,NA,1,0.00265495792728437,NA,NA,NA,0.00265495792728432,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,42,aud,2A,NA,0.36,1,2.37362399999984,1,0,NA,NA,0,3.97484831661968e-10,NA,NA,NA,-3.97484831661968e-10,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.994690084145431,NA,NA,0.301911964227467,0.0625,2.55488223956955,0.5,76.9260353236692,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,168.98882918301143
CBC_1032,CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv,2,1,tac,2A,NA,0.36,1,2.43629049999981,0,1,NA,NA,1,0.5,NA,NA,NA,0.5,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.0163736674384275,NA,NA,1.07893675362033,0.0266608158557604,2.40067793940376,0.5,66.7200846403691,NA,NA,v1,MR,NA,CBCsimpleRW_CBCdriftDiffusionLR,148.57692781641123
