ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,prob,lik,rewardPE,update2,fitCBCsimpleRW_CBCsimpleSigmoid_pwBelief_startBelief,fitCBCsimpleRW_CBCsimpleSigmoid_pwBelief_alpha1,fitCBCsimpleRW_CBCsimpleSigmoid_pwBelief_beta,fit_CBCsimpleRW_CBCsimpleSigmoid_pwBelief_NLL
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,26,3,2,b,1,0,1,aud,D,63,1,3D,2D,1,0,b,2.82248590000017,1,0,1,1,3D,2D,D32,3.02042488614436,0.999877929653577,0.5,0.5,0.5,0.5,0.999969482411981,0.5,0.5,0.5,0.5,0.999997903703778,0.00025987532155855,0.5,0.5,0.189453131151339,0.97359870033853,0.993701675995583,0.00629832400441721,0.993701675995583,0.00629832400441721,0.805611693610271,0.805611693610271,0.00629832400441721,0.00472374293038467,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,27,2,1,r,0,1,3,aud,B,9,1,2B,1B,0,1,r,2.07568889999948,0,1,1,1,1B,2B,B21,3.73766961828337,0.999877929653577,0.5,0.5,0.5,0.5,0.999969482411981,0.5,0.5,0.5,0.5,0.999997903703778,0.00025987532155855,0.5,0.5,0.189453131151339,0.998425418925967,0.999969482411981,3.05175880191966e-05,0.999969482411981,3.05175880191966e-05,0.808422736681291,0.808422736681291,3.05175880191966e-05,2.28881906610346e-05,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,28,3,1,b,1,0,1,aud,D,27,1,3D,1D,1,0,b,2.59371829999964,1,0,1,1,3D,1D,D31,3.76120011569356,0.999877929653577,0.5,0.5,0.5,0.5,0.999992370602642,0.5,0.5,0.5,0.5,0.999997903703778,0.00025987532155855,0.5,0.5,0.189453131151339,0.998425418925967,0.998425418925967,0.00157458107403252,0.998425418925967,0.00157458107403252,0.80773313269104,0.80773313269104,0.00157458107403252,0.00118093578729233,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,29,0,1,b,1,0,2,aud,A,63,1,0A,1A,1,0,r,2.59803339999962,0,1,0,0,1A,0A,A01,2.68557734525015,0.999877929653577,0.5,0.5,0.5,0.5,0.999992370602642,0.5,0.5,0.5,0.5,0.999997903703778,0.00025987532155855,0.5,0.5,0.189453131151339,0.99960635471326,0.000122070346422865,0.999877929653577,0.000122070346422865,0.999877929653577,0.191618099589124,0.191618099589124,-0.000122070346422865,-9.1552758403697e-05,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,30,1,0,r,0,1,2,aud,A,63,1,1A,0A,0,1,r,3.08284849999927,0,1,1,1,0A,1A,A10,3.11351530921037,0.999877929653577,3.05175880191676e-05,0.5,0.5,0.5,0.999992370602642,0.5,0.5,0.5,0.5,0.999997903703778,0.00025987532155855,0.5,0.5,0.189453131151339,0.99960635471326,0.999999996274139,3.72586106411887e-09,0.999999996274139,3.72586106411887e-09,0.808436345634883,0.808436345634883,3.72586106411887e-09,2.79439575494744e-09,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,31,2,0,b,1,0,0,aud,C,27,1,2C,0C,1,0,r,3.27636429999984,0,1,0,0,0C,2C,C20,3.13549421592915,0.999999999068535,3.05175880191676e-05,0.5,0.5,0.5,0.999992370602642,0.5,0.5,0.5,0.5,0.999997903703778,0.00025987532155855,0.5,0.5,0.189453131151339,0.99960635471326,2.09629622194285e-06,0.999997903703778,2.09629622194285e-06,0.999997903703778,0.191564587612239,0.191564587612239,-2.09629622194285e-06,-1.57222214218414e-06,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,32,0,1,b,1,0,2,aud,A,63,1,0A,1A,1,0,b,1.80458850000014,1,0,1,1,0A,1A,A01,2.46385324059017,0.999999999068535,3.05175880191676e-05,0.5,0.5,0.5,0.999992370602642,0.5,0.5,5.24074079758707e-07,0.5,0.999997903703778,0.00025987532155855,0.5,0.5,0.189453131151339,0.99960635471326,0.999999999999972,2.8421709430404e-14,0.999999999999972,2.8421709430404e-14,0.808436347296531,0.808436347296531,2.8421709430404e-14,2.13162817437083e-14,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,33,0,1,r,0,1,3,aud,B,63,1,0B,1B,0,1,r,2.48632739999994,0,1,1,1,1B,0B,B01,2.26176309847379,0.999999999999993,3.05175880191676e-05,0.5,0.5,0.5,0.999992370602642,0.5,0.5,5.24074079758707e-07,0.5,0.999997903703778,0.00025987532155855,0.5,0.5,0.189453131151339,0.99960635471326,0.999992370602642,7.62939735821089e-06,0.999992370602642,7.62939735821089e-06,0.808432944711747,0.808432944711747,7.62939735821089e-06,5.72204793031744e-06,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,34,2,3,r,0,1,1,aud,D,63,1,2D,3D,0,1,b,2.43041710000034,1,0,0,0,2D,3D,D23,2.50552593699074,0.999999999999993,3.05175880191676e-05,0.5,0.5,0.5,0.999998092650572,0.5,0.5,5.24074079758707e-07,0.5,0.999997903703778,0.00025987532155855,0.5,0.5,0.189453131151339,0.99960635471326,9.20364226243048e-05,0.999907963577376,9.20364226243048e-05,0.999907963577376,0.191604702500216,0.191604702500216,-9.20364226243048e-05,-6.90273159025397e-05,0.5,0.749999988421009,1.43988180305045,21.923461270794
CBC_1111,CBC_1111_MSI_AV_v3_Vset3_Aset3_2024-06-04_14h44.38.349.csv,1,35,1,3,b,1,0,3,aud,B,27,1,1B,3B,1,0,r,4.69481809999979,0,1,0,0,3B,1B,B13,2.81341071676004,0.999999999999993,3.05175880191676e-05,0.5,0.5,0.5,0.999998092650572,0.5,0.5,5.24074079758707e-07,0.5,0.999997903703778,0.00025987532155855,0.5,0.5,2.30091067217651e-05,0.99960635471326,1.90734942784321e-06,0.999998092650572,1.90734942784321e-06,0.999998092650572,0.191564503345371,0.191564503345371,-1.90734942784321e-06,-1.43051204879722e-06,0.5,0.749999988421009,1.43988180305045,21.923461270794
