ID,session,trialNr,mod2Stim,visStimLeft,visStimRight,correctKey,frequency,rewardAccurate,probFB,stimPairLeft,stimPairRight,leftCorrect,rightCorrect,pCorrectLeft,pCorrectRight,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,reactionTime,choice,choiceLeft,choiceRight,chosenPair,otherPair,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,choiceAccurate,reward,rewardPE,update2,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
121,1,11,D,3,1,a,27,1,1,3D,1D,1,0,1,0,D31,3.25809653802148,0.904342487235982,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.218697865517725,0.218697865517725,0.5,0.904342487235982,0.218697865517725,0.5,0.5,0.5,0.904342487235982,0.564151315006038,1,1,0,3D,1D,0.904342487235982,0.5,0.904342487235982,0.0956575127640179,1,1,0.0956575127640179,0.0538173250395674,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,5.45560310854364,0.999999999999379,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,12,A,0,1,a,63,1,1,0A,1A,1,0,1,0,A01,3.29583686600433,0.904342487235982,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.218697865517725,0.218697865517725,0.5,0.904342487235982,0.218697865517725,0.5,0.5,0.5,0.958159812275549,0.571151315006038,1,1,0,0A,1A,0.904342487235982,0.5,0.904342487235982,0.0956575127640179,1,1,0.0956575127640179,0.0538173250395674,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,5.65659210056414,0.999999999999376,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,13,C,3,2,l,63,1,1,3C,2C,0,1,0,1,C32,2.63905732961526,0.958159812275549,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.218697865517725,0.218697865517725,0.5,0.904342487235982,0.218697865517725,0.5,0.5,0.5,0.958159812275549,0.669151315006038,0,0,1,2C,3C,0.904342487235982,0.218697865517725,0.971243256779133,0.0287567432208669,1,1,0.0956575127640179,0.0538173250395674,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,1.68640518618308,0.999999999999994,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,14,A,2,0,l,27,1,1,2A,0A,0,1,0,1,A20,3.36729582998647,0.958159812275549,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.218697865517725,0.218697865517725,0.5,0.958159812275549,0.218697865517725,0.5,0.5,0.5,0.958159812275549,0.605151315006038,0,0,1,0A,2A,0.958159812275549,0.5,0.958159812275549,0.0418401877244505,1,1,0.0418401877244505,0.023539468228054,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,5.39760393665662,0.999999999999985,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,15,B,1,0,a,63,1,1,1B,0B,1,0,1,0,B10,2.70805020110221,0.981699280503603,0.5,0.5,0.5,0.218697865517725,0.5,0.5,0.218697865517725,0.218697865517725,0.5,0.958159812275549,0.218697865517725,0.5,0.5,0.5,0.958159812275549,0.623151315006038,1,1,0,1B,0B,0.5,0.218697865517725,0.781302134482275,0.218697865517725,1,1,0.5,0.281302134482275,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,2.97209533992005,0.99999999678656,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,16,D,2,3,l,63,1,1,2D,3D,0,1,0,1,D23,2.7408400239252,0.981699280503603,0.5,0.5,0.5,0.218697865517725,0.781302134482275,0.5,0.218697865517725,0.218697865517725,0.5,0.958159812275549,0.218697865517725,0.5,0.5,0.5,0.958159812275549,0.607151315006038,0,0,1,3D,2D,0.958159812275549,0.5,0.958159812275549,0.0418401877244505,1,1,0.0418401877244505,0.023539468228054,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,5.27987873017706,0.999999999999985,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,17,B,2,1,l,9,1,1,2B,1B,0,1,0,1,B21,3.46573590279973,0.981699280503603,0.5,0.5,0.5,0.218697865517725,0.781302134482275,0.5,0.218697865517725,0.218697865517725,0.5,0.958159812275549,0.218697865517725,0.5,0.5,0.5,0.981699280503603,0.665151315006038,0,0,1,1B,2B,0.781302134482275,0.5,0.781302134482275,0.218697865517725,1,1,0.218697865517725,0.123040352753707,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,3.48178564493048,0.999999996799292,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,18,D,3,1,a,27,1,1,3D,1D,1,0,1,0,D31,2.80336038090653,0.981699280503603,0.5,0.5,0.5,0.218697865517725,0.904342487235982,0.5,0.218697865517725,0.218697865517725,0.5,0.958159812275549,0.218697865517725,0.5,0.5,0.5,0.981699280503603,0.520151315006038,1,1,0,3D,1D,0.981699280503603,0.5,0.981699280503603,0.0183007194963966,1,1,0.0183007194963966,0.0102960629137955,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,6.07094104179931,0.999999999999997,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,19,A,1,0,l,63,1,1,1A,0A,0,1,0,1,A10,2.83321334405622,0.981699280503603,0.5,0.5,0.5,0.218697865517725,0.904342487235982,0.5,0.218697865517725,0.218697865517725,0.5,0.958159812275549,0.218697865517725,0.5,0.5,0.5,0.991995343417399,0.647151315006038,0,0,1,0A,1A,0.981699280503603,0.5,0.981699280503603,0.0183007194963966,1,1,0.0183007194963966,0.0102960629137955,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,2.34368503850591,0.999999999999997,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
121,1,20,A,0,1,a,63,1,1,0A,1A,1,0,1,0,A01,2.86220088092947,0.991995343417399,0.5,0.5,0.5,0.218697865517725,0.904342487235982,0.5,0.218697865517725,0.218697865517725,0.5,0.958159812275549,0.218697865517725,0.5,0.5,0.5,0.991995343417399,0.576151315006038,1,1,0,0A,1A,0.991995343417399,0.5,0.991995343417399,0.00800465658260108,1,1,0.00800465658260108,0.00450345396496655,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.692622566518473,0.317151315006038,8.98709000467689,4.6669742044381,0.5,6.70305986015867,0.999999999999999,CBCsimpleRW,CBCdriftDiffusionLR_pwBelief,0.5,0.56260426896455,0.338822129243077,8.8106646144326,3.94503664851825,0.5,-38.0418995117384
