trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,3.478547126,1.910349838,None,588.9561579999995,None,590.8394364900003,590.8394364900003,590.8560534899996,None,[],,,['b'],592.8415244000003,None,b,3.3750176999997166,1,1,0.6,None,596.3140486999996,None,596.3140486999996,None,[1.3750176999997166],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
10,0,10,0,,,,,,,,,,1,0.0,1.0,z,63.0,0.0,2.67601813,1.915207301,None,598.3230472,None,600.2229411899996,600.2229411899996,600.2396347900001,None,[],,,['b'],602.2220290999999,None,b,3.0608452000001307,0,1,0.5454545454545454,None,604.8947962999996,None,604.8947962999996,None,[1.0608452000001307],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
11,0,11,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.117809983,2.128027194,None,606.9061329000001,None,609.00677789,609.00677789,609.0227997899999,None,[],,,['b'],611.0074027999995,None,b,2.5656597000001966,0,0,0.5,None,613.1397898,None,613.1397898,None,[0.5656597000001966],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
12,0,12,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.088920167,1.883772966,None,615.1385569999998,None,617.0068569900002,617.0068569900002,617.0227858899996,None,[],,,['z'],619.0077780999995,None,z,2.9541354999996656,0,0,0.46153846153846156,None,621.1097910000003,None,621.1097910000003,None,[0.9541354999996656],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
13,0,13,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,3.884449499,2.108332021,None,623.1229668000001,None,625.2061137899998,625.2061137899998,625.22237939,None,[],,,['b'],627.2010053999998,None,b,2.621608200000537,0,0,0.42857142857142855,None,631.0911220000003,None,631.0911220000003,None,[0.6216082000005372],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
14,0,14,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,3.589438522,1.24796184,None,633.1056158999995,None,634.32317829,634.32317829,634.3399265899995,None,[],,,['b'],636.3269858999997,None,b,2.595570200000566,0,0,0.4,None,639.9006685999998,None,639.9006685999998,None,[0.5955702000005658],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
15,0,15,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,2.278602942,1.554037824,None,641.9063296999998,None,643.4391070899999,643.4391070899999,643.4554512900002,None,[],,,['z'],645.4349074999996,None,z,2.5299549000005754,1,1,0.4375,None,647.7171317999996,None,647.7171317999996,None,[0.5299549000005754],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
16,0,16,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,3.501824497,2.502774076,None,649.7233738999998,None,652.2067919899998,652.2067919899998,652.2229110899996,None,[],,,['b'],654.2090948,None,b,2.9325472000004993,1,1,0.47058823529411764,None,657.6968193999996,None,657.6968193999996,None,[0.9325472000004993],,,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
17,0,17,0,,,,,,,,,,3,3.0,2.0,b,63.0,0.0,1.219965572,3.388090306,None,659.7068124000002,None,663.0730913899995,663.0730913899995,663.0896293900003,None,[],,,None,665.0747458000001,None,None,[],0,3,0.4444444444444444,None,666.2723300000002,['b'],666.2723300000002,None,,[0.9422767000000931],,,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
18,0,18,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.949122761,2.684881281,['b'],668.2729820999998,None,670.9396190899995,670.9396190899995,670.95632679,None,[],,,['z'],672.9436674000003,None,z,2.3699069999997846,1,1,0.47368421052631576,None,675.8938430000003,None,675.8938430000003,None,[0.3699069999997846],,[0.741761900000256],,,,,,,,,,,,,,,,,,CBC_1001,2,1,1,4,0,0.9,2023-06-08_11h53.34.814,MSI_TV_v3,2022.1.1,60.07983408336667,
