trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
33,0,33,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,3.76873691643126,2.78346932462847,None,385.58609140000044,None,388.3525895900049,388.3525895900049,388.3698810900052,None,[],['b'],[0.4191974999921513],390.3590150000018,None,b,2.4191974999921513,1,1,0.7058823529411765,None,394.1259627000036,None,394.1259627000036,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
34,0,34,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.68371079902891,1.94858485820231,None,395.93620440000086,None,397.86942838999965,397.86942838999965,397.8861161900015,None,[],['b'],[0.12073270000109915],399.87020750000374,None,b,2.120732700001099,1,1,0.7142857142857143,None,403.5673143000022,None,403.5673143000022,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
35,0,35,0,,,,,,,,,,2,1.0,2.0,z,9.0,1.0,3.3728785608729996,0.974903167432984,None,405.36939659999916,None,406.31950579000403,406.31950579000403,406.3362447900028,None,[],['z'],[0.2737068999922485],408.3286483999982,None,z,2.2737068999922485,1,1,0.7222222222222222,None,411.71826590000273,None,411.71826590000273,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
36,0,36,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.294664843639333,2.22427187882546,None,413.5194590000028,None,415.7195284900037,415.7195284900037,415.73640499000174,None,[],['z'],[0.4260130999973626],417.7188208000007,None,z,2.4260130999973626,1,1,0.7297297297297297,None,420.0159442000004,None,420.0159442000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
37,0,37,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,2.496959177995529,0.917519910446003,None,421.8199939000042,None,422.71971549000153,422.71971549000153,422.7352974900015,None,[],['b'],[0.7465861000018776],424.72075320000295,None,b,2.7465861000018776,1,1,0.7368421052631579,None,427.2144795999993,None,427.2144795999993,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
38,0,38,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,2.433630701072358,1.27538462653558,None,429.0202972000043,None,430.2696986900002,430.2696986900002,430.2862655899982,None,[],['z'],[0.5531876999957603],432.2743296999979,None,z,2.5531876999957603,1,1,0.7435897435897436,None,434.70633010000165,None,434.70633010000165,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
39,0,39,0,,,,,,,,,,2,2.0,3.0,b,63.0,0.0,2.526044641065533,1.36309078069689,None,436.5196767000016,None,437.8532396900002,437.8532396900002,437.8700181900014,None,[],['b'],[0.4492870999965817],439.8572877999977,None,b,2.4492870999965817,1,0,0.75,None,442.38395989999844,None,442.38395989999844,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
40,0,40,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,3.02234236141277,3.1963008326951,None,444.186103,None,447.36975619000003,447.36975619000003,447.38626108999887,None,[],['z'],[0.4200572999980068],449.37536089999776,None,z,2.420057299998007,1,1,0.7560975609756098,None,452.39914080000017,None,452.39914080000017,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
41,0,41,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,4.53337421950507,1.38289892513751,None,454.20320840000204,None,455.5697266900053,455.5697266900053,455.5864603900001,None,[],['b'],[0.4463033999927575],457.5758203000005,None,b,2.4463033999927575,1,1,0.7619047619047619,None,462.11091370000213,None,462.11091370000213,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
42,0,42,0,,,,,,,,,,3,3.0,1.0,z,27.0,1.0,4.77723667052879,1.52290599571961,None,463.918525400004,None,465.41981359000346,465.41981359000346,465.4370247900035,None,[],['z'],[0.6413734999950975],467.4260759000026,None,z,2.6413734999950975,1,1,0.7674418604651163,None,472.2100159000038,None,472.2100159000038,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
43,0,43,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,4.72585056748869,2.6299100644723,None,474.01876260000427,None,476.61892939000535,476.61892939000535,476.63519299000035,None,[],['z'],[0.6685284999985015],478.6143643000032,None,z,2.6685284999985015,0,0,0.75,None,483.3348365999991,None,483.3348365999991,None,,,,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,485.1363601000048,None,,,,,,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.12002159999975,None,None,490.12002159999975,495.10336420000385,,,,,,,,,,,,,CBC_1127,003,3,3,0,5,0.95,2024-06-26_17h06.56.696,MSI_TV_v3,2022.1.1,59.95358393696405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[0, 3, 2, 1]",0.36363636363636365,0.7272727272727273,1.0,0.9090909090909091,31,0,13,,,,,,,,,,,,
