trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.rt,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
19,0,19,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,1.6718976049999998,2.684881281,None,254.58099430000038,None,257.24759974000045,257.24759974000045,257.2640809400007,None,[],['b'],[1.019520799998645],259.25051300000086,None,b,3.019520799998645,1,1,0.65,None,260.932200700001,None,260.932200700001,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
20,0,20,0,,,,,,,,,,3,3.0,0.0,b,9.0,1.0,2.078483356,2.648704933,None,262.94743890000063,None,265.5809848400011,265.5809848400011,265.5975258400002,None,[],['b'],[0.6120318999983283],267.58483680000063,None,b,2.6120318999983283,1,1,0.6666666666666666,None,269.67031730000053,None,269.67031730000053,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
21,0,21,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,2.518459073,2.7801224,None,271.6808916000009,None,274.43176053999997,274.43176053999997,274.4477010400013,None,[],['z'],[0.43700839999837626],276.43332610000107,None,z,2.4370083999983763,1,1,0.6818181818181818,None,278.9558906000002,None,278.9558906000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
22,0,22,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,4.21669271,2.502774076,None,280.96430409999994,None,283.4477366400013,283.4477366400013,283.464274140001,None,[],['b'],[0.2125698999989254],285.4501713999998,None,b,2.2125698999989254,1,1,0.6956521739130435,None,289.6747454000015,None,289.6747454000015,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
23,0,23,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,2.67601813,1.08099246,None,291.68106960000114,None,292.747725940001,292.747725940001,292.76429124000134,None,[],['b'],[0.2848565999993298],294.7707962000004,None,b,2.2848565999993298,1,1,0.7083333333333334,None,297.42221040000004,None,297.42221040000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
24,0,24,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,1.109698721,2.071213329,None,299.4310837000012,None,301.4810058400006,301.4810058400006,301.4976888400004,None,[],['b'],[0.9177008999995451],303.48584480000136,None,b,2.917700899999545,1,1,0.72,None,304.5941290999999,None,304.5941290999999,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
25,0,25,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.242058058,2.407383959,None,306.59790130000147,None,308.98120914000066,308.98120914000066,308.9979562400011,None,[],['z'],[0.9452590000000782],310.98454910000146,None,z,2.9452590000000782,1,1,0.7307692307692307,None,313.22064390000014,None,313.22064390000014,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
26,0,26,0,,,,,,,,,,1,3.0,0.0,z,9.0,1.0,2.088920167,1.75396268,None,315.2314741000009,None,316.96461624000113,316.96461624000113,316.9812432400002,None,[],['z'],[0.765831699998671],318.9678143000001,None,z,2.765831699998671,1,1,0.7407407407407407,None,321.0606067000008,None,321.0606067000008,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
27,0,27,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,4.196249082,1.53162701,None,323.06458120000025,None,324.58106584000126,324.58106584000126,324.59769754000155,None,[],['b'],[0.3289201999978104],326.5801459000013,None,b,2.3289201999978104,1,1,0.75,None,330.78111660000104,None,330.78111660000104,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
28,0,28,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,2.117809983,2.232990834,None,332.781646200001,None,334.99821564000086,334.99821564000086,335.0151166399999,None,[],['z'],[0.42537259999880916],337.0020215000004,None,z,2.425372599998809,1,1,0.7586206896551724,None,339.11666460000015,None,339.11666460000015,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
29,0,29,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,3.869831913,3.388090306,None,341.13146510000115,None,344.49801564000046,344.49801564000046,344.5145794400003,None,[],['b'],[1.0006602999983443],346.5013106000006,None,b,3.0006602999983443,1,1,0.7666666666666667,None,350.35952050000014,None,350.35952050000014,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
30,0,30,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,3.622505815,2.573610938,None,352.3645727000003,None,354.9145615400001,354.9145615400001,354.9312561400009,None,[],['z'],[0.3155211999983294],356.92123250000077,None,z,2.3155211999983294,1,1,0.7741935483870968,None,360.54465170000003,None,360.54465170000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
31,0,31,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,4.334629553,1.411911144,None,362.54791490000025,None,363.94795724000033,363.94795724000033,363.96461944000004,z,['z'],None,,365.9722431000009,None,z,1.4768384999988484,1,1,0.78125,None,370.30676350000067,None,370.30676350000067,None,1.4768384999988484,[1.4768384999988484],,,,,,,,,,,,,,,,,,,CBC_1005,004,3,2,4,6,0.95,2023-06-03_14h23.46.710,MSI_TV_v3,2022.1.1,60.062296614248815,
