trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,4.190022164497369,1.27538462653558,None,256.56218870000157,None,257.85541450000164,None,257.85541450000164,None,257.8631963200016,None,None,,257.85541450000164,None,['b'],259.8301630999995,None,b,2.1844620000010764,0,0,0.5263157894736842,264.0098934000016,None,None,264.0098934000016,None,[0.18446200000107638],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
19,0,19,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,3.71372710086949,3.1424449555106,None,265.8134331000001,None,268.9549306000008,None,268.9549306000008,None,268.9623028900009,None,None,,268.9549306000008,None,['z'],270.93038270000034,None,z,3.2227392999993754,0,0,0.5,274.626690699999,None,None,274.626690699999,None,[1.2227392999993754],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
20,0,20,0,,,,,,,,,,1,3.0,0.0,b,9.0,1.0,2.666404967794728,0.80788063606262,None,276.4299565000001,None,277.25026649999927,None,277.25026649999927,None,277.24647879000116,None,['b'],[1.6969762999979139],277.25026649999927,None,None,279.2334542999997,None,b,1.6969762999979139,1,1,0.5238095238095238,281.8960326000015,None,None,281.8960326000015,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
21,0,21,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,4.40017271499661,2.6299100644723,None,283.69675129999814,None,286.35373210000034,None,286.35373210000034,None,286.36336511999906,None,['z'],[1.0155931999979657],286.35373210000034,None,None,288.3450954,None,z,1.0155931999979657,1,1,0.5454545454545454,292.75569149999865,None,None,292.75569149999865,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
22,0,22,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,2.496959177995529,2.40378712856304,None,294.56277209999826,None,296.983224399999,None,296.983224399999,None,296.9804611899985,None,None,,296.983224399999,None,['b'],298.96289510000133,None,b,2.2695966999999655,1,1,0.5652173913043478,301.4451561999995,None,None,301.4451561999995,None,[0.2695966999999655],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
23,0,23,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,3.76873691643126,1.95130344756745,None,303.246702299999,None,305.19841910000105,None,305.19841910000105,None,305.19561896000016,None,['b'],[1.5209700999985216],305.19841910000105,None,None,307.19447450000007,None,b,1.5209700999985216,1,1,0.5833333333333334,310.9657193999992,None,None,310.9657193999992,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
24,0,24,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,2.2759877950103027,2.10421507306074,None,312.7793773000012,None,314.90012679999927,None,314.90012679999927,None,314.8967911899985,None,['z'],[1.3795065999984217],314.90012679999927,None,None,316.89781220000077,None,z,1.3795065999984217,0,0,0.56,319.1841096999997,None,None,319.1841096999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
25,0,25,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,3.6438386551209,1.78643585472448,None,320.997105800001,None,322.78721660000156,None,322.78721660000156,None,322.79637189000135,None,None,,322.78721660000156,None,['b'],324.76360769999883,None,b,2.063901999998052,0,0,0.5384615384615384,328.388625399999,None,None,328.388625399999,None,[0.0639019999980519],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
26,0,26,0,,,,,,,,,,2,3.0,0.0,z,9.0,1.0,2.629554641171433,1.96568735158996,None,330.1970058000006,None,332.18170459999965,None,332.18170459999965,None,332.18014569000155,None,['z'],[1.7630196999998589],332.18170459999965,None,None,334.1839222999988,None,z,1.7630196999998589,1,1,0.5555555555555556,336.8214970000008,None,None,336.8214970000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
27,0,27,0,,,,,,,,,,1,3.0,2.0,b,63.0,0.0,2.82320408183943,1.64421109900286,None,338.63026979999995,None,340.28633719999925,None,340.28633719999925,None,340.29688531999926,None,None,,340.28633719999925,None,['b'],342.2637324999996,None,b,2.3507870999965235,1,0,0.5714285714285714,345.08236580000084,None,None,345.08236580000084,None,[0.35078709999652347],,,,,,,,,,,,,,,,,,,,,,CBC_1108,003,6,1,4,13,0.8,2024-05-11_15h05.16.460,MSI_AV_v3,2022.1.1,59.961672499400535,
