trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,4.53337421950507,1.1243895841892,None,435.86603509999986,None,436.9646765299999,436.9646765299999,436.9815075299998,None,[],['z'],[0.3888142000005246],438.96094339999945,None,z,2.3888142000005246,1,1,0.5,None,443.4999699,None,443.4999699,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
36,0,36,0,,,,,,,,,,1,1.0,2.0,b,9.0,1.0,4.01714354611405,1.52290599571961,None,445.2997599,None,446.7993119299995,446.7993119299995,446.81589783000027,None,[],['z'],[1.3144811000011032],448.80347559999973,None,z,3.314481100001103,0,0,0.4864864864864865,None,452.8092827999999,None,452.8092827999999,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
37,0,37,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,3.6438386551209,0.979776149765883,None,454.6149862000002,None,455.56605872999944,455.56605872999944,455.58212503000004,None,[],['b'],[2.728914000000259],457.5619164,None,b,4.728914000000259,0,0,0.47368421052631576,None,461.1928098999997,['z'],461.1928098999997,None,[0.9946855999996842],,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
38,0,38,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,3.35133458220192,0.77703640172831,None,462.9992261999996,None,463.7492855300002,463.7492855300002,463.7659012299996,None,[],['z'],[0.5933741999997437],465.75361449999946,None,z,2.5933741999997437,0,0,0.46153846153846156,None,469.0982124000002,None,469.0982124000002,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
39,0,39,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,2.693348633324513,1.25920145784721,None,470.8994389999998,None,472.13265252999963,472.13265252999963,472.14950632999944,None,[],['z'],[1.1338363000004392],474.13783429999967,None,z,3.1338363000004392,1,1,0.475,None,476.8320698999996,None,476.8320698999996,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
40,0,40,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.82320408183943,2.78346932462847,None,478.6324571999994,None,481.3998859299995,481.3998859299995,481.4161004299999,None,[],['b'],[0.2806107000005795],483.40345519999937,None,b,2.2806107000005795,1,1,0.4878048780487805,None,486.22967789999984,None,486.22967789999984,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
41,0,41,0,,,,,,,,,,0,0.0,2.0,z,27.0,1.0,3.02234236141277,1.25817747924478,None,488.0326366999998,None,489.2664294299998,489.2664294299998,489.28291472999945,None,[],None,,491.27189589999944,None,None,[],0,3,0.47619047619047616,None,494.2925863999999,None,494.2925863999999,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
42,0,42,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,4.61004669244928,1.95130344756745,None,496.09953789999963,None,498.0329410299996,498.0329410299996,498.0494985299997,None,[],['z'],[0.6531181000000288],500.0385656999997,None,z,2.653118100000029,0,0,0.46511627906976744,None,504.65190900000016,None,504.65190900000016,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
43,0,43,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,2.6391747348430608,0.952147612306987,None,506.46686859999954,None,507.39956072999985,507.39956072999985,507.41616742999986,None,[],['b'],[0.7812837999999829],509.4055155999995,None,b,2.781283799999983,1,1,0.4772727272727273,None,512.0344685999999,None,512.0344685999999,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,513.8491272000001,None,,,,,,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.8321968,None,None,518.8321968,523.8155998000002,,,,,,,,,,,,,CBC_1037,3,1,3,3,14,0.9,2024-01-04_13h52.51.148,MSI_TV_v3,2022.1.1,59.93597639028103,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[2, 1, 0, 3]",0.5454545454545454,0.45454545454545453,0.45454545454545453,0.45454545454545453,19,3,22,,,,,,,,,,,,
