trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
26,0,26,0,,,,,,,,,,0,3.0,0.0,z,9.0,1.0,3.7500315165247198,1.95130344756745,None,311.9799776999989,None,313.95002569999997,None,313.95002569999997,None,313.9478019799997,None,['z'],[0.6822063000017806],313.95002569999997,None,None,315.9493657999992,None,z,0.6822063000017806,1,1,0.5925925925925926,319.7060641999997,None,None,319.7060641999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
27,0,27,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,3.31929419319838,3.4543169006169,None,321.51470919999883,None,324.96594359999835,None,324.96594359999835,None,324.9639068199988,None,['b'],[1.6694909000016196],324.96594359999835,None,"['z', 'z', 'z', 'z', 'z', 'z', 'z', 'z', 'z']",326.98465979999855,None,b,1.6694909000016196,1,1,0.6071428571428571,330.30296759999874,None,"['z', 'z']",330.30296759999874,None,"[0.6243683000011515, 1.1859209000012925, 1.4701265000021522, 1.7225357000024815, 1.9732612000025256, 2.2487427000014577, 2.5739252000021224, 2.8888791000026686, 3.2231777000015427]","[0.14425190000110888, 0.44698090000201773]",,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
28,0,28,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,2.91303524001082,3.33124983260532,None,332.11477449999984,None,335.47247139999854,None,335.47247139999854,None,335.48099033999864,None,None,,335.47247139999854,None,['z'],337.44800909999867,None,z,2.171660600002724,1,1,0.6206896551724138,340.34579399999893,None,None,340.34579399999893,None,[0.1716606000027241],,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
29,0,29,0,,,,,,,,,,0,0.0,1.0,b,63.0,0.0,3.68371079902891,2.6299100644723,None,342.1481628999991,None,344.80311039999833,None,344.80311039999833,None,344.7979874799992,None,['b'],[1.478358100002879],344.80311039999833,None,None,346.7954918999985,None,b,1.478358100002879,1,0,0.6333333333333333,350.47986539999874,None,None,350.47986539999874,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
30,0,30,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,4.53337421950507,1.36309078069689,None,352.28117759999986,None,353.6702392999996,None,353.6702392999996,None,353.68127513999974,None,['z'],[1.1962530000018887],353.6702392999996,None,None,355.6484985999996,None,z,1.1962530000018887,1,1,0.6451612903225806,360.1886767999986,None,None,360.1886767999986,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
31,0,31,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,3.2062024266105302,1.38289892513751,None,361.99828029999844,None,363.40174379999917,None,363.40174379999917,None,363.3979454799999,None,['z'],[1.1821247000025323],363.40174379999917,None,None,365.3880974999993,None,z,1.1821247000025323,1,1,0.65625,368.5870888999998,None,None,368.5870888999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
32,0,32,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,4.61004669244928,3.06992456303453,None,370.3978565999987,None,373.48246130000007,None,373.48246130000007,None,373.48134827999894,None,None,,373.48246130000007,None,['b'],375.4642237999997,None,b,2.099145199999839,1,1,0.6666666666666666,380.05449789999875,None,None,380.05449789999875,None,[0.09914519999983895],,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
33,0,33,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,3.02234236141277,1.25817747924478,None,381.8648183999994,None,383.1384976999998,None,383.1384976999998,None,383.1479052399995,None,['z'],[1.500925800000914],383.1384976999998,None,None,385.1293962999989,None,z,1.500925800000914,1,1,0.6764705882352942,388.1559269999998,None,None,388.1559269999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
34,0,34,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.592312596923728,2.96653053743745,None,389.96558579999873,None,392.95359539999845,None,392.95359539999845,None,392.94836057999856,None,['z'],[1.2975117000005412],392.95359539999845,None,None,394.94868139999926,None,z,1.2975117000005412,1,1,0.6857142857142857,397.5385701999985,None,None,397.5385701999985,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
35,0,35,0,,,,,,,,,,2,2.0,1.0,b,9.0,1.0,2.92731383428727,0.77703640172831,None,399.3483415999999,None,400.1323814999996,None,400.1323814999996,None,400.1312845799992,None,['b'],[1.1192627000000357],400.1323814999996,None,None,402.1333952999994,None,b,1.1192627000000357,1,1,0.6944444444444444,405.0706758999986,None,None,405.0706758999986,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
36,0,36,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.77723667052879,3.40155979865722,None,406.88171019999936,None,410.2952590999994,None,410.2952590999994,None,410.2977991799988,None,['b'],[1.1421421000031842],410.2952590999994,None,None,412.3012684999994,None,b,1.1421421000031842,1,1,0.7027027027027027,417.08339259999957,None,None,417.08339259999957,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
37,0,37,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,4.190022164497369,3.1424449555106,None,418.898391499999,None,422.0529315999993,None,422.0529315999993,None,422.0483945799995,None,['z'],[1.047851700001047],422.0529315999993,None,None,424.0482121999994,None,z,1.047851700001047,1,1,0.7105263157894737,428.23753489999945,None,None,428.23753489999945,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
38,0,38,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,3.3728785608729996,3.24569326556923,None,430.04840799999874,None,433.32361089999904,None,433.32361089999904,None,433.33156963999903,None,['b'],[0.8722391000010248],433.32361089999904,None,None,435.31796399999985,None,b,0.8722391000010248,1,1,0.717948717948718,438.70392639999955,None,None,438.70392639999955,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
39,0,39,0,,,,,,,,,,2,3.0,2.0,z,63.0,0.0,4.72585056748869,1.94858485820231,None,440.5151666999991,None,442.48789299999953,None,442.48789299999953,None,442.49907553999986,None,['z'],[1.8622857999998814],442.48789299999953,None,None,444.48526239999956,None,z,1.8622857999998814,1,0,0.725,449.2197785999997,None,None,449.2197785999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
40,0,40,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,3.71372710086949,1.53243550275999,None,451.0320428999985,None,452.587982699999,None,452.587982699999,None,452.5985502400003,None,['b'],[1.2354747000026691],452.587982699999,None,None,454.58353050000005,None,b,1.2354747000026691,1,1,0.7317073170731707,458.3064480999983,None,None,458.3064480999983,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
41,0,41,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,4.11514536789087,1.43470440954152,None,460.1151854999989,None,461.5724313999999,None,461.5724313999999,None,461.5819095399988,None,['z'],[1.8373819000025833],461.5724313999999,None,None,463.5644677,None,z,1.8373819000025833,1,1,0.7380952380952381,467.68900269999904,None,None,467.68900269999904,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
42,0,42,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,2.678526077912375,2.49839527409216,None,469.49865359999967,None,472.0170316999993,None,472.0170316999993,None,472.01522167999866,None,['b'],[0.9875616000008449],472.0170316999993,None,None,474.0200436999985,None,b,0.9875616000008449,1,1,0.7441860465116279,476.68710759999885,None,None,476.68710759999885,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
43,0,43,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,3.26539063535182,0.761758675042088,None,478.49890139999843,None,479.2727043999985,None,479.2727043999985,None,479.28197933999985,None,['z'],[1.7148101000002498],479.2727043999985,None,None,481.2626758999995,None,z,1.7148101000002498,1,1,0.75,484.5227677999992,None,None,484.5227677999992,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,486.3319378999986,None,,,,,,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.33220660000006,None,None,491.33220660000006,None,,,,,,,,,,,,,CBC_1119,3,3,1,4,0,0.90,2024-05-22_16h30.20.038,MSI_AV_v3,2022.1.1,60.03492832167757,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[0, 1, 2, 3]",0.45454545454545453,0.5454545454545454,1.0,1.0,33,0,11,,,,,,,,,,,,
