trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_3.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
21,0,21,0,,,,,,,,,,2,2,3,b,63,1,1.556335756,1.293060736,None,308.8143433,None,310.0984257,None,310.0984257,None,310.0966257800003,None,None,310.0984257,None,['b'],[0.3266129000003275],312.0971297000001,None,b,2.3266129000003275,1,1,0.7727272727272727,313.6515237000003,None,None,313.6515237000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
22,0,22,0,,,,,,,,,,0,1,0,z,63,0,2.372527466,1.75396268,None,315.6640875000003,None,317.4309317000002,None,317.4309317000002,None,317.43053127000013,None,['z'],317.4309317000002,None,None,,319.43402110000034,None,z,1.5175524000001133,1,0,0.782608695652174,321.82003520000035,None,None,321.82003520000035,None,,,[1.5175524000001133],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
23,0,23,0,,,,,,,,,,1,1,2,b,9,1,2.117809983,1.554037824,None,323.8308726,None,325.38461140000027,None,325.38461140000027,None,325.39647277000023,None,['b'],325.38461140000027,None,None,,327.38193920000003,None,b,1.581835299999966,1,1,0.7916666666666666,329.5054361000002,None,None,329.5054361000002,None,,,[1.581835299999966],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
24,0,24,0,,,,,,,,,,2,3,2,z,63,1,2.949122761,2.684881281,None,331.51422870000033,None,334.2190409,None,334.2190409,None,334.23054436000024,None,['z'],334.2190409,None,None,,336.2135939,None,z,1.8842061000000285,1,1,0.8,339.1709745000003,None,None,339.1709745000003,None,,,[1.8842061000000285],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
25,0,25,0,,,,,,,,,,3,3,2,b,63,0,4.21669271,2.232990834,None,341.1807192000001,None,343.4155502000003,None,343.4155502000003,None,343.41295918000037,None,None,343.4155502000003,None,['b'],[0.44767640000009123],345.3972440000002,None,b,2.4476764000000912,1,0,0.8076923076923077,349.6047972000001,None,None,349.6047972000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
26,0,26,0,,,,,,,,,,1,1,0,b,63,1,2.078483356,2.297139377,None,351.6143612000001,None,353.93577989999994,None,353.93577989999994,None,353.94712536000037,None,['b'],353.93577989999994,None,None,,355.9150993000003,None,b,1.7469248999996125,1,1,0.8148148148148148,358.0041034000001,None,None,358.0041034000001,None,,,[1.7469248999996125],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
27,0,27,0,,,,,,,,,,0,2,0,z,27,1,1.610581685,1.313600181,None,360.0138935,None,361.3332617000001,None,361.3332617000001,None,361.34629406999994,None,['z'],361.3332617000001,None,None,,363.3317499,None,z,1.516401599999881,1,1,0.8214285714285714,364.9539073000001,None,None,364.9539073000001,None,,,[1.516401599999881],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
28,0,28,0,,,,,,,,,,3,3,1,b,27,1,2.67601813,2.108332021,None,366.96400630000016,None,369.06431079999993,None,369.06431079999993,None,369.0634667800002,None,None,369.06431079999993,None,['z'],[0.3344741000000795],371.06390820000024,None,z,2.3344741000000795,0,0,0.7931034482758621,373.7343985000002,None,None,373.7343985000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
29,0,29,0,,,,,,,,,,0,0,1,b,63,1,2.0845750460000003,2.234398566,None,375.73109780000004,None,377.9864225000001,None,377.9864225000001,None,377.9973371600003,None,['b'],377.9864225000001,None,None,,379.98372940000036,None,b,1.4709995999996863,1,1,0.8,382.0703926000001,None,None,382.0703926000001,None,,,[1.4709995999996863],,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
30,0,30,0,,,,,,,,,,2,0,2,z,27,1,2.232488062,2.648704933,None,384.0801428,None,386.71914600000036,None,386.71914600000036,None,386.73031747000033,None,None,386.71914600000036,None,['z'],[0.05611799999996947],388.69771720000017,None,z,2.0561179999999695,1,1,0.8064516129032258,390.9201353000003,None,None,390.9201353000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1001,001,4,2,5,0,0.8,2023-06-08_11h37.59.527,MSI_AV_v3,2022.1.1,60.008197119707226,
