trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_3.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
29,0,29,0,,,,,,,,,,3,3,1,z,27,1,3.26539063535182,1.1243895841892,None,340.1659347999994,None,341.3038123000006,None,341.3038123000006,None,341.29994350000015,None,['z'],341.3038123000006,None,None,,343.29828330000055,None,z,1.7354749999994965,1,1,0.5333333333333333,346.56813839999995,None,None,346.56813839999995,None,,,[1.7354749999994965],,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
30,0,30,0,,,,,,,,,,0,0,3,z,9,1,3.35133458220192,1.25817747924478,None,348.3832762000002,None,349.6560186000006,None,349.6560186000006,None,349.66666859999896,None,None,349.6560186000006,None,['z'],[0.3863043999990623],351.6330510000007,None,z,2.3863043999990623,1,1,0.5483870967741935,354.97059459999946,None,None,354.97059459999946,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
31,0,31,0,,,,,,,,,,3,1,0,b,63,1,3.31929419319838,1.95130344756745,None,356.78332090000004,None,358.75319760000093,None,358.75319760000093,None,358.7496979999996,None,None,358.75319760000093,None,['b'],[0.49526519999926677],360.7321425000009,None,b,2.4952651999992668,1,1,0.5625,364.0404703999993,None,None,364.0404703999993,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
32,0,32,0,,,,,,,,,,2,1,0,z,63,1,2.342239579230602,1.90743690794447,None,365.84858519999943,None,367.7711641999995,None,367.7711641999995,None,367.7666907999992,None,None,367.7711641999995,None,['b'],[0.7058922999985953],369.7499845000002,None,b,2.7058922999985953,0,0,0.5454545454545454,372.0766504000003,None,None,372.0766504000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
33,0,33,0,,,,,,,,,,3,1,0,b,63,1,2.666404967794728,0.80788063606262,None,373.8831298999994,None,374.70558060000076,None,374.70558060000076,None,374.7167611999994,None,None,374.70558060000076,None,['b'],[0.8889920000001439],376.6832166000004,None,b,2.888992000000144,1,1,0.5588235294117647,379.3421314999996,None,None,379.3421314999996,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
34,0,34,0,,,,,,,,,,1,3,2,z,63,1,4.53337421950507,2.09887870490381,None,381.1495740999999,None,383.25180349999937,None,383.25180349999937,None,383.24968740000077,None,None,383.25180349999937,None,['z'],[0.11281140000028245],385.23323510000046,None,z,2.1128114000002824,1,1,0.5714285714285714,389.76019910000105,None,None,389.76019910000105,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
35,0,35,0,,,,,,,,,,2,0,2,b,27,1,4.190022164497369,0.917519910446003,None,391.56586640000023,None,392.5098409000002,None,392.5098409000002,None,392.5167161999998,None,None,392.5098409000002,None,['b'],[1.8637452000002668],394.4836840000007,None,b,3.8637452000002668,1,1,0.5833333333333334,398.66032090000044,None,None,398.66032090000044,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
36,0,36,0,,,,,,,,,,3,1,0,b,63,1,2.2759877950103027,3.33124983260532,None,400.4668156000007,None,403.8139807000007,None,403.8139807000007,None,403.81658570000036,None,None,403.8139807000007,None,['b'],[1.009640299998864],405.7998581000011,None,b,3.009640299998864,1,1,0.5945945945945946,408.06486760000007,None,None,408.06486760000007,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
37,0,37,0,,,,,,,,,,3,3,1,z,27,1,2.92731383428727,2.22427187882546,None,409.8668419000005,None,412.0855692999994,None,412.0855692999994,None,412.0823208999991,None,None,412.0855692999994,None,['z'],[0.5151789999981702],414.06682940000064,None,z,2.51517899999817,1,1,0.6052631578947368,416.9766242000005,None,None,416.9766242000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
38,0,38,0,,,,,,,,,,1,3,2,z,63,1,2.6391747348430608,2.96653053743745,['b'],418.7835389000011,None,421.77250169999934,None,421.77250169999934,None,421.78348019999976,None,None,421.77250169999934,None,['b'],[2.0571359999994456],423.74982289999934,None,b,4.057135999999446,0,0,0.5897435897435898,426.37456460000067,None,None,426.37456460000067,None,,[2.038379999999961],,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
39,0,39,0,,,,,,,,,,0,3,1,b,27,1,4.12485271162806,1.36309078069689,None,428.18363619999946,None,429.57202080000025,None,429.57202080000025,None,429.5834873999993,None,['b'],429.57202080000025,None,None,,431.56597650000003,None,b,1.4772210999999515,1,1,0.6,435.6881862000009,None,None,435.6881862000009,None,,,[1.4772210999999515],,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
40,0,40,0,,,,,,,,,,1,1,2,z,9,1,2.526044641065533,2.78346932462847,None,437.4990772000001,None,440.2863935000005,None,440.2863935000005,None,440.2990821000003,None,['b'],440.2863935000005,None,None,,442.2871725999994,None,b,1.3337152999993123,0,0,0.5853658536585366,444.82247310000093,None,None,444.82247310000093,None,,,[1.3337152999993123],,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
41,0,41,0,,,,,,,,,,3,0,1,z,63,0,3.68371079902891,1.96568735158996,None,446.63367199999993,None,448.6211899000009,None,448.6211899000009,None,448.6168579999994,None,None,448.6211899000009,None,['z'],[0.5162788999987242],450.5995144999997,None,z,2.5162788999987242,1,0,0.5952380952380952,454.2613130999998,None,None,454.2613130999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
42,0,42,0,,,,,,,,,,0,3,2,b,63,1,2.592312596923728,3.06992456303453,"['b', 'b']",456.0669132000003,None,459.15329720000045,None,459.15329720000045,None,459.1503432999998,None,['b'],459.15329720000045,None,None,,461.1492027000004,None,b,1.5727793999994901,1,1,0.6046511627906976,463.74013019999984,None,None,463.74013019999984,None,,"[0.03137089999836462, 0.6441809999996622]",[1.5727793999994901],,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
43,0,43,0,,,,,,,,,,2,0,1,b,63,1,4.77723667052879,0.974903167432984,None,465.5492436000004,None,466.53596000000107,None,466.53596000000107,None,466.53368000000046,None,None,466.53596000000107,None,['b'],[1.0038662000006298],468.51583159999973,None,b,3.0038662000006298,1,1,0.6136363636363636,473.28256639999927,None,None,473.28256639999927,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,475.08364230000007,None,,,,,,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.08372600000075,None,None,480.08372600000075,None,,,,,,,,,,,,,CBC_1136,4,3,3,5,17,0.95,2024-09-11_17h04.04.997,MSI_AV_v3,2022.1.1,60.05295469537539,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[2, 3, 1, 0]",0.36363636363636365,0.6363636363636364,0.6363636363636364,0.8181818181818182,27,2,15,,,,,,,,,,,,
