trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
27,0,27,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,3.3728785608729996,1.90743690794447,None,310.01065000000017,None,311.8936513399978,311.8936513399978,311.9100225399972,None,[],['z'],[0.7273152000016125],313.8982107999982,None,z,2.7273152000016125,1,1,0.5357142857142857,None,317.25724609999816,None,317.25724609999816,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
28,0,28,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,3.31929419319838,2.40378712856304,None,319.0603317999994,None,321.44384973999803,321.44384973999803,321.4610436399973,None,[],['z'],[0.6112089000016567],323.4502638999984,None,z,2.6112089000016567,1,1,0.5517241379310345,None,326.7622698999985,None,326.7622698999985,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
29,0,29,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.792365600763554,1.64421109900286,None,328.57702569999674,None,330.1937476399991,330.1937476399991,330.21036503999966,None,[],['z'],[1.2796383000022615],332.200284999999,None,z,3.2796383000022615,0,0,0.5333333333333333,None,334.98689359999844,None,334.98689359999844,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
30,0,30,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,3.71372710086949,2.49839527409216,None,336.79357600000003,None,339.27722203999764,339.27722203999764,339.29398773999964,None,[],['z'],[0.5047985999990487],341.282223299997,None,z,2.5047985999990487,1,1,0.5483870967741935,None,344.98774950000006,None,344.98774950000006,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
31,0,31,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,4.46924002178158,3.33124983260532,None,346.79391269999905,None,350.110607339998,350.110607339998,350.1269384399977,None,[],['b'],[1.8695433999964735],352.11545019999903,None,b,3.8695433999964735,0,0,0.53125,None,356.58361460000015,None,356.58361460000015,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
32,0,32,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,4.52047235037039,2.78346932462847,None,358.3939047999993,None,361.1607699399985,361.1607699399985,361.1771087399986,None,[],"['b', 'z', 'z', 'z']","[1.1176736999987043, 1.5384400999973877, 1.931408599997667, 2.407693900000595]",363.1656808999978,None,b,3.1176736999987043,1,1,0.5454545454545454,None,367.6733408,None,367.6733408,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
33,0,33,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.76873691643126,3.06992456303453,None,369.4773866999967,None,372.5274180399985,372.5274180399985,372.54386293999886,b,['b'],None,,374.5752358999998,None,b,1.709568300000683,1,1,0.5588235294117647,None,378.3570751999978,None,378.3570751999978,None,,1.709568300000683,[1.709568300000683],,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
34,0,34,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,2.342239579230602,1.12425433982333,None,380.16068059999816,None,381.2607244399998,381.2607244399998,381.277191639999,None,[],['z'],[0.7961133999997401],383.26564789999975,None,z,2.79611339999974,1,1,0.5714285714285714,None,385.6135826999998,None,385.6135826999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
35,0,35,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,3.73326136168326,1.25920145784721,None,387.4273969999995,None,388.6604194399999,388.6604194399999,388.67711973999866,b,['b'],None,,390.70434479999676,None,b,1.4362641000006988,0,0,0.5555555555555556,None,394.43861379999726,None,394.43861379999726,None,,1.4362641000006988,[1.4362641000006988],,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
36,0,36,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,3.7500315165247198,0.917519910446003,None,396.2441328999994,None,397.14420173999787,397.14420173999787,397.1606864399993,None,[],['b'],[1.6279261999989103],399.1480451999996,None,b,3.6279261999989103,1,1,0.5675675675675675,None,402.8818212999977,None,402.8818212999977,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1108,001,5,3,6,13,0.95,2024-05-11_13h20.10.697,MSI_TV_v3,2022.1.1,60.02065911008614,
