trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,1.3262934849999999,2.573610938,None,286.6344041000002,None,289.2214025000003,None,289.2214025000003,None,289.21800655000015,None,['z'],289.2214025000003,None,None,,291.22107940000024,None,z,1.8671549999999115,1,1,0.5263157894736842,292.5577966000001,None,None,292.5577966000001,None,,[1.8671549999999115],,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
19,0,19,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,1.595506577,2.234398566,None,294.5678651999997,None,296.8233565999999,None,296.8233565999999,None,296.83458260000043,None,None,296.8233565999999,None,['z'],[0.31210809999902267],298.80110289999993,None,z,2.3121080999990227,1,1,0.55,300.3835810999999,None,None,300.3835810999999,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
20,0,20,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,2.117809983,2.210349838,None,302.38440269999955,None,304.60369960000025,None,304.60369960000025,None,304.6009290500001,None,None,304.60369960000025,None,['z'],[0.49641929999961576],306.58437520000007,None,z,2.4964192999996158,0,0,0.5238095238095238,308.6902415000004,None,None,308.6902415000004,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
21,0,21,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,1.874984683,2.757001452,None,310.7003759999998,None,313.4519618000004,None,313.4519618000004,None,313.45040450000033,None,None,313.4519618000004,None,['b'],[1.1486308999992616],315.43445410000004,None,b,3.1486308999992616,1,1,0.5454545454545454,317.2926349999998,None,None,317.2926349999998,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
22,0,22,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,2.232488062,2.962224669,None,319.30150969999977,None,322.2900325999999,None,322.2900325999999,None,322.30138910000005,None,None,322.2900325999999,None,['z'],[0.15701049999915995],324.26830119999977,None,z,2.15701049999916,1,1,0.5652173913043478,326.48579299999983,None,None,326.48579299999983,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
23,0,23,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,2.242058058,1.24796184,None,328.5005723000004,None,329.75698509999984,None,329.75698509999984,None,329.76783309999973,None,None,329.75698509999984,None,['b'],[0.5020755999994435],331.73440459999983,None,b,2.5020755999994435,1,1,0.5833333333333334,333.9585344999996,None,None,333.9585344999996,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
24,0,24,0,,,,,,,,,,0,0.0,2.0,z,27.0,1.0,1.6718976049999998,2.297139377,None,335.9680429,None,338.2901205999997,None,338.2901205999997,None,338.30151879999994,None,None,338.2901205999997,None,['z'],[0.622976399999061],340.2681216000001,None,z,2.622976399999061,1,1,0.6,341.9301271000004,None,None,341.9301271000004,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
25,0,25,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,3.278108735,0.977134615,None,343.93412869999975,None,344.9222129,None,344.9222129,None,344.91780855000025,None,['z'],344.9222129,None,None,,346.92041119999976,None,z,1.7287713999994594,1,1,0.6153846153846154,350.2085828999998,None,None,350.2085828999998,None,,[1.7287713999994594],,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
26,0,26,0,,,,,,,,,,2,3.0,1.0,z,27.0,1.0,2.818459073,1.086048241,None,352.2183173000003,None,353.33030729999973,None,353.33030729999973,None,353.3348556000001,None,None,353.33030729999973,None,['z'],[0.26179400000000896],355.30180800000016,None,z,2.261794000000009,1,1,0.6296296296296297,358.1053536999998,None,None,358.1053536999998,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
27,0,27,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,2.0845750460000003,1.732943574,None,360.11816929999986,None,361.8516491999999,None,361.8516491999999,None,361.8504023000005,None,None,361.8516491999999,None,['b'],[0.6840996000000814],363.8509326000003,None,b,2.6840996000000814,1,1,0.6428571428571429,365.9233271000003,None,None,365.9233271000003,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
28,0,28,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,1.556335756,2.071213329,None,367.93515819999993,None,370.0245195999996,None,370.0245195999996,None,370.0349567000003,None,['z'],370.0245195999996,None,None,,372.0078460000004,None,z,1.449306899999101,1,1,0.6551724137931034,373.55785449999985,None,None,373.55785449999985,None,,[1.449306899999101],,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
29,0,29,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,2.917714675,3.276660373,None,375.56824789999973,None,378.8541597000003,None,378.8541597000003,None,378.8517895500004,None,None,378.8541597000003,None,['b'],[0.26819809999960853],380.8350214000002,None,b,2.2681980999996085,1,1,0.6666666666666666,383.7475715999999,None,None,383.7475715999999,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
30,0,30,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,4.21669271,1.293060736,None,385.75173819999964,None,387.05686630000037,None,387.05686630000037,None,387.06837220000034,None,None,387.05686630000037,None,"['b', 'z']","[0.7733337999998184, 2.1903168999997433]",389.0352818000001,None,b,2.7733337999998184,1,1,0.6774193548387096,393.24720119999984,None,None,393.24720119999984,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
31,0,31,0,,,,,,,,,,3,0.0,3.0,z,9.0,1.0,1.899747326,2.232990834,None,395.25083989999985,None,397.50544640000044,None,397.50544640000044,None,397.50147394999976,None,['z'],397.50544640000044,None,None,,399.50293090000014,None,z,1.639702299999044,1,1,0.6875,401.4071586,None,None,401.4071586,None,,[1.639702299999044],,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
32,0,32,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,3.044827724,1.75396268,None,403.4180951999997,None,405.18777109999974,None,405.18777109999974,None,405.18505125,None,['z'],405.18777109999974,None,None,,407.1843859999999,None,z,1.6148747999995976,0,0,0.6666666666666666,410.24180700000034,None,None,410.24180700000034,None,,[1.6148747999995976],,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
33,0,33,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,4.334629553,1.84422311,None,412.2577376999998,None,414.10426610000013,None,414.10426610000013,None,414.10175604999995,None,None,414.10426610000013,None,['b'],[1.33489709999958],416.08534320000035,None,b,3.33489709999958,1,1,0.6764705882352942,420.40549809999993,None,None,420.40549809999993,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
34,0,34,0,,,,,,,,,,1,1.0,0.0,z,63.0,0.0,2.208904638,2.684881281,None,422.4183205999998,None,425.1222909999997,None,425.1222909999997,None,425.11849235,None,['z'],425.1222909999997,None,None,,427.12277059999997,None,z,1.2556080999993355,1,0,0.6857142857142857,429.3419149000001,None,None,429.3419149000001,None,,[1.2556080999993355],,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
35,0,35,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,1.219965572,1.883772966,None,431.35155209999994,None,433.2563275000002,None,433.2563275000002,None,433.26857440000003,None,None,433.2563275000002,None,['z'],[0.6660538999994969],435.2353413999999,None,z,2.666053899999497,0,0,0.6666666666666666,436.4357272999996,None,None,436.4357272999996,None,,,,,,,,,,,,,,,,,,,,CBC_1006,001,1,3,7,8,0.95,2023-06-03_11h59.24.512,MSI_AV_v3,2022.1.1,59.98541154790473,
