trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.rt,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
36,0,36,0,,,,,,,,,,1,2.0,1.0,z,9.0,1.0,2.433630701072358,1.95130344756745,None,,418.57685219999985,None,420.5486519999995,None,420.5486519999995,None,420.5602376399991,None,None,420.5486519999995,None,['z'],[0.9276387000008981],422.5269099999987,None,z,2.927638700000898,1,1,0.8918918918918919,424.94819629999984,None,None,424.94819629999984,None,,,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
37,0,37,0,,,,,,,,,,2,0.0,2.0,b,27.0,1.0,4.01714354611405,3.40155979865722,None,,426.7602114000001,None,430.18260649999866,None,430.18260649999866,None,430.19367974000016,None,['b'],430.18260649999866,None,None,,432.1769315999991,None,b,0.9594708000022365,1,1,0.8947368421052632,436.20029409999916,None,None,436.20029409999916,None,[0.9594708000022365],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
38,0,38,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,3.31929419319838,1.94858485820231,None,,438.0102852,None,439.98155769999903,None,439.98155769999903,None,439.9936768399992,None,None,439.98155769999903,None,['z'],[0.24434070000097563],441.9603283999986,None,z,2.2443407000009756,1,1,0.8974358974358975,445.26068849999865,None,None,445.26068849999865,None,,,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
39,0,39,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,2.526044641065533,1.96568735158996,None,,447.06028159999914,None,449.04789829999936,None,449.04789829999936,None,449.0438302799999,None,['b'],449.04789829999936,None,None,,451.04531189999943,None,b,0.7940651999997499,1,1,0.9,453.5828358999988,None,None,453.5828358999988,None,[0.7940651999997499],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
40,0,40,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.792365600763554,3.24569326556923,None,,455.39368039999863,None,458.64803779999966,None,458.64803779999966,None,458.6437638799985,None,['z'],458.64803779999966,None,None,,460.64606139999887,None,z,1.4567624000010255,1,1,0.9024390243902439,463.4503511999992,None,None,463.4503511999992,None,[1.4567624000010255],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
41,0,41,0,,,,,,,,,,0,2.0,0.0,b,27.0,1.0,2.592312596923728,3.1963008326951,None,,465.26037579999866,None,468.47985009999866,None,468.47985009999866,None,468.47769917999955,None,['b'],468.47985009999866,None,None,,470.4754464999987,None,b,1.215186100002029,1,1,0.9047619047619048,473.06716179999967,None,None,473.06716179999967,None,[1.215186100002029],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
42,0,42,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,3.73326136168326,2.09887870490381,None,,474.8769274999995,None,476.9982551999983,None,476.9982551999983,None,477.0103925399988,None,['z'],476.9982551999983,None,None,,479.0119165999986,None,z,1.629705000001195,1,1,0.9069767441860465,482.73228239999844,None,None,482.73228239999844,None,[1.629705000001195],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
43,0,43,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.678526077912375,1.18065738546375,None,,484.543760999999,None,485.7493655999988,None,485.7493655999988,None,485.76041633999995,None,['z'],485.7493655999988,None,None,,487.7456255999987,None,z,1.36525150000125,1,1,0.9090909090909091,490.4353930999987,None,None,490.4353930999987,None,[1.36525150000125],,,,,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,492.24382539999897,None,,,,,,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.24411340000006,None,None,497.24411340000006,None,,,,,,,,,,CBC_1015,1,1,2,7,14,0.95,2023-06-25_14h04.10.751,MSI_AV_v3,2022.1.1,60.0034081931238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[2, 1, 0, 3]",0.7272727272727273,0.9090909090909091,1.0,1.0,,,,,,,,,,,,
