trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
29,0,29,0,,,,,,,,,,1,1,3,b,27,1,3.76873691643126,0.80788063606262,None,388.6236439000004,None,389.44093799999973,None,389.44093799999973,None,389.4404956300004,None,None,,389.44093799999973,None,['z'],391.4232345999999,None,z,2.463457699999708,0,0,0.5666666666666667,395.18214720000014,None,None,395.18214720000014,None,[0.463457699999708],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
30,0,30,0,,,,,,,,,,2,3,0,b,9,1,4.40017271499661,1.96568735158996,None,396.9903519999998,None,398.97311009999976,None,398.97311009999976,None,398.9737542299999,None,None,,398.97311009999976,None,['z'],400.95729289999963,None,z,2.1044332000001305,0,0,0.5483870967741935,405.3505548000003,None,None,405.3505548000003,None,[0.10443320000013046],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
31,0,31,0,,,,,,,,,,1,0,1,z,63,1,4.190022164497369,1.53122835510861,None,407.15697480000017,None,408.7032403000003,None,408.7032403000003,None,408.7068494300001,None,None,,408.7032403000003,None,['b'],410.69048120000025,None,b,2.055072199999813,0,0,0.53125,414.8720099000002,None,None,414.8720099000002,None,[0.055072199999813165],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
32,0,32,0,,,,,,,,,,3,0,1,b,63,1,2.92731383428727,0.761758675042088,None,416.67386780000015,None,417.44077579999976,None,417.44077579999976,None,417.44050363000036,None,None,,417.44077579999976,None,['z'],419.42380049999974,None,z,2.1698259000004327,0,0,0.5151515151515151,422.3385834999999,None,None,422.3385834999999,None,[0.16982590000043274],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
33,0,33,0,,,,,,,,,,1,0,1,z,63,1,2.629554641171433,2.22427187882546,None,424.14068190000035,None,426.37333450000006,None,426.37333450000006,None,426.37389613000045,None,['z'],[1.896343600000364],426.37333450000006,None,None,428.356941,None,z,1.896343600000364,1,1,0.5294117647058824,430.98946350000006,None,None,430.98946350000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
34,0,34,0,,,,,,,,,,0,2,3,b,63,1,3.31929419319838,2.49839527409216,None,432.79049060000034,None,435.31296099999963,None,435.31296099999963,None,435.30716243,None,None,,435.31296099999963,None,['b'],437.29039470000043,None,b,2.23327640000025,1,1,0.5428571428571428,440.60103359999994,None,None,440.60103359999994,None,[0.23327640000024985],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
35,0,35,0,,,,,,,,,,3,2,0,z,27,1,2.294664843639333,1.25817747924478,None,442.4072772999998,None,443.65533099999993,None,443.65533099999993,None,443.6562445200003,None,None,,443.65533099999993,None,['b'],445.64057409999987,None,b,2.1865852000000814,0,0,0.5277777777777778,447.91571850000037,None,None,447.91571850000037,None,[0.18658520000008139],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
36,0,36,0,,,,,,,,,,1,0,1,z,63,1,3.68371079902891,1.27538462653558,None,449.72376689999965,None,450.9971916000004,None,450.9971916000004,None,451.0071990300002,None,None,,450.9971916000004,None,['z'],452.99040440000044,None,z,3.1733695000002626,1,1,0.5405405405405406,456.67549979999967,None,None,456.67549979999967,None,[1.1733695000002626],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
37,0,37,0,,,,,,,,,,1,1,3,b,27,1,4.82531807167306,3.4543169006169,None,458.4906486,None,461.9573472999991,None,461.9573472999991,None,461.9571103300004,None,['z'],[1.596231200001057],461.9573472999991,None,None,463.94044289999965,None,z,1.596231200001057,0,0,0.5263157894736842,468.7788541,None,None,468.7788541,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
38,0,38,0,,,,,,,,,,0,2,3,b,63,1,3.73326136168326,1.12425433982333,None,470.5905131999998,None,471.70584560000043,None,471.70584560000043,None,471.7061909199998,None,None,,471.70584560000043,None,['z'],473.6904633999993,None,z,2.3450217000008706,0,0,0.5128205128205128,477.4124204999998,None,None,477.4124204999998,None,[0.3450217000008706],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
39,0,39,0,,,,,,,,,,2,1,3,z,27,1,2.2759877950103027,1.34668860557497,None,479.22302070000023,None,480.57659949999925,None,480.57659949999925,None,480.57402942999937,None,['b'],[1.9250427000006312],480.57659949999925,None,None,482.5733630000004,None,b,1.9250427000006312,0,0,0.5,484.86029250000047,None,None,484.86029250000047,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
40,0,40,0,,,,,,,,,,0,2,1,b,9,1,2.7134565917469198,2.96653053743745,None,486.6738464,None,489.6395318999994,None,489.6395318999994,None,489.63983571999927,None,None,,489.6395318999994,None,['z'],491.62400649999927,None,z,2.426528700001654,0,0,0.4878048780487805,494.3297298999996,None,None,494.3297298999996,None,[0.4265287000016542],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
41,0,41,0,,,,,,,,,,1,1,0,b,63,0,2.433630701072358,3.24569326556923,None,496.1409360000007,None,499.39147890000004,None,499.39147890000004,None,499.3908804300008,None,None,,499.39147890000004,None,['b'],501.37406549999923,None,b,2.591447300001164,1,0,0.5,503.7935752000003,None,None,503.7935752000003,None,[0.591447300001164],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
42,0,42,0,,,,,,,,,,2,2,3,z,63,1,4.7533305109883095,1.1243895841892,None,505.60733209999944,None,506.7405795000004,None,506.7405795000004,None,506.7406087300005,None,['b'],[1.4112423999995372],506.7405795000004,None,None,508.7349712000005,None,b,1.4112423999995372,0,0,0.4883720930232558,513.4963930000004,None,None,513.4963930000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
43,0,43,0,,,,,,,,,,3,1,0,z,63,1,4.52047235037039,1.21250262048173,None,515.3065185999994,None,516.5238619000002,None,516.5238619000002,None,516.5241415300005,None,None,,516.5238619000002,None,['z'],518.5075320999995,None,z,2.327916100000948,1,1,0.5,523.0126881000006,None,None,523.0126881000006,None,[0.32791610000094806],,,,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,524.8240692999998,None,,,,,,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.8235911000002,None,None,529.8235911000002,None,,,,,,,,,,,,,CBC_1021,001,5,2,1,20,0.95,2023-07-18_14h40.56.369,MSI_AV_v3,2022.1.1,60.01766920185575,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[3, 1, 0, 2]",0.6363636363636364,0.5454545454545454,0.36363636363636365,0.45454545454545453,20,0,24,,,,,,,,,,,,
