trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
25,0,25,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,4.53337421950507,3.1963008326951,['z'],308.01232770000024,None,311.2359081000013,None,311.2359081000013,None,311.2464762600004,None,None,311.2359081000013,None,['z'],[0.3882934000012028],313.2130276000007,None,z,2.388293400001203,1,1,0.5769230769230769,317.743210300001,None,None,317.743210300001,None,,[2.589116600000125],,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
26,0,26,0,,,,,,,,,,1,1.0,2.0,b,9.0,1.0,2.342239579230602,1.60731937853708,None,319.5463150000014,None,321.1683412000002,None,321.1683412000002,None,321.17990586000013,None,None,321.1683412000002,None,['b'],[0.5811136000011174],323.1462033000007,None,b,2.5811136000011174,1,1,0.5925925925925926,325.4715735000009,None,None,325.4715735000009,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
27,0,27,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,4.11514536789087,3.40155979865722,None,327.2796960000014,None,330.68194590000166,None,330.68194590000166,None,330.6791095800014,None,None,330.68194590000166,None,['z'],[0.09254229999896779],332.6796118000002,None,z,2.092542299998968,1,1,0.6071428571428571,336.78520930000013,None,None,336.78520930000013,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
28,0,28,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,4.52047235037039,1.95130344756745,None,338.59573770000134,None,340.57324270000026,None,340.57324270000026,None,340.58019216000065,None,None,340.57324270000026,None,['z'],[3.3992200999982742],342.5463043,None,z,5.399220099998274,1,1,0.6206896551724138,347.06085280000116,None,None,347.06085280000116,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
29,0,29,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.6438386551209,1.53243550275999,None,348.8620409000014,None,350.4021513000007,None,350.4021513000007,None,350.41334816000125,None,None,350.4021513000007,None,['b'],[0.5651691000002756],352.3794555000004,None,b,2.5651691000002756,1,1,0.6333333333333333,356.0033739999999,None,None,356.0033739999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
30,0,30,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,4.61004669244928,1.64421109900286,None,357.8130744000009,None,359.45057610000003,None,359.45057610000003,None,359.4625373200001,None,None,359.45057610000003,None,['b'],[0.7228845000008732],361.4457469000008,None,b,2.7228845000008732,0,0,0.6129032258064516,366.0426013000015,None,None,366.0426013000015,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
31,0,31,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,3.71372710086949,1.36309078069689,None,367.84554130000106,None,369.19806940000126,None,369.19806940000126,None,369.19565898000076,None,None,369.19806940000126,None,['z'],[0.6878612999989855],371.17987730000095,None,z,2.6878612999989855,1,1,0.625,374.8825153000016,None,None,374.8825153000016,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
32,0,32,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,4.7533305109883095,3.06992456303453,None,376.6957899000008,None,379.78773810000166,None,379.78773810000166,None,379.7969321600005,None,None,379.78773810000166,None,['z'],[0.35938399999940884],381.7638252000015,None,z,2.359383999999409,0,0,0.6060606060606061,386.4994053999999,None,None,386.4994053999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
33,0,33,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,3.68371079902891,0.77703640172831,None,388.31325860000106,None,389.10326760000135,None,389.10326760000135,None,389.1135738599998,None,None,389.10326760000135,None,['b'],[0.6680658000004769],391.08004860000074,None,b,2.668065800000477,1,1,0.6176470588235294,394.7467422000009,None,None,394.7467422000009,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
34,0,34,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,2.678526077912375,1.43470440954152,None,396.54679209999995,None,398.0016034,None,398.0016034,None,398.0139552600005,None,None,398.0016034,None,['z'],[0.4838062999988324],399.9795842000003,None,z,2.4838062999988324,1,1,0.6285714285714286,402.6362207000002,None,None,402.6362207000002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,4,1,3,6,1,0.95,2023-07-20_13h03.59.061,MSI_AV_v3,2022.1.1,60.04293069578279,
